identity_key,official_property_id,property_name,brand,parent_company,city,state_region,country,address,official_property_url,source_family,source_confidence,identity_confidence,classification,match_method,census_record_id
ind_wyndham_mx_lq-hotel-monterrey-centro,lq-hotel-monterrey-centro,La Quinta by Wyndham Monterrey Centro,La Quinta by Wyndham,Wyndham,Monterrey,,Mexico,,https://www.wyndhamhotels.com/laquinta/monterrey-mexico/lq-hotel-monterrey-centro/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_lq-hotel-cancun,lq-hotel-cancun,La Quinta by Wyndham Cancun,La Quinta by Wyndham,Wyndham,Cancun,,Mexico,,https://www.wyndhamhotels.com/laquinta/cancun-mexico/lq-hotel-cancun/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_co_lq-hotel-medellin,lq-hotel-medellin,La Quinta by Wyndham Medellin,La Quinta by Wyndham,Wyndham,Medellin,,Colombia,,https://www.wyndhamhotels.com/laquinta/medellin-colombia/lq-hotel-medellin/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_days-inn-playa-del-carmen,days-inn-playa-del-carmen,Days Inn by Wyndham Playa del Carmen,Days Inn,Wyndham,Playa del Carmen,,Mexico,,https://www.wyndhamhotels.com/days-inn/playa-del-carmen-mexico/days-inn-playa-del-carmen/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_microtel-inn-and-suites-guadalajara-sur,microtel-inn-and-suites-guadalajara-sur,Microtel Inn & Suites by Wyndham Guadalajara Sur,Microtel by Wyndham,Wyndham,Guadalajara,,Mexico,,https://www.wyndhamhotels.com/microtel/guadalajara-mexico/microtel-inn-and-suites-guadalajara-sur/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_ramada-encore-by-wyndham-guadalajara-sur,ramada-encore-by-wyndham-guadalajara-sur,Ramada Encore by Wyndham Guadalajara Sur,Ramada,Wyndham,Guadalajara,,Mexico,,https://www.wyndhamhotels.com/ramada/guadalajara-mexico/ramada-encore-by-wyndham-guadalajara-sur/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_ramada-encore-onterrey-apodaca-zona-aeropuerto,ramada-encore-onterrey-apodaca-zona-aeropuerto,Ramada Encore by Wyndham Monterrey Apodaca Zona Aeropuerto,Ramada,Wyndham,Monterrey,,Mexico,,https://www.wyndhamhotels.com/ramada/monterrey-mexico/ramada-encore-onterrey-apodaca-zona-aeropuerto/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_ramada-mexico-city-santa-fe,ramada-mexico-city-santa-fe,Ramada by Wyndham Mexico City Santa Fe,Ramada,Wyndham,Mexico City,,Mexico,,https://www.wyndhamhotels.com/ramada/mexico-city-mexico/ramada-mexico-city-santa-fe/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_ramada-encore-guadalajara-aeropuerto,ramada-encore-guadalajara-aeropuerto,Ramada Encore by Wyndham Guadalajara Aeropuerto,Ramada,Wyndham,Guadalajara,,Mexico,,https://www.wyndhamhotels.com/ramada/guadalajara-mexico/ramada-encore-guadalajara-aeropuerto/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_pa_ramada-panama-centro,ramada-panama-centro,Ramada by Wyndham Panama Centro Via Argentina,Ramada,Wyndham,Panama City,,Panama,,https://www.wyndhamhotels.com/ramada/panama-city-panama/ramada-panama-centro/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_pa_ramada-plaza-panama-punta-pacifica,ramada-plaza-panama-punta-pacifica,Ramada Plaza by Wyndham Panama Punta Pacifica,Ramada,Wyndham,Panama City,,Panama,,https://www.wyndhamhotels.com/ramada/panama-city-panama/ramada-plaza-panama-punta-pacifica/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_do_ramada-santo-domingo-princess,ramada-santo-domingo-princess,Ramada by Wyndham Princess Santo Domingo,Ramada,Wyndham,Santo Domingo,,Dominican Republic,,https://www.wyndhamhotels.com/ramada/santo-domingo-dominican-republic/ramada-santo-domingo-princess/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_acanto-playa-del-carmen,acanto-playa-del-carmen,"Acanto Playa del Carmen, Trademark Collection by Wyndham",Trademark Collection by Wyndham,Wyndham,Playa del Carmen,,Mexico,,https://www.wyndhamhotels.com/trademark/playa-del-carmen-mexico/acanto-playa-del-carmen/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_chn-hotel-monterrey-norte,chn-hotel-monterrey-norte,"CHN Hotel Monterrey Norte, Trademark Collection by Wyndham",Trademark Collection by Wyndham,Wyndham,Monterrey,,Mexico,,https://www.wyndhamhotels.com/trademark/monterrey-mexico/chn-hotel-monterrey-norte/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_chn-hotel-monterrey-aeropuerto-trademark,chn-hotel-monterrey-aeropuerto-trademark,"CHN Hotel Monterrey Aeropuerto, Trademark by Wyndham",Trademark Collection by Wyndham,Wyndham,Monterrey,,Mexico,,https://www.wyndhamhotels.com/trademark/monterrey-mexico/chn-hotel-monterrey-aeropuerto-trademark/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_chn-hotel-monterrey-centro-trademark,chn-hotel-monterrey-centro-trademark,"CHN Hotel Monterrey Centro, Trademark Collection by Wyndham",Trademark Collection by Wyndham,Wyndham,Monterrey,,Mexico,,https://www.wyndhamhotels.com/trademark/monterrey-mexico/chn-hotel-monterrey-centro-trademark/overview,Wyndham,High,High,new_property_candidate,,
ind_wyndham_mx_los-cabos-golf-resort-trademark-collection,los-cabos-golf-resort-trademark-collection,"Los Cabos Golf Resort, Trademark Collection by Wyndham",Trademark Collection by Wyndham,Wyndham,Cabo San Lucas,,Mexico,,https://www.wyndhamhotels.com/trademark/cabo-san-lucas-mexico/los-cabos-golf-resort-trademark-collection/overview,Wyndham,High,High,new_property_candidate,,
