identity_key,official_property_id,property_name,brand,parent_company,city,state_region,country,address,official_property_url,source_family,source_confidence,identity_confidence,classification,match_method,census_record_id
ind_ihg_mx_ghprm,GHPRM,JOIA Paraíso by Iberostar,joia-iberostar,IHG,Quintana Roo,,Mexico,"Carretera Chetumal - P. Juarez Km 309, Riviera Maya, Quintana Roo 77710, Mexico",https://www.ihg.com/joia-iberostar/hotels/us/en/riviera-maya/ghprm/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,rec1t7GShNGHnNdYy
ind_ihg_mx_oaxmx,OAXMX,Holiday Inn Express Oaxaca-Centro Historico,holidayinnexpress,IHG,Oaxaca,,Mexico,"Diaz Quintas : 115, Oaxaca, Oaxaca 68000, Mexico",https://www.ihg.com/holidayinnexpress/hotels/us/en/oaxaca/oaxmx/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,rechJDWvFroFyHGBB
ind_ihg_mx_pueaa,PUEAA,Staybridge Suites Puebla,staybridge,IHG,Puebla,,Mexico,"Blvd. Hermanos Serdán 810, Puebla, Puebla 72160, Mexico",https://www.ihg.com/staybridge/hotels/us/en/puebla/pueaa/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,rec13QjLTqkbFqXip
ind_ihg_mx_acago,ACAGO,Holiday Inn Chilpancingo,holidayinn,IHG,Guerrero,,Mexico,"Blvd. Vicente Guerrero No. 148, Chilpancingo, Guerrero 39074, Mexico",https://www.ihg.com/holidayinn/hotels/us/en/chilpancingo/acago/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,recoSgitZZ3hE3U6z
ind_ihg_mx_pmypm,PMYPM,Iberostar Selection​ Paraíso Maya Suites,iberostar-selection,IHG,Quintana Roo,,Mexico,"Carretera Chetumal Puerto Juárez Km.309,, Riviera Maya, Quintana Roo 77710, Mexico",https://www.ihg.com/iberostar-selection/hotels/us/en/riviera-maya/pmypm/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,recy577TYRKF4wOmO
ind_ihg_mx_bjxca,BJXCA,Candlewood Suites Celaya,candlewood,IHG,Guanajuato,,Mexico,"Av. Eje Nor-Oriente 215, Manzana 177, Celaya, Guanajuato 38080, Mexico",https://www.ihg.com/candlewood/hotels/us/en/celaya/bjxca/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,reclMR0RdyeUoOu9D
ind_ihg_mx_bjxpm,BJXPM,Holiday Inn & Suites Leon Plaza Mayor,holidayinn,IHG,Guanajuato,,Mexico,"Adolfo Lopez Mateos Poniente #2619, Leon, Guanajuato 37180, Mexico",https://www.ihg.com/holidayinn/hotels/us/en/leon/bjxpm/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,recJPNjVA7wPG31gb
ind_ihg_mx_bjxce,BJXCE,Holiday Inn Express & Suites Celaya,holidayinnexpress,IHG,Guanajuato,,Mexico,"Eje Nor-Oriente Luis Donaldo Colosio 285, Celaya, Guanajuato 38080, Mexico",https://www.ihg.com/holidayinnexpress/hotels/us/en/celaya/bjxce/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,rec9pQUBVHYJfikrj
ind_ihg_mx_acali,ACALI,Holiday Inn Acapulco La Isla,holidayinn,IHG,Guerrero,,Mexico,"Blvd. De Las Naciones : 2000, Acapulco, Guerrero 39907, Mexico",https://www.ihg.com/holidayinn/hotels/us/en/acapulco/acali/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,recjV7atVq3xrQRRH
ind_ihg_mx_jalex,JALEX,Holiday Inn Express Xalapa,holidayinnexpress,IHG,Veracruz,,Mexico,"Av. I. Zaragoza # 8, Xalapa, Veracruz 91000, Mexico",https://www.ihg.com/holidayinnexpress/hotels/us/en/xalapa/jalex/hoteldetail,IHG,High,High,existing_exact_match,official_property_id,recsQEPdP8eymdfXs
