identity_key,official_property_id,property_name,brand,parent_company,city,state_region,country,address,official_property_url,source_family,source_confidence,identity_confidence,classification,match_method,census_record_id
ind_accor_pa_9252,9252,Novotel Panama City,Novotel,Accor,"Bella Vista, Panamá City, Panama",,Panama,"Calle Jose I. Fabregas y Thays, De Pons, El Cangrejo, Lado Casa deMano de Piedra Duran",https://all.accor.com/hotel/9252/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_pa_9156,9156,Sofitel Legend Casco Viejo - Panama City,SOL,Accor,PANAMA CITY,,Panama,"Calle Primera Oeste, San Felipe, Casco Viejo",https://all.accor.com/hotel/9156/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_b1t9,B1T9,Banyan Tree Mayakoba,BAN,Accor,Playa del Carmen,,Mexico,"Carretera Federal, Chetumal Puerto Juárez Km. 298, Playa del Carmen, Quintana Roo,",https://all.accor.com/hotel/B1T9/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_b5v5,B5V5,"Fairmont Heritage Place, Mayakoba",Fairmont Hotels & Resorts,Accor,Playa Del Carmen,,Mexico,"Carretera Federal Cun Playa, Km 298, Mayakoba",https://all.accor.com/hotel/B5V5/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_a573,A573,Fairmont Mayakoba,Fairmont Hotels & Resorts,Accor,RIVIERA MAYA,,Mexico,"Carretera Federal Cancún, Playa del Carmen Km 298",https://all.accor.com/hotel/A573/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_c4p3,C4P3,Club Regina Cancun managed by Accor,SAM,Accor,CANCUN,,Mexico,"Blvd Kukulcan Km 20, Zona Hotelera",https://all.accor.com/hotel/C4P3/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_c6k0,C6K0,Mondrian Cancun,MOD,Accor,CANCUN QUINTANA ROO,,Mexico,"Blvd. Kukulcan Km.16.5, Lotes 56-A-1 y 56-A-2 Quintana Roo, Segunda Etapa Turistica",https://all.accor.com/hotel/C6K0/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_7118,7118,ibis Cancun Centro,ibis,Accor,Cancun,,Mexico,"Av Tulum y Nichupte, Supermanzana 11 M2 L3",https://all.accor.com/hotel/7118/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_b5b2,B5B2,SLS Cancun,SLS,Accor,CANCUN,,Mexico,"Boulevard Kukulcan km 1, Zona Turistica Puerto Cancun, Lote 1 02 Uc 1 Mz 27",https://all.accor.com/hotel/B5B2/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_c383,C383,SLS PLAYA MUJERES,SLS,Accor,CANCUN,,Mexico,Manzana 1 Supermanzana 3,https://all.accor.com/hotel/C383/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_6928,6928,ibis Merida,ibis,Accor,MERIDA,,Mexico,"Calle 58 A 495, Colonia Centro",https://all.accor.com/hotel/6928/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_a7v8,A7V8,Ibis Styles Merida Galerías,ibis,Accor,MERIDA,,Mexico,"Calle 3 num 218, Ñ * 24 y 60, Colonia Xcumpich",https://all.accor.com/hotel/A7V8/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_b802,B802,"Hacienda Xcanatun, Angsana Heritage Collection",ANG,Accor,MERIDA,,Mexico,"Calle 20, Sn, Comisaria Xcanatun",https://all.accor.com/hotel/B802/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_b047,B047,ibis Apartadó,ibis,Accor,APARTADO,,Colombia,Carrera 100 88 21,https://all.accor.com/hotel/B047/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_b0p5,B0P5,Sofitel Barú Cartagena,Sofitel,Accor,CARTAGENA,,Colombia,"KM 7 Sector Cartagena, Departamento Bolivar, Baru",https://all.accor.com/hotel/B0P5/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_a232,A232,Hotel Boutique Bovedas de Santa Clara By Accor,SAM,Accor,CARTAGENA,,Colombia,"Cra 8 39 114, Barrio San Diego",https://all.accor.com/hotel/A232/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_1871,1871,Sofitel Legend Santa Clara Cartagena,SOL,Accor,CARTAGENA,,Colombia,"Calle Del Torno 39-29, Barrio San Diego, (STATE) BOLIVAR",https://all.accor.com/hotel/1871/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_8600,8600,ibis Cartagena Marbella,ibis,Accor,CARTAGENA,,Colombia,"AVENIDA SANTANDER # 47-90, 47, 90",https://all.accor.com/hotel/8600/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_mx_c4n9,C4N9,Park Royal Huatulco managed by Accor,SAM,Accor,Huatulco,,Mexico,"Blvd Benito Juárez, Bahía Tangolunda, 8",https://all.accor.com/hotel/C4N9/index.en.shtml,Accor,High,High,new_property_candidate,,
ind_accor_co_9910,9910,ibis Barranquilla,ibis,Accor,BARRANQUILLA,,Colombia,Calle 86 No 50 66,https://all.accor.com/hotel/9910/index.en.shtml,Accor,High,High,new_property_candidate,,
