url,urlClass,inferredBrandSlug,inferredHotelSlug,inferredCountry,inferredState,inferredCity,matchedChoiceBrands,childSitemap
https://www.choicehotels.com/quebec/st-apollinaire/econo-lodge-hotels/cn779,likely_property_url,econo-lodge,cn779,quebec,,st-apollinaire,Econo Lodge,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/st-georges-de-beauce/comfort-inn-hotels/cn812,likely_property_url,comfort-inn,cn812,quebec,,st-georges-de-beauce,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/sherbrooke/comfort-inn-hotels/cn345,likely_property_url,comfort-inn,cn345,quebec,,sherbrooke,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/trois-rivieres/ascend-hotels/cnb69,likely_property_url,ascend,cnb69,quebec,,trois-rivieres,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/thetford-mines/comfort-inn-hotels/cn347,likely_property_url,comfort-inn,cn347,quebec,,thetford-mines,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/val-dor/quality-inn-hotels/cn937,likely_property_url,quality-inn,cn937,quebec,,val-dor,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/canada/trois-rivieres/econo-lodge-hotels/cnc82,likely_property_url,econo-lodge,cnc82,canada,,trois-rivieres,Econo Lodge,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/trois-rivieres/comfort-inn-hotels/cn348,likely_property_url,comfort-inn,cn348,quebec,,trois-rivieres,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/val-dor/comfort-inn-hotels/cn349,likely_property_url,comfort-inn,cn349,quebec,,val-dor,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/venise-en-quebec/ascend-hotels/cnd04,likely_property_url,ascend,cnd04,quebec,,venise-en-quebec,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/trois-rivieres/ascend-hotels/tr659,likely_property_url,ascend,tr659,quebec,,trois-rivieres,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/victoriaville/quality-inn-hotels/cn978,likely_property_url,quality-inn,cn978,quebec,,victoriaville,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/trois-rivieres/ascend-hotels/tr658,likely_property_url,ascend,tr658,quebec,,trois-rivieres,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/north-battleford/comfort-inn-hotels/cna76,likely_property_url,comfort-inn,cna76,saskatchewan,,north-battleford,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/quebec/victoriaville/ascend-hotels/cnb76,likely_property_url,ascend,cnb76,quebec,,victoriaville,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/emerald-park/sleep-inn-hotels/cn991,likely_property_url,sleep-inn,cn991,saskatchewan,,emerald-park,Sleep Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/moose-jaw/comfort-inn-hotels/cn035,likely_property_url,comfort-inn,cn035,saskatchewan,,moose-jaw,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/prince-albert/comfort-inn-hotels/cn350,likely_property_url,comfort-inn,cn350,saskatchewan,,prince-albert,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/moose-jaw/quality-inn-hotels/cn998,likely_property_url,quality-inn,cn998,saskatchewan,,moose-jaw,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/estevan/quality-inn-hotels/cn923,likely_property_url,quality-inn,cn923,saskatchewan,,estevan,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/kindersley/quality-inn-hotels/cn996,likely_property_url,quality-inn,cn996,saskatchewan,,kindersley,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/regina/comfort-inn-hotels/cn351,likely_property_url,comfort-inn,cn351,saskatchewan,,regina,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/saskatoon/comfort-inn-hotels/cn352,likely_property_url,comfort-inn,cn352,saskatchewan,,saskatoon,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/regina/econo-lodge-hotels/cna98,likely_property_url,econo-lodge,cna98,saskatchewan,,regina,Econo Lodge,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/saskatoon/quality-inn-hotels/cna87,likely_property_url,quality-inn,cna87,saskatchewan,,saskatoon,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/swift-current/comfort-inn-hotels/cn353,likely_property_url,comfort-inn,cn353,saskatchewan,,swift-current,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/regina/quality-inn-hotels/cnc17,likely_property_url,quality-inn,cnc17,saskatchewan,,regina,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/regina/comfort-suites-hotels/cna24,likely_property_url,comfort-suites,cna24,saskatchewan,,regina,,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/yorkton/comfort-inn-hotels/cn356,likely_property_url,comfort-inn,cn356,saskatchewan,,yorkton,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/saskatoon/comfort-suites-hotels/cn962,likely_property_url,comfort-suites,cn962,saskatchewan,,saskatoon,,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/saskatoon/country-hotels/cnb48,likely_property_url,country,cnb48,saskatchewan,,saskatoon,Country Inn & Suites by Radisson (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/yukon-territory/whitehorse/quality-inn-hotels/cnb87,likely_property_url,quality-inn,cnb87,yukon-territory,,whitehorse,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/nova-scotia/truro/ascend-hotels/cnd31,likely_property_url,ascend,cnd31,nova-scotia,,truro,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/yukon-territory/test-hotels/comfort-inn-hotels/tr100,likely_property_url,comfort-inn,tr100,yukon-territory,,test-hotels,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/canada/winnipeg/rocketfuel-hotels/cn986,likely_property_url,rocketfuel,cn986,canada,,winnipeg,,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/new-brunswick/st-stephen/ascend-hotels/cnd37,likely_property_url,ascend,cnd37,new-brunswick,,st-stephen,Ascend Hotel Collection,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/saskatchewan/yorkton/quality-inn-hotels/cna79,likely_property_url,quality-inn,cna79,saskatchewan,,yorkton,Quality Inn,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/canada/south-porcupine/comfort-inn-hotels/cnd23,likely_property_url,comfort-inn,cnd23,canada,,south-porcupine,Comfort Inn & Suites,https://www.choicehotels.com/propertysitemap.xml.gz
https://www.choicehotels.com/chile/concon/radisson-blu-hotels/cl009,likely_property_url,radisson-blu,cl009,chile,,concon,Radisson Blu (Choice); Radisson (Choice),https://www.choicehotels.com/propertysitemap.xml.gz
