legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,legacyStatus,enrichmentAction,enrichmentReason,choicePropertyUrl,hasLegacyCoordinates
recn3JrmcYAy2cMC8,Comfort Suites Brasilia,Brasilia,Brazil,Comfort Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recnOOi1m9szzaCZO,Radisson Hotel Decapolis Miraflores,Miraflores,Peru,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/peru/miraflores/radisson-hotels/pe004,yes
reco6dhOREJ8JyAfa,Comfort Inn Joinville,Joinville,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recoJUXtur0QtOKhH,Radisson Hotel Colonia Del Sacramento,Colonia Del Sacramento,Uruguay,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/uruguay/colonia-del-sacramento/radisson-hotels/uy003,yes
recp21Xe2exhYCQLi,Quality Hotel Real San Jose,San Jose,Costa Rica,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recpAblJ67kBs4bHa,Comfort Inn Hermosillo Airport,Hermosillo,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recqAsAbHmJ5Vg2j7,Quality Hotel Real Aeropuerto Santo Domingo,Santo Domingo,Dominican Republic,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recqJ1LzgkeNC0DB9,Quality Inn Aguascalientes,Aguascalientes,Mexico,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Sao Joao Batista do Gloria,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recqyAf5fPBAGDIcM,Faranda Collection Medellin A Member Of Radisson Individuals,Medellin,Colombia,Radisson Individuals by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/colombia/medellin/radisson-individuals-hotels/cb030,yes
recrPx45Dd2EMY3TH,Radisson Hotel Maiorana Belem,Belem,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Porto Alegre,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Rio de Janeiro,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recsyaMGAIQQuvOI3,Comfort Suites Vitoria,Vitoria,Brazil,Comfort Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rect6xTnJsjJyA6Ei,Radisson Colon 2000 Hotel & Casino,Colon,Panama,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
rectlLKZ1wbhYj7md,Radisson Hotel Paulista Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recuPczqHC2srskUK,Quality Suites Alphaville,Barueri,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recv3ZtsBl2gDlDH6,Sleep Inn Ciudad De Mexico Cuajimalpa,Mexico City,Mexico,Sleep Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recv3es2CjcAZmg5l,Quality Hotel & Suites Brasilia,Brasilia,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Sao Caetano do Sul,Brazil,Quality Inn,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recw2SzhnSQtODy4Y,"Hotel Faranda Express Soloy and Casino, A Member of Radisson Individuals",Panama City,Panama,Radisson Individuals by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/panama/panama/radisson-individuals-hotels/pn008,yes
recw8qQXKshGnAqI0,Park Inn by Radisson Puerto Varas,Puerto Varas,Chile,Park Inn by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/chile/puerto-varas/park-inn-hotels/cl014,yes
recwFcrhjKMW6g86m,ME Cabo,Cabo San Lucas,Mexico,Everhome Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recwGtRq733LfHvaH,Radisson Montevideo Victoria Plaza Hotel,Montevideo,Uruguay,Radisson by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/uruguay/montevideo/radisson-hotels/uy004,yes
recwrzq0Sq9wUqx42,Comfort Inn Ciudad Juarez,Ciudad Juarez,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recwvcWrWpiq3kuq9,Comfort Hotel & Suites Rondonopolis,Rondonopolis,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recxeNGJrgFgfGWsY,Radisson Blu Belo Horizonte,Belo Horizonte,Brazil,Radisson Blu by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recy5vv0a3sGia5Fn,Radisson Hotel Pinheiros Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,San Luis Potosi,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
