verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
unverified_no_code,recdbZjWb5AKph0ee,Tru by Hilton Sao Paulo Congonhas Airport,,,Pipeline,,,São Paulo,Brazil,Tru by Hilton
unverified_no_code,recdorwekj2x6vT8s,Motto by Hilton Cusco,,,Pipeline,,,Cusco,Peru,Motto by Hilton
match,recdugEph9J9j3ihS,Hampton Inn & Suites by Hilton Los Cabos,Hampton Inn & Suites by Hilton Los Cabos,SJDMXHX,Open,Open,2015-09-10,San Jose Del Cabo,Mexico,Hampton by Hilton
match,recdvilqvKRr4ZdBv,Hampton by Hilton Medellin,Hampton by Hilton Medellin,MDEHXHX,Open,Open,2016-11-17,Medellin,Colombia,Hampton by Hilton
match,rece70okrjADMQLlJ,Hilton Queretaro,Hilton Queretaro,QROJSHH,Open,Open,2024-05-29,Queretaro,Mexico,Hilton
unverified_no_code,receJrhmDhwgwOQAz,"The KAYOS Grace Bay Turks & Caicos, LXR Hotels & Resorts",,,Pipeline,,,Providenciales,Turks and Caicos Islands,LXR Hotels & Resorts
unverified_no_code,recewD5Kt7F6MDpyD,Homewood Suites by Hilton Punta Cana Bavaro,,,Pipeline,,,Punta Cana,Dominican Republic,Homewood Suites by Hilton
match,recfAsadhal5KlF7D,Hampton Inn by Hilton Monterrey Apodaca,Hampton Inn by Hilton Monterrey Apodaca,MTYTVHX,Open,Open,2018-06-28,Apodaca,Mexico,Hampton by Hilton
match,recgDZkiRysKvgCMz,Hampton by Hilton San Jose Airport,Hampton by Hilton San Jose Airport,SJCAPHX,Open,Open,2001-12-05,Alajuela,Costa Rica,Hampton by Hilton
match,recgIjT7jiohm6Qgm,Caribe Hilton,Caribe Hilton,SJNHIHH,Open,Open,,San Juan,Puerto Rico,Hilton
match,recgMPbrbOCxL0KBs,Hampton Inn by Hilton Piedras Negras,Hampton Inn by Hilton Piedras Negras,PDSHXHX,Open,Open,2016-08-17,Piedras Negras,Mexico,Hampton by Hilton
unverified_no_code,recgcOVunMPjXkJIH,"Kailani Grand Cayman, Curio Collection by Hilton",,,Pipeline,,,George Town,Cayman Islands,Curio Collection by Hilton
unverified_no_code,recgeikvPO8zuKTyJ,"ONE True Blue Beach Hotel & Residences, Tapestry Collection by Hilton",,,Pipeline,,,St George's,Grenada,Tapestry Collection by Hilton
match,recgikCWhrvjTV7X2,DoubleTree by Hilton Hotel San Juan Puerto Rico,DoubleTree by Hilton Hotel San Juan,SJUDTDT,Open,Open,2008-12-15,Santurce,Puerto Rico,DoubleTree by Hilton
unverified_no_code,recgm6jqMdbsfyH1r,Hilton Garden Inn New Kingston,,,Pipeline,,,Kingston,Jamaica,Hilton Garden Inn
match,recgr76Mtrt0ocudg,Waldorf Astoria Los Cabos Pedregal,Waldorf Astoria Los Cabos Pedregal,SJDWAWA,Open,Open,2019-09-24,Cabo San Lucas,Mexico,Waldorf Astoria
unverified_no_code,rechPRYcGCIXYysLp,Waldorf Astoria Antigua,,,Pipeline,,,St. Johns,Antigua and Barbuda,Waldorf Astoria
match,rechQ0MeFN0eQjDkl,Palacio Provincial San Juan Curio Collection by Hilton,"Palacio Provincial San Juan, Curio Collection by Hilton",SJUPPQQ,Open,Open,2024-06-25,San Juan,Puerto Rico,Curio Collection by Hilton
unverified_no_code,rechTFNeAAYgr9mms,Hyatt Vivid Playa del Carmen,,,Open,,,Playa Del Carmen,Mexico,Hilton
match,rechcNXNRIUaRNE8V,DoubleTree by Hilton Trujillo,DoubleTree by Hilton Trujillo,TRUEEDT,Open,Open,2022-02-14,Trujillo,Peru,DoubleTree by Hilton
unverified_no_code,rechsPpynyQwgwDXE,Tru by Hilton Merida,,,Pipeline,,,Mérida,Mexico,Tru by Hilton
match,reci3EBLJU1VCdyvA,Hilton Garden Inn Santiago Airport,Hilton Garden Inn Santiago Airport,SCLGIGI,Open,Open,2011-06-27,Santiago,Chile,Hilton Garden Inn
match,reciBq33l2r5v3dTG,Homewood Suites by Hilton Santo Domingo,Homewood Suites by Hilton Santo Domingo,SDQHWHW,Open,Open,2019-09-26,Santo Domingo,Dominican Republic,Homewood Suites by Hilton
match,reciEMhEl62tszmhZ,Hilton Garden Inn Lima Surco,Hilton Garden Inn Lima Surco,LIMSSGI,Open,Open,2016-11-10,Lima,Peru,Hilton Garden Inn
unverified_no_code,reciQhlhMvvRHjOKJ,Hilton Ushuaia,,,Pipeline,,,Ushuaia,Argentina,Hilton
match,recj0s8y9XLlZTEXx,Hilton Garden Inn Asuncion Aviadores del Chaco,Hilton Garden Inn Asuncion Aviadores del Chaco,ASUPYGI,Open,Open,2025-05-23,Asuncion,Paraguay,Hilton Garden Inn
match,recjJtNESmG0lxTdu,Hilton Rio de Janeiro Copacabana,Hilton Rio de Janeiro Copacabana,RIOCCHH,Open,Open,2017-05-02,Rio De Janeiro,Brazil,Hilton
match,recjVB7A0jclbqsis,Hampton by Hilton Arequipa,Hampton by Hilton Arequipa,AQPPEHX,Open,Open,2022-06-21,Arequipa,Peru,Hampton by Hilton
match,recjoG2WljFKbuh26,Condado Palm Inn San Juan Tapestry Collection by Hilton,"Condado Palm Inn San Juan, Tapestry Collection by Hilton",SJUCDUP,Open,Open,2023-06-29,San Juan,Puerto Rico,Tapestry Collection by Hilton
match,recjqOzoMxEjYNP2k,Hampton Inn Ciudad Victoria,Hampton Inn by Hilton Ciudad Victoria,CDJVCHX,Open,Open,2008-11-22,Ciudad Victoria,Mexico,Hampton by Hilton
match,recjvQh52k0iRrhYL,Hampton By Hilton Bogota Airport,Hampton by Hilton Bogota Airport,BOGHXHX,Open,Open,2017-10-03,Bogota,Colombia,Hampton by Hilton
unverified_no_code,reck0OX02AXOCxrxh,Hilton at Resorts World Bimini,,,Open,,,North Bimini,Bahamas,Hilton
unverified_no_code,reck2PvK11s2dCIim,Hilton Garden Inn Tegucigalpa,,,Pipeline,,,Tegucigalpa,Honduras,Hilton Garden Inn
match,reck3mcnNoBHtzN83,Hilton San Luis Potosi,Hilton San Luis Potosi,SLPHHHH,Open,Open,2015-05-01,San Luis Potosi,Mexico,Hilton
match,reck4i7JuuTqy8hPt,Hilton Garden Inn Guatemala City,Hilton Garden Inn Guatemala City,GUAGCGI,Open,Open,2015-07-02,Guatemala City,Guatemala,Hilton Garden Inn
match,reckMQcc7aIuXXn2B,Hilton Colon Guayaquil,Hilton Colon Guayaquil,GYEHIHF,Open,Open,2026-04-28,Guayaquil,Ecuador,Hilton
unverified_no_code,reckPAF3CABmHLFuR,Hilton Garden Inn Zacatecas,,,Pipeline,,,Zacatecas,Mexico,Hilton Garden Inn
match,reckRoTLLalQbN4Dt,Hilton Sao Paulo Morumbi,Hilton Sao Paulo Morumbi,SAOMOHH,Open,Open,,Sao Paulo,Brazil,Hilton
match,reckvgWP2CZlqOAf1,Hampton Inn San Juan Del Rio,Hampton Inn by Hilton San Juan del Rio,QROSJHX,Open,Open,2012-10-10,San Juan Del Rio,Mexico,Hampton by Hilton
unverified_no_code,reclS6G7japB4CAme,Hilton Garden Inn Mazatlan Malecon,,,Pipeline,,,Mazatlán,Mexico,Hilton Garden Inn
match,recmFSGlsmUfjjfVN,Hilton Garden Inn Maceio,Hilton Garden Inn Maceio,MCZHGGI,Open,Open,2024-09-03,Maceio,Brazil,Hilton Garden Inn
unverified_no_code,recmKm1fOIKj7XNle,Hampton by Hilton Mazatlan,,,Pipeline,,,Mazatlán,Mexico,Hampton by Hilton
unverified_no_code,recmb1oP0m9YF5C1F,Tru by Hilton Neuquen,,,Pipeline,,,Neuquén,Argentina,Tru by Hilton
match,recmeTWJ5zeyfgxx5,Hilton Monterrey,Hilton Monterrey Valle,MTYVOHH,Open,Open,2023-03-28,Monterrey,Mexico,Hilton
match,recmnQNMFWsCvLlxc,Hilton Garden Inn San Jose Airport City Mall,Hilton Garden Inn San Jose Airport City Mall,SJOACGI,Open,Open,2023-12-04,Alajuela,Costa Rica,Hilton Garden Inn
match,recn6Dia9FIlxvFKl,The Yucatan Playa del Carmen Tapestry Collection by Hilton,"The Yucatan Playa del Carmen, Tapestry Collection by Hilton",CZMPDUP,Open,Open,2021-05-12,Playa del Carmen,Mexico,Tapestry Collection by Hilton
match,recn8YF4gllYW9ijZ,Hilton Garden Inn San Jose La Sabana,Hilton Garden Inn San Jose La Sabana,SJOLSGI,Open,Open,2015-05-12,San Jose,Costa Rica,Hilton Garden Inn
match,recnScFPB3hSmdxjR,Hilton Garden Inn Montevideo,Hilton Garden Inn Montevideo,MVDMVGI,Open,Open,2015-12-01,Montevideo,Uruguay,Hilton Garden Inn
unverified_no_code,recnV6adKBfss0VfR,"Elephant Tree Resort and Villas Tobago, Tapestry Collection by Hilton",,,Pipeline,,,Roxborough,Trinidad and Tobago,Tapestry Collection by Hilton
unverified_no_code,recnWV84KWzMjGaSA,Hilton Garden Inn Toluca Tollocan,,,Pipeline,,,Toluca de Lerdo,Mexico,Hilton Garden Inn
match,recnePczxISckoGX9,Conrad Tulum Riviera Maya,Conrad Tulum Riviera Maya,CUNCICI,Open,Open,2021-12-09,Tulum,Mexico,Conrad
unverified_no_code,recnghPQp1s9E0fPq,Tru by Hilton Punta Cana Dominican Republic,,,Pipeline,,,Punta Cana,Dominican Republic,Tru by Hilton
unverified_no_code,recnnoSEtyC1eRWJ3,Tru by Hilton Santo Domingo,,,Pipeline,,,Santo Domingo,Dominican Republic,Tru by Hilton
match,recns9k9Wnvl3gHNU,Hampton by Hilton Antofagasta,Hampton by Hilton Antofagasta,ANFACHX,Open,Open,2019-03-21,Antofagasta,Chile,Hampton by Hilton
unverified_no_code,reco6uZTYF8hdpjjJ,Hampton by Hilton Panama,,,Open,,,Panama City,Panama,Hampton by Hilton
match,recoCJxA2Qem4vxnX,Hilton Garden Inn San Juan Condado,Hilton Garden Inn San Juan Condado,SJUSJGI,Open,Open,2023-12-14,San Juan,Puerto Rico,Hilton Garden Inn
unverified_no_code,recoR17mFObR37FS4,Home2 Suites by Hilton Monterrey Santa Catarina,,,Pipeline,,,Ciudad Santa Catarina,Mexico,Home2 Suites by Hilton
match,recofgevY6v7A3j3e,Hampton Inn by Hilton Guadalajara Airport,Hampton Inn by Hilton Guadalajara-Aeropuerto,GDLHAHX,Open,Open,2008-09-13,El Salto,Mexico,Hampton by Hilton
match,recogOWwY4RqoMW7u,LXR Hotels & Resorts Zemi Beach House,"Zemi Beach House, LXR Hotels & Resorts",AXAZBOL,Open,Open,2019-12-03,Shoal Bay,Anguilla,LXR Hotels & Resorts
match,recp3BuHUFzFeCNd5,Hilton Trinidad & Conference Centre,Hilton Trinidad & Conference Centre,POSHIHH,Open,Open,,Port of Spain,Trinidad and Tobago,Hilton
match,recpFa441YMotl8Lw,DoubleTree by Hilton Celaya,DoubleTree by Hilton Celaya,CYWCEDT,Open,Open,2019-12-03,Celaya,Mexico,DoubleTree by Hilton
unverified_no_code,recpIgNueFuEmnBSv,Hilton Garden Inn Saltillo,,,Pipeline,,,Saltillo,Mexico,Hilton Garden Inn
match,recpRSWB5yXwXdyHG,Hilton Guadalajara Midtown,Hilton Guadalajara Midtown,GDLGMHH,Open,Open,2018-11-20,Guadalajara,Mexico,Hilton
match,recpSXUiBJyCS9ESu,DoubleTree by Hilton Guayaquil,DoubleTree by Hilton Guayaquil,GYEEKDT,Open,Open,2024-10-03,Guayaquil,Ecuador,DoubleTree by Hilton
match,recphttl3lgozk9Gj,Hampton by Hilton Cali Colombia,"Hampton by Hilton Cali, Colombia",CLOHXHX,Open,Open,2014-06-10,Cali,Colombia,Hampton by Hilton
match,recpvs4LwBMc0GKNZ,Hampton Inn by Hilton Reynosa/Zona Industrial,Hampton Inn by Hilton Reynosa/Zona Industrial,REXHAHX,Open,Open,2008-06-03,Reynosa,Mexico,Hampton by Hilton
match,recpyBukrc5Pmffok,Curio Collection by Hilton Mangrove Beach Corendon Curacao All-Inclusive Resort,"Mangrove Beach Corendon Curacao All-Inclusive Resort, Curio by Hilton",CURRYQQ,Open,Open,2021-09-01,Willemstad,Curaçao,Curio Collection by Hilton
match,recq8Rg8upSJf92vL,Hilton Garden Inn Boca Del Rio Veracruz,Hilton Garden Inn Boca del Rio Veracruz,VERBRGI,Open,Open,2014-02-18,Boca del Rio,Mexico,Hilton Garden Inn
unverified_no_code,recqOCUeRMrh06nef,Hilton Monterrey,,,Pipeline,,,Monterrey,Mexico,Hilton
match,recqW4g4LGNvnovrq,Hampton Inn by Hilton Leon Guanajuato,Hampton Inn by Hilton Leon Guanajuato,BJXLGHX,Open,Open,2015-11-03,Leon,Mexico,Hampton by Hilton
match,recqYSyQtGP2bCxG7,Hampton Inn by Hilton San Juan Hato Rey,Hampton by Hilton San Juan City Center,SJACCHX,Pipeline,Pipeline,2026-09-17,San Juan,Puerto Rico,Hampton by Hilton
match,recr2wc8oBpm46jWj,DoubleTree by Hilton Foz do Iguacu Brazil,DoubleTree by Hilton Foz do Iguacu Brazil,IGUCUDT,Open,Open,2022-11-09,Foz do Iguaçu,Brazil,DoubleTree by Hilton
match,recr3DXLHdh09J8mi,Hampton by Hilton St. Thomas,Hampton by Hilton St. Thomas,STTUNHX,Open,Open,2025-08-05,Charlotte Amalie,US Virgin Islands,Hampton by Hilton
match,recrHckQP55XZ9T9G,Hampton Inn by Hilton Chihuahua City,Hampton Inn by Hilton Chihuahua City,CUUMXHX,Open,Open,2000-04-04,Chihuahua,Mexico,Hampton by Hilton
match,recrQn2SaH08gIknY,Hilton Garden Inn Bogota Airport,Hilton Garden Inn Bogota Airport,BOGATGI,Open,Open,2018-02-01,Bogota,Colombia,Hilton Garden Inn
unverified_no_code,recrVkCsIjx0hjr3K,Dreams Rose Hall Resort & Spa,,,Open,,,Montego Bay,Jamaica,Hilton
match,recrikOk2m2grKJv9,Royal Palm Galapagos Curio Collection by Hilton,"Royal Palm Galapagos, Curio Collection Hotel by Hilton",GPSRPQQ,Open,Open,2022-06-30,Puerto Ayora,Ecuador,Curio Collection by Hilton
match,recrp3O4pJkbNDl4Q,MS Milenium Monterrey Curio Collection by Hilton,"MS Milenium Monterrey, Curio Collection by Hilton",MTYMMQQ,Open,Open,2020-12-01,San Pedro Garza Garcia,Mexico,Curio Collection by Hilton
match,recrt0BVRIc581hh9,Hampton by Hilton Valledupar,Hampton by Hilton Valledupar,VUPHXHX,Open,Open,2015-04-14,Valledupar,Colombia,Hampton by Hilton
match,recsfdgt5QDnDJNO4,Hampton by Hilton Santa Cruz/Equipetrol Bolivia,"Hampton by Hilton Santa Cruz/Equipetrol, Bolivia",SRZEQHX,Open,Open,2015-12-15,Santa Cruz,Bolivia,Hampton by Hilton
unverified_no_code,recsoakzBMUN6jde5,"Buenos Aires Parque Leloir, Hilton Garden Inn",,,Pipeline,,,Parque Leloir,Argentina,Hilton Garden Inn
match,recstmPTvHzDCYdCY,Hilton Garden Inn Guadalajara Airport,Hilton Garden Inn Guadalajara Airport,GDLAPGI,Open,Open,2024-03-26,Guadalajara,Mexico,Hilton Garden Inn
match,rectQ1CDJUMv5xNJ9,Hilton Vallarta Riviera All Inclusive Resort,Hilton Vallarta Riviera All-Inclusive Resort,PVRPAHH,Open,Open,2021-08-16,Sur Puerto Vallarta,Mexico,Hilton
unverified_graphql_error,rectfK5qimGPYc6Re,"Hilton La Romana, an All-Inclusive Adult Only Resort",,LRMDOHH,Open,,,La Romana,Dominican Republic,Hilton
unverified_no_code,rectfLvMQpQiU459M,"Qarib Hotel Bombinhas, Tapestry Collection by Hilton",,,Pipeline,,,Bombinhas,Brazil,Tapestry Collection by Hilton
match,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,"Gran Hotel Costa Rica, Curio Collection by Hilton",SJOCUQQ,Open,Open,2018-07-10,San Jose,Costa Rica,Curio Collection by Hilton
match,recu51JABui6zulIr,Botanika Osa Peninsula Resort Curio Collection by Hilton,"Botanika Osa Peninsula Costa Rica Resort, Curio Collection by Hilton",PJMCRQQ,Open,Open,2022-05-03,Puerto Jimenez,Costa Rica,Curio Collection by Hilton
unverified_no_code,recuQ0ApQUbAen1HU,"Hampton by Hilton Kingston, Jamaica",,,Pipeline,,,Kingston,Jamaica,Hampton by Hilton
match,recuWLICx9WtOrSvh,Hilton Garden Inn Monterrey Obispado,Hilton Garden Inn Monterrey Obispado,MTYGIGI,Open,Open,2020-03-10,Monterrey,Mexico,Hilton Garden Inn
match,recunKuZvWFIcaTEx,Hampton by Hilton Bucaramanga,Hampton by Hilton Bucaramanga,BGAHXHX,Open,Open,2016-07-14,Bucaramanga,Colombia,Hampton by Hilton
unverified_no_code,recuyD1bkJRgNElgG,Tru by Hilton Bariloche,,,Pipeline,,,San Carlos de Bariloche,Argentina,Tru by Hilton
match,recuzI4Vhe1Mu1pjQ,Embassy Suites by Hilton Santo Domingo,Embassy Suites by Hilton Santo Domingo,SDQSDES,Open,Open,2014-06-20,Santo Domingo,Dominican Republic,Embassy Suites by Hilton
match,recv0t7j79fnXdXlR,Hilton Panama,Hilton Panama,PTYHFHH,Open,Open,2014-08-14,Panama,Panama,Hilton
match,recv7oiw7f6fX8SOj,Tru by Hilton Monterrey Fundidora,Tru by Hilton Monterrey Fundidora,MTYMARU,Open,Open,2022-12-15,Monterrey,Mexico,Tru by Hilton
match,recvFI0CWUThIwUTS,Hilton Garden Inn Leon Poliforum,Hilton Garden Inn Leon,BJXADGI,Open,Open,2020-11-17,Leon,Mexico,Hilton Garden Inn
match,recvQ61LspBBZxM0t,DoubleTree by Hilton Lima San Isidro,DoubleTree by Hilton Lima San Isidro,LIMALDT,Open,Open,2024-03-11,San Isidro,Peru,DoubleTree by Hilton
match,recvRQ6pgTaVqXr6y,Hilton Garden Inn San Jose Airport City Mall,Hilton Garden Inn San Jose Airport City Mall,SJOACGI,Open,Open,2023-12-04,Alajuela,Costa Rica,Hilton Garden Inn
match,recvd2hgI3OySeBWW,Homewood Suites by Hilton Cariari San Jose,Homewood Suites by Hilton Cariari San Jose,SJOHEHW,Open,Open,2025-08-12,San Jose,Costa Rica,Homewood Suites by Hilton
match,recvrtZoFJjmDZqun,Hilton Garden Inn San Juan Condado,Hilton Garden Inn San Juan Condado,SJUSJGI,Open,Open,2023-12-14,San Juan,Puerto Rico,Hilton Garden Inn
unverified_no_code,recwRYg4AizBAI6cD,Tru by Hilton Monterrey Apodaca,,,Pipeline,,,Ciudad Apodaca,Mexico,Tru by Hilton
match,recwszIyvIDDuaFgC,Hampton Inn Zacatecas,Hampton Inn by Hilton Zacatecas,ZCLHXHX,Open,Open,2015-05-01,Zacatecas,Mexico,Hampton by Hilton
unverified_no_code,recwxmC825XAsUVZl,Hilton Medellin,,,Pipeline,,,Medellín,Colombia,Hilton
unverified_no_code,recx0OvNOBmyS6SUP,Fiesta Inn Express Cancun Cumbres,,,Open,,,Cancun,Mexico,Hampton by Hilton
unverified_no_code,recx3WgeBGaGsx0Ee,Hilton Cancun Resort,,,Open,,,Cancun,Mexico,Hilton
match,recxCNeu71Xyy8xhY,DoubleTree by Hilton Hotel Queretaro,DoubleTree by Hilton Hotel Queretaro,QRODTDT,Open,Open,2011-07-19,Queretaro,Mexico,DoubleTree by Hilton
match,recxEvJftgktdI6oE,Hilton Garden Inn Salta,Hilton Garden Inn Salta – San Lorenzo Chico,SLACKGI,Pipeline,Pipeline,2027-07-06,Salta,Argentina,Hilton Garden Inn
unverified_no_code,recxd8bXWvmBgLici,Tru by Hilton Monterrey Santa Catarina,,,Pipeline,,,Ciudad Santa Catarina,Mexico,Tru by Hilton
match,recxriaGzhdw0HAyb,Waldorf Astoria Cancun,Waldorf Astoria Riviera Maya,CUNWAWA,Open,Open,2022-11-01,Cancun,Mexico,Waldorf Astoria
match,recxwqV4cQPaaT3T0,Hilton Garden Inn Santa Marta,Hilton Garden Inn Santa Marta,SMRGIGI,Open,Open,2018-03-22,Santa Marta,Colombia,Hilton Garden Inn
unverified_no_code,recyXMli3PThcNSet,Tru by Hilton Altamira Puerto,,,Pipeline,,,Altamira,Mexico,Tru by Hilton
match,recyYi9T5S2WCoFoV,Hampton Inn by Hilton Monterrey/Galerias-Obispado,Hampton Inn by Hilton Monterrey/Galerías-Obispado,MTYGAHX,Open,Open,1997-08-08,Monterrey,Mexico,Hampton by Hilton
match,recylWxkvo9yFTDJj,DoubleTree by Hilton Hotel Santiago - Vitacura,DoubleTree by Hilton Hotel Santiago - Vitacura,SCLSVDT,Open,Open,2015-04-08,Santiago,Chile,DoubleTree by Hilton
match,recypLLe3st6SJl0s,Nacar Hotel Cartagena Curio Collection,"Nacar Hotel Cartagena, Curio Collection by Hilton",CTGMAQQ,Open,Open,2020-12-15,Cartagena,Colombia,Curio Collection by Hilton
match,recyq7cHeUFqDjPLs,SORO Montevideo Curio Collection by Hilton,"SORO Montevideo, Curio Collection by Hilton",MVDSOQQ,Open,Open,2019-10-15,Montevideo,Uruguay,Curio Collection by Hilton
match,recysCtTLGnftfwni,Hilton Garden Inn Aguascalientes,Hilton Garden Inn Aguascalientes,AGUGIGI,Open,Open,2017-11-15,Aguascalientes,Mexico,Hilton Garden Inn
match,recz39d2LktlKidzz,Hilton Tulum Riviera Maya All-Inclusive,Hilton Tulum Riviera Maya All-Inclusive Resort,CUNHIHH,Open,Open,2022-04-07,Tulum,Mexico,Hilton
match,recz4rePhwtGzaTzr,Hualta Hotel Mendoza Curio Collection by Hilton,"Hualta Hotel Mendoza, Curio Collection by Hilton",MDZAHQQ,Open,Open,2023-09-15,Mendoza,Argentina,Curio Collection by Hilton
match,reczdjyhPCOlyIHgw,Hilton Garden Inn Puebla Angelopolis,Hilton Garden Inn Puebla Angelópolis,PBCGIGI,Open,Open,2016-11-29,San Andres Cholula,Mexico,Hilton Garden Inn
match,reczeUpJMc6uiCfGw,Hilton Garden Inn Guadalajara Airport,Hilton Garden Inn Guadalajara Airport,GDLAPGI,Open,Open,2024-03-26,Guadalajara,Mexico,Hilton Garden Inn
