verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,recL3oxie0vNdasoG,Hampton Inn by Hilton Guadalajara/Expo,Hampton Inn by Hilton Guadalajara/Expo,GDLEXHX,Open,Open,2012-08-02,Guadalajara,Mexico,Hampton by Hilton
match,recL5AUBNnGkFGgrM,Hilton Mendoza,Hilton Mendoza,MDZARHH,Open,Open,2023-12-14,Mendoza,Argentina,Hilton
unverified_no_code,recL6NmApK64e6fT6,Homewood Suites by Hilton Florianopolis,,,Pipeline,,,Florianopolis,Brazil,Homewood Suites by Hilton
match,recL9yu9QiYlZPwMg,Hampton by Hilton Inn Silao-Aeropuerto Bajio,Hampton Inn by Hilton Silao-Aeropuerto Bajio,BJXSGHX,Open,Open,2014-11-21,Silao,Mexico,Hampton by Hilton
match,recLQoyNuoJL6CbjB,Embassy Suites by Hilton San Juan Hotel & Casino,Embassy Suites by Hilton San Juan Hotel & Casino,SJUESES,Open,Open,1997-03-01,Carolina,Puerto Rico,Embassy Suites by Hilton
match,recLX8m7rgYH1qeES,Hampton Inn & Suites by Hilton Paraiso,Hampton Inn & Suites by Hilton Paraiso,AGUPTHX,Open,Open,2015-10-15,Paraiso,Mexico,Hampton by Hilton
match,recLzQMo7RhA0u1gJ,Hilton Mexico City Santa Fe,Hilton Mexico City Santa Fe,MEXSAHH,Open,Open,2014-03-27,Mexico City,Mexico,Hilton
match,recM0yKCzuvWNXEIo,Embassy Suites by Hilton Aruba Resort,Embassy Suites by Hilton Aruba Resort,AUAJMES,Open,Open,2023-01-24,Eagle Beach,Aruba,Embassy Suites by Hilton
unverified_no_code,recMKUFCTmWhpcmAT,Hilton Garden Inn,,,Pipeline,,,Medellin,Colombia,Hilton Garden Inn
unverified_no_code,recMLRJKXUoyLYL0M,Canopy by Hilton Guadalajara,,,Pipeline,,,Guadalajara,Mexico,Canopy by Hilton
match,recMoTgleA4ooYcJa,Hilton Barra Rio De Janeiro,Hilton Barra Rio de Janeiro,RIOABHH,Open,Open,2015-04-09,Rio de Janeiro,Brazil,Hilton
match,recNP2jHW1fVPY85A,The Rif at Mangrove Beach Corendon Curacao All-Inclusive Curio by Hilton,"The Rif at Mangrove Beach Corendon Curacao All-Inclusive, Curio by Hilton",CURMGQQ,Open,Open,2023-12-15,Willemstad,Curaçao,Curio Collection by Hilton
match,recNP4X6l4mQKq3SU,Hilton Garden Inn Santo Andre,Hilton Garden Inn Santo Andre,CGHGIGI,Open,Open,2017-09-15,Santo Andre,Brazil,Hilton Garden Inn
unverified_no_code,recNRwEkGwEFm2Fyu,Jean Hotel Polanco Curio Collection by Hilton,,,Pipeline,,,Mexico City,Mexico,Curio Collection by Hilton
unverified_no_code,recNjWxrDI41kqVXt,Waldorf Astoria San Miguel de Allende,,,Pipeline,,,San Miguel de Allende,Mexico,Waldorf Astoria
match,recNmYAApqJk2Z9AJ,Hampton by Hilton Cartagena,Hampton by Hilton Cartagena,CTGHXHX,Open,Open,2013-03-19,Cartagena,Colombia,Hampton by Hilton
match,recO0tYz62oDVOjW4,Embassy Suites by Hilton Dorado Del Mar Beach Resort,Embassy Suites by Hilton Dorado del Mar Beach Resort,DORPRES,Open,Open,2001-08-22,Dorado,Puerto Rico,Embassy Suites by Hilton
match,recO8UEivz9QgCKwd,Hilton Garden Inn Salamanca,Hilton Garden Inn Salamanca,BJXSAGI,Open,Open,2018-08-30,Salamanca,Mexico,Hilton Garden Inn
match,recOF9wBjNxmp2cLY,Tru by Hilton Chillan Ferrat,Tru by Hilton Chillan Ferrat,YAILLRU,Open,Open,2025-04-22,Chillan,Chile,Tru by Hilton
match,recOIDGuz5GkN50j1,Hilton Garden Inn Tucuman,Hilton Garden Inn Tucuman,TUCGIGI,Open,Open,2012-10-09,San Miguel De Tucuman,Argentina,Hilton Garden Inn
match,recONWBAFUADzHmFz,Hilton Garden Inn Pereira,Hilton Garden Inn Pereira,PEIPAGI,Pipeline,Pipeline,2026-09-29,Pereira,Colombia,Hilton Garden Inn
unverified_no_code,recOg5h5pPLfAGChO,DoubleTree by Hilton Lima San Isidro,,,Pipeline,,,San Isidro,Peru,DoubleTree by Hilton
match,recP4HW9GeBifcrDu,Hilton Garden Inn Monterrey Airport,Hilton Garden Inn Monterrey Airport,MTYAIGI,Open,Open,2015-08-27,Monterrey,Mexico,Hilton Garden Inn
unverified_no_code,recP7uycsQ8bHaKqy,Hilton Garden Inn Guatape,,,Pipeline,,,Guatape,Colombia,Hilton Garden Inn
match,recPH5LiNI6mJ0C6Z,Hampton by Hilton Bogota Usaquen,Hampton by Hilton Bogotá - Usaquén,BOGUSHX,Open,Open,2015-08-19,Bogota,Colombia,Hampton by Hilton
match,recPJzIUz9kHwEnsA,Motto by Hilton Recife Antigo,Motto by Hilton Recife,RECECUA,Open,Open,2026-02-11,Recife,Brazil,Motto by Hilton
match,recQ5SlL6FCVfRa8z,Canopy by Hilton Sao Paulo Jardins,Canopy by Hilton Sao Paulo Jardins,GRUJAPY,Open,Open,2021-02-04,Sao Paulo,Brazil,Canopy by Hilton
match,recQZSsoTzMBQEV9u,Hampton Inn Durango,Hampton Inn by Hilton Durango,DGOHXHX,Open,Open,2016-06-30,Durango,Mexico,Hampton by Hilton
match,recQuAnkcwSbLUnkG,Hampton Inn by Hilton Tijuana,Hampton Inn by Hilton Tijuana,TIJTOHX,Open,Open,2017-10-19,Tijuana,Mexico,Hampton by Hilton
