censusRecordId,censusName,censusCountry,propertyId,propertyUrl,matchScore,matchConfidence,nameSim,reason
recKWu1bOro2W96Im,Best Western Premier St. Mary's Court,Antigua and Barbuda,,,,,,no_directory_match
recYrJJQuxljzM7rS,La Estancia Hotel BW Premier Collection,Dominican Republic,,,,,,no_directory_match
