status,recordId,name,country,city,strSubmarket,existingDealality,proposedDealality,confidence,reason
unmapped,recQBltotCRD0Bzyn,Transamerica Fit Catalao,Brazil,Catalao,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,recQBrojo1dRsKM9F,Geotel Calama,Chile,Calama,Chile Regional,,,No Match,no_corridor_match
unmapped,recQGSZFQCSCWgngQ,ibis Styles Sao Mateus,Brazil,Sao Mateus,Brazil Southeast Regional,,,No Match,no_corridor_match
mappable,recQHOoRGHdA5MAZM,Wyndham Grand Rio Mar Rainforest Beach and Golf Resort,Puerto Rico,Rio Grande,Puerto Rico Regional,,East Coast / Island Access,High,pr_city_inference_map
unmapped,recQTJZCQTVkaOSgk,Alven Hotel by Slaviero Hotels,Brazil,Joinville,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recQjmtj70W15glMb,Gamboa Rainforest Resort,Panama,Gamboa,Panama Regional,,,No Match,no_corridor_match
unmapped,recQtT1v8B5lzeYA1,ibis Ourinhos,Brazil,Ourinhos,São Paulo State Regional,,,No Match,no_corridor_match
mappable,recQwg2l3yPYnOIBB,Grand Palladium Palace Resort & Spa,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recR5d08XTZ7Rb3ny,Blue Tree Towers Valinhos,Brazil,Valinhos,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recR8LWAWR9SACzOy,OYO Hotel La Glorieta Huichapan,Mexico,Huichapan,Mexico Central South Regional,,,No Match,no_corridor_match
unmapped,recRBwKnzIGLw9HzA,Royal Decameron Salinitas,El Salvador,Salinitas,El Salvador Regional,,,No Match,no_corridor_match
unmapped,recRDjsMMeZzn78TC,Ibis Santo Andre,Brazil,Santo Andre,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recREjNdgZoxXNDNA,Marupiara Resort,Brazil,Ipojuca,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recRInShN8mOv261Q,ibis Jatai,Brazil,Jatai,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,recROczipDWBNISKV,OYO Hospedaje Colibri,Mexico,San Antonio Abad,Oaxaca/Chiapas Regional,,,No Match,no_corridor_match
unmapped,recRPoJ0XNQUVEk3C,Days Inn by Wyndham Uberlandia,Brazil,Uberlandia,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,recRQuL6btkhFaSnJ,Don El Faro Boutique Hotel & Spa by DON,Argentina,Villa La Angostura,Patagonia Regional,,,No Match,no_corridor_match
unmapped,recRUApiXVbe0IHyQ,Termas Puyehue Wellness & Spa Resort,Chile,Osorno,Los Lagos Regional,,,No Match,no_corridor_match
unmapped,recRbWflS7pxjEltv,Fairfield Inn & Suites Nogales,Mexico,Nogales,Mexico Northwest Regional,,,No Match,no_corridor_match
unmapped,recRn9UYPhahcx07q,ibis Iquique,Chile,Iquique,Chile Regional,,,No Match,no_corridor_match
unmapped,recRtI8EHXFvz7uWU,Club Med Trancoso,Brazil,Trancoso,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recRtMJmgNWxbTK2j,Bristol Imperatriz,Brazil,Imperatriz,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recS41bcztxwbMSS7,Holiday Inn Express & Suites Ensenada Centro,Mexico,Ensenada,Baja California Regional,,,No Match,no_corridor_match
mappable,recS4BEJjKKmeJyFA,The St. Regis Cap Cana Resort,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recSDwST0QKX0MBkN,Best Western Santorin,Mexico,Ciudad Victoria,Tamaulipas Regional,,,No Match,no_corridor_match
mappable,recSENZzQ7eT6Wvlw,Catalonia Baravo Resort,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recSO2PgiuHvgKY3S,Mia Hotel Choco,Colombia,Quibdo,Colombia Regional,,,No Match,no_corridor_match
mappable,recSWdCXctSF6d3yo,Residence Inn Santiago de Los Caballeros,Dominican Republic,Santiago de los Caballeros,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
unmapped,recSYCelp0BiRWIFa,ibis Cascavel,Brazil,Cascavel,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recSaLoUr82zz1kHf,Oro Verde Guayaquil,Ecuador,Guayaquil,Ecuador Regional,,,No Match,no_corridor_match
unmapped,recSh6ufd9ukTxbQJ,Novotel Puerto Montt,Chile,Puerto Montt,Los Lagos Regional,,,No Match,no_corridor_match
unmapped,recSn2ohLOyNqPHgi,ibis Styles Boa Vista,Brazil,Boa Vista,Brazil North Regional,,,No Match,no_corridor_match
unmapped,recSrtjOXAMqSwRTM,Fiesta Inn Tampico,Mexico,Tampico,Tamaulipas Regional,,,No Match,no_corridor_match
unmapped,recSthJTo0YEw1eWO,ibis budget Guarulhos Aeroporto,Brazil,Guarulhos,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recT3AZHBEdp2VlG9,City Express by Marriott Ensenada,Mexico,Ensenada,Baja California Regional,,,No Match,no_corridor_match
unmapped,recT7WzWCgiwOf3m1,Hyatt Place Sao Jose Do Rio Preto,Brazil,Sao Jose do Rio Preto,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recTQLmzdkPk9YDr8,Transamerica FIT Rio Verde,Brazil,Rio Verde,Brazil Central & West Regional,,,No Match,no_corridor_match
mappable,recTTyPQIfZii16PA,Wyndham Alltra Punta Cana All Inclusive Resort,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recTVMMcf8DcRXLi5,Hilton Garden Inn Sao Jose do Rio Preto,Brazil,Sao Jose do Rio Preto,São Paulo State Regional,,,No Match,no_corridor_match
mappable,recTVvWW1HdVOjn7y,Senda Monteverde Hotel,Costa Rica,Monteverde,Costa Rica Regional,,Monteverde,High,name_keyword_monteverde
unmapped,recTj4MOIoeY6ULjL,ibis Paranagua,Brazil,Paranagua,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recTkv8cbk8MZW9pt,Comfort Hotel & Suites Natal,Brazil,Natal,Brazil Northeast Regional,,,No Match,no_corridor_match
