fileName,sheetName,headerRowIndex,rowCount,columnsFound,missingExpectedColumns,hasStrId,hasCity,hasHotelName,hasCountry,hasStrMarket,hasStrSubmarket
"Existing - Caribbean, South and Central America.xls",Worksheet,2,2415,STR ID | City | Hotel Name | Country | STR Market | STR Submarket | ,,yes,yes,yes,yes,yes,yes
Existing - Mexico.xls,Worksheet,2,1338,STR ID | City | Hotel Name | Country | STR Market | STR Submarket | ,,yes,yes,yes,yes,yes,yes
