censusRecordId,censusName,censusCountry,currentAffiliation,sourceTitle,propertyUrl,matchScore,matchReason,fields
recKSBUuR2ia26Fje,Alta Las Palomas Hotel,Costa Rica,Independent,Alta Las Palomas,https://slh.com/hotels/alta-las-palomas,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/alta-las-palomas""}"
recjPxdigAUXtmo8s,Spice Island Beach Resort,Grenada,Independent,Spice Island Beach Resort,https://slh.com/hotels/spice-island-beach-resort,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/spice-island-beach-resort""}"
recxHP9BmsuYn4xYF,Hotel Three Sixty,Costa Rica,Independent,Hotel Three Sixty,https://slh.com/hotels/hotel-three-sixty,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hotel-three-sixty""}"
rec4EQ8Sz4GMLEgdB,Royal Park Lima Hotel,Peru,Independent,Royal Park Hotel Lima,https://slh.com/hotels/royal-park-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/royal-park-hotel""}"
recqL2yPwUJa8xWZG,American Trade Hotel,Panama,Independent,American Trade Hotel,https://slh.com/hotels/american-trade-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/american-trade-hotel""}"
recqFnZyUXFb3OEX2,S Hotel Montego Bay,Jamaica,Independent,S Hotel Montego Bay,https://slh.com/hotels/s-hotel-montego-bay,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/s-hotel-montego-bay""}"
recthWg9lIsnA9bYr,Matachica Resort & Spa,Belize,Independent,Matachica Resort & Spa,https://slh.com/hotels/matachica-resort-and-spa,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/matachica-resort-and-spa""}"
recECPsrdmp3Ho5RH,Casa Lucia,Argentina,Independent,Casa Lucia,https://slh.com/hotels/casa-lucia,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/casa-lucia""}"
rec763Kp5XyUS8LA5,O:Live Boutique Hotel,Puerto Rico,Independent,O:live Boutique Hotel,https://slh.com/hotels/olive-boutique-hotel,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/olive-boutique-hotel""}"
rec4I2vyqZltH9niI,Gaia Riverlodge,Belize,Independent,GAÏA Riverlodge,https://slh.com/hotels/gaia-riverlodge,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/gaia-riverlodge""}"
recDdXMbby3nCcMtu,La Zebra Beach Hotel & Restaurant,Mexico,Independent,La Zebra,https://slh.com/hotels/la-zebra,88,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/la-zebra""}"
recrMHJw44gGaEMCD,Movich Cartagena de Indias,Colombia,Independent,Movich Hotel Cartagena de Indias,https://slh.com/hotels/movich-cartagena-de-indias,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/movich-cartagena-de-indias""}"
recqHl7aHccOukGfM,Hermitage Bay,Antigua and Barbuda,Independent,Hermitage Bay,https://slh.com/hotels/hermitage-bay,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hermitage-bay""}"
recHs3gUh0vkytXMf,Emiliano Sao Paulo,Brazil,Independent,Emiliano São Paulo,https://slh.com/hotels/emiliano-sao-paulo,95,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/emiliano-sao-paulo""}"
