bucket,recordId,strId,fieldsUpdated
AUTO_CONFLICT,recc2vb7exhsH8aOH,109274,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recCLjx3u5oE8ozHX,109291,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recBEP0gor05SsEiy,275245,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recFBKS8okVLLiy3q,309648,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recbWQSUUQAme5zie,142963,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recLSNAKzJdOjNEjy,287699,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recW9oKmmNs3gswgb,208378,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recl0VkActFj67zy2,108608,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recYL9nX9TiOJ0w99,137194,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recifj81LhqU0HEzv,149625,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recuVzSG3gXcVgK1p,174151,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recQj39xUKH23UITf,198488,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recHVAuSZvmUQqhwS,294759,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recnHUBsIHhnKY2mJ,152622,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recJPgHyXls0QmGiO,131909,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recdorwekj2x6vT8s,300979,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recfpGihpvX3iT5NN,153967,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWSGOFSugsI6meM,204967,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recLFYf5RYYI0Gigi,207298,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recBHUqaJtLMMcg65,166851,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recqVT1K40lA8vReY,116212,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recifX833u8mc7H4O,109076,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recpf9Z7vGfKgvkNh,196092,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recQ5YoTyOpDmLdB7,135293,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reczeNQwLh4K33Qca,116101,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec8emVOVPZfi2gYf,299528,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recL3YWf9gpYYeqYy,293609,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rectKqlmTLzWyh5jy,137867,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recT4uRKZpIvBWS0e,209674,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recNGkmN8xVvGFIu1,286254,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recnwwHEQfVSruv5R,256775,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recFgBPVSOS9bmudk,134091,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rects6G7ys25ye4Yj,308505,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recMOmOscjMWdCXO3,164177,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reccYplUPmgS84rxI,133291,Market; Submarket; city; country; name; Development Cost
