applyStatus,censusRecordId,censusName,directoryBrandPropertyCode,matchConfidence,appliedFieldCount
ok,recZMExPQYHr6kHxO,Canopy by Hilton Cancun La Isla,CUNLIPY,high,2
ok,recQ5SlL6FCVfRa8z,Canopy by Hilton Sao Paulo Jardins,GRUJAPY,high,2
ok,recHaanBcqWQf53lj,Conrad Punta de Mita,PVRPMCI,high,2
ok,recnePczxISckoGX9,Conrad Tulum Riviera Maya,CUNCICI,high,1
ok,recAaTLAMer14ZEuG,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",OLBBRQQ,high,1
ok,recTjYJPhwL821Sxl,Mahogany Bay Resort & Beach Club Curio Collection by Hilton,TZAMBQQ,high,2
ok,rec0bJzOb120B2jEc,DoubleTree by Hilton Bogota Salitre AR,BOGDTDT,high,2
ok,recWEUUJs8nUqEO93,DoubleTree by Hilton Buenos Aires,BUESIDT,high,3
ok,recGzMcfHqqLtFA4t,DoubleTree by Hilton Canela,CXJCADT,high,7
ok,recpFa441YMotl8Lw,DoubleTree by Hilton Celaya,CYWCEDT,high,1
ok,recr2wc8oBpm46jWj,DoubleTree by Hilton Foz do Iguacu Brazil,IGUCUDT,high,1
ok,rec6IKyhTX11kxg85,DoubleTree by Hilton Guadalajara Centro Historico,GDLDTDT,high,2
ok,recpSXUiBJyCS9ESu,DoubleTree by Hilton Guayaquil,GYEEKDT,high,1
ok,rec6xKwS2m883xRvS,DoubleTree by Hilton Hotel Bogota - Parque 93,BOGNTDT,high,2
ok,recSTvtsdrlB4tzsA,DoubleTree by Hilton Hotel Cariari San Jose,SJODTDT,high,2
ok,recZoafahfTVVw3Sd,DoubleTree By Hilton Hotel Iquitos,IQTIPDT,high,3
ok,rec4Tk1N3YVhZQu4L,DoubleTree by Hilton Hotel Mexico City Santa Fe,MEXSTDT,high,2
ok,recxCNeu71Xyy8xhY,DoubleTree by Hilton Hotel Queretaro,QRODTDT,high,1
ok,recgikCWhrvjTV7X2,DoubleTree by Hilton Hotel San Juan Puerto Rico,SJUDTDT,medium,2
ok,recylWxkvo9yFTDJj,DoubleTree by Hilton Hotel Santiago - Vitacura,SCLSVDT,high,1
ok,rec6yiFUq0xKltqep,DoubleTree by Hilton Hotel Veracruz,VERMADT,high,2
ok,recvQ61LspBBZxM0t,DoubleTree by Hilton Lima San Isidro,LIMALDT,high,1
ok,recKSKfFK4qyFdsoz,DoubleTree by Hilton Managua,MGANADT,high,2
ok,recIKOxkqgylexSGR,DoubleTree by Hilton Mazatlan,MZTDTDT,high,2
ok,rec4bSVPjrcRfLaSk,DoubleTree by Hilton Porto Alegre,POABRDT,high,2
ok,recL1iqX67rD9Im1Y,DoubleTree by Hilton Punta Cana Downtown,PUJOYDT,high,6
ok,recKKU7o2QlPqaSCe,DoubleTree by Hilton Santiago Kennedy,SCLSKDT,high,2
ok,recZt66WxPF4ZyobF,DoubleTree by Hilton Sao Paulo Itaim,SAODTDT,high,2
ok,rec4fpErb1WQoRS8N,DoubleTree by Hilton Toluca,TLCTLDT,high,3
ok,rechcNXNRIUaRNE8V,DoubleTree by Hilton Trujillo,TRUEEDT,high,2
ok,rec8Kr5nKdrODSdDp,DoubleTree by Hilton Lima Miraflores El Pardo,LIMPUDT,high,2
ok,recM0yKCzuvWNXEIo,Embassy Suites by Hilton Aruba Resort,AUAJMES,high,2
ok,recK7HUdZD07gIqMF,Embassy Suites by Hilton Bogota Rosales,BOGESES,high,2
ok,recO0tYz62oDVOjW4,Embassy Suites by Hilton Dorado Del Mar Beach Resort,DORPRES,high,2
ok,recLQoyNuoJL6CbjB,Embassy Suites by Hilton San Juan Hotel & Casino,SJUESES,high,2
ok,recuzI4Vhe1Mu1pjQ,Embassy Suites by Hilton Santo Domingo,SDQSDES,high,1
ok,recAvnmqhNiLe9Dje,Hampton by Hilton Aquascalientes Downtown,AGUMXHX,high,2
ok,recns9k9Wnvl3gHNU,Hampton by Hilton Antofagasta,ANFACHX,high,1
ok,recjVB7A0jclbqsis,Hampton by Hilton Arequipa,AQPPEHX,high,1
ok,recUpdB7gyQPf7Ncp,Hampton by Hilton Bariloche,BRCHXHX,high,2
ok,recTh8yjp8TKdigcP,Hampton by Hilton Barranquilla,BAQHXHX,high,2
ok,recPH5LiNI6mJ0C6Z,Hampton by Hilton Bogota Usaquen,BOGUSHX,high,2
ok,recjvQh52k0iRrhYL,Hampton By Hilton Bogota Airport,BOGHXHX,high,1
ok,recunKuZvWFIcaTEx,Hampton by Hilton Bucaramanga,BGAHXHX,high,1
ok,recphttl3lgozk9Gj,Hampton by Hilton Cali Colombia,CLOHXHX,high,1
ok,recAgbyFnkjlAyskH,Hampton by Hilton Caraguatatuba Serramar,QCQJLHX,high,7
ok,recNmYAApqJk2Z9AJ,Hampton by Hilton Cartagena,CTGHXHX,high,2
ok,recBSuHKa4UvKUqWz,Hampton By Hilton Cucuta,CUCCOHX,high,2
ok,recHBMncmGIgDdjQW,Hampton by Hilton Cusco,CUZHXHX,high,7
ok,recG4fIejQRdfUNIm,Hampton by Hilton David,DAVIDHX,high,2
ok,recZ00RNzg2wdr51M,Hampton by Hilton Grand Cayman Seven Mile Beach,GCMGCHX,high,2
ok,rec3WSuJfRfLW1rJb,Hampton by Hilton Guanacaste Airport,LIRRAHX,high,6
ok,recIuvAEBxEeh1haG,Hampton by Hilton Guarulhos Aeroporto,SAOGHHX,high,2
ok,recBfbbeqXK3wjjZ4,Hampton by Hilton Lima San Isidro,LIMHXHX,high,2
ok,recdvilqvKRr4ZdBv,Hampton by Hilton Medellin,MDEHXHX,high,2
ok,reccnr9ls6vsNqeTl,Hampton by Hilton Montevideo Carrasco,MVDHXHX,high,2
ok,rec5WGmqmEcgSJovQ,Hampton by Hilton Ponce,PSEPOHX,high,4
ok,recEKkU3GQYMWV66f,Hampton by Hilton Queretaro Juriquilla,QROJQHX,high,7
ok,rec562J8v78iMgqzm,Hampton by Hilton Quito La Carolina Park,UIOCMHX,high,2
ok,recgDZkiRysKvgCMz,Hampton by Hilton San Jose Airport,SJCAPHX,high,2
ok,rec2aR9iQWc4bmzm9,Hampton by Hilton San Juan City Center,SJACCHX,high,4
ok,recsfdgt5QDnDJNO4,Hampton by Hilton Santa Cruz/Equipetrol Bolivia,SRZEQHX,high,1
ok,recF2uI0D2IEpJost,Hampton by Hilton Santiago de los Caballeros,STILLHX,high,6
ok,recBeKZwESsz6eysx,Hampton by Hilton Santiago Las Condes,SCLARHX,high,7
ok,recbKqG7onY9CGh38,Hampton by Hilton Santo Domingo Airport,SDQAPHX,high,2
ok,recr3DXLHdh09J8mi,Hampton by Hilton St. Thomas,STTUNHX,high,6
ok,recrt0BVRIc581hh9,Hampton by Hilton Valledupar,VUPHXHX,high,1
ok,recHW8s0LxvTsj8IM,Hampton by Hilton Veracruz Boca del Rio,VERACHX,high,2
