baseLabel,baseId,tableName,tableId,recordCount,countExact,countMethod,countFieldUsed,protectedTable,safeCleanupCandidate,cleanupHint,error
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Contact & Uploads,tbljY3jQyeSEv2UqE,42,yes,paginated_select_minimal_fields,Working with Broker/Advisor? Text,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,User Management,tblQEpYKf2aYNKKjw,38,yes,paginated_select_minimal_fields,Company,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Target List,tblc18g3IyF4p5wRs,35,yes,paginated_select_minimal_fields,Brand Name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Operator Setup - Case Studies,tblAh1X0KDK8SeYK0,33,yes,paginated_select_minimal_fields,property_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Templates,tblhhvvoyAyEh3wIb,26,yes,paginated_select_minimal_fields,template_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Deal Actions,tblAc2w3jtzFvasAG,23,yes,paginated_select_minimal_fields,Action_ID,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Brand Deal Requests,tblndahdDwxWMNfH9,23,yes,paginated_select_minimal_fields,Brand Name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,SequenceSteps,tbluoegMThuploaCu,22,yes,paginated_select_minimal_fields,step_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,"Operator Setup - Governance, Delivery & Diligence",tblygTlNhFqyhU1Wu,13,yes,paginated_select_minimal_fields,company_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Operator Setup - Commercial Fit & Terms,tblkWAQHmTZRQGZES,13,yes,paginated_select_minimal_fields,company_name,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Messages,tblr9uWg6xbCGcLoK,12,yes,paginated_select_minimal_fields,message_label,no,no,,
AIRTABLE_BASE_ID,appvtnDurnMSjINP6,Operator Setup - Master,tbl4YPJ3XhnYLHLsD,12,yes,paginated_select_minimal_fields,company_name,no,no,,
