recordId,name,country,fieldsUpdated,sources,proposed
recbigUK1F633zMCZ,Rosewood Exuma,Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""East Sampson Cay""}"
rece3HDXI55Pl4hlG,Wyndham Garden Santa Barbara d'Oeste,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Santa Barbara d'Oeste""}"
receQNE3J03ELEpz4,JW Marriott Maraey Rio de Janeiro,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Maricá""}"
recekU5u0u05pxpLd,Radisson Hotel Flecheiras,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Flecheiras""}"
recf3qdiazYH28gQn,ibis Styles Toledo,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Toledo""}"
recfWqFCmJA4Lah4J,Edition Nayarit Mexico,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Nayarit""}"
recg8vj1jvMVTL8hN,Trademark by Wyndham Quintana Roo,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Quantana Roo""}"
recgUQZbWiZZi2P6o,aloft Puebla,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Heróica Puebla de Zaragoza""}"
recioal2ei61BfUlU,Radisson Hotel Espirito Santo do Pinhal,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Espirito Santo Do Pinha""}"
recjWfos0nzBQnzRE,"Cotton Bay, a Ritz-Carlton Reserve",Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""Eleuthera Island""}"
recjeZSHdfj4T17Ej,Autograph Collection All Inclusive Maraey Rio de Janeiro,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Maricá""}"
recjfc9MD75KEHVQ6,Avid Pachuca,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Pachuca de Soto""}"
recjswxgrPsoy2SSv,Sheraton Culiacan,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Culiacán Rosales""}"
recjuBZa4F05p5siQ,ibis Jau,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Jau""}"
reckY7sQdmwk62csA,Howard Johnson San Fernando del Valle de Catamarca,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""San Fernando de Valle""}"
reclrfPPqPSCeN9up,Our Habitas Mazunte,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Mazunte""}"
recmNGZAZjjnH4JON,Howard Johnson Bahia Blanca,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Bahía Blanca""}"
recnTtGLessS2lzw1,ibis Styles Luis Eduardo Magalhaes,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Luis Eduardo""}"
recnw8Shc8b5GHCtJ,ibis Styles Santo Angelo,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Santo Ângelo""}"
recoCqIJUJQTuGF4J,City Express By Marriott Nuevo Vallarta,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Mezcales""}"
recoQ8jS3sOJTVNBu,Bel Air Bahamas,Bahamas,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Bahamas"",""Submarket"":""Harbour Island""}"
recoR17mFObR37FS4,Home2 Suites by Hilton Monterrey Santa Catarina,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Ciudad Santa Catarina""}"
recoXzQQu6ISVNyAO,ibis Styles Lomas de Zamora,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Lomas de Zamora""}"
recp4pgLLfmFPo5Zg,Mercure Merlo San Luis,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Cortaderas""}"
recp57M707JagrlJU,Wyndham Primeiro de Maio,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Primeiro de Maio""}"
recrbEcbZBwzPKY6h,Wyndham Garden Castanhal,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Castanhal""}"
recsoakzBMUN6jde5,"Buenos Aires Parque Leloir, Hilton Garden Inn",Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Parque Leloir""}"
rectbYC21OSj0JrjN,ibis Santa Maria,Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Santa Maria""}"
rectfLvMQpQiU459M,"Qarib Hotel Bombinhas, Tapestry Collection by Hilton",Brazil,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Southeast"",""Submarket"":""Bombinhas""}"
recvmogByjihPP4Se,Holiday Inn Funza Columbia,Colombia,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Colombia Provincial"",""Submarket"":""Funza""}"
recwRYg4AizBAI6cD,Tru by Hilton Monterrey Apodaca,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Ciudad Apodaca""}"
recx3hAAbJHxd67la,"Milaroca, A Belmond Hotel, Riviera Nayarit",Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Nayarit""}"
recxd8bXWvmBgLici,Tru by Hilton Monterrey Santa Catarina,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Ciudad Santa Catarina""}"
reczCE59NSa8XeiJE,Ritz-Carlton Laguna Nopalitos Tulum,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Pino Suárez""}"
reczDOaVdtF0f1XMK,Wyndham Hotels and Resorts Sisal,Mexico,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Pacific Central"",""Submarket"":""Sisal""}"
reczSWGq3tAdoFGcd,Ibis Styles Escobar,Argentina,Market; Submarket,"{""Market"":""census_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Argentina Provincial"",""Submarket"":""Escobar""}"
