recordId,name,fields
rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",Conference (Y/N)
recAmOOcKJUQGN4Fo,"Hampton by Hilton Monterrey Tecnologico",Restaurant (Y/N);Conference (Y/N)
recqYSyQtGP2bCxG7,"Hampton Inn by Hilton San Juan Hato Rey",Restaurant (Y/N)
recDr3PMYwHOPq6D0,"Hampton Inn by Hilton Piedras Negras",Conference (Y/N)
recdorwekj2x6vT8s,"Motto by Hilton Cusco",Website;Amenities
recK728FXwgDn4N0e,"Motto by Hilton Lima Miraflores",Boutique (Y/N)
recK05OT2w10IJNpK,"Heredia Stadium Hotel, Tapestry Collection by Hilton",Conference (Y/N)
recUCjevWreNAb1eW,"Tru by Hilton Cali Sur",Conference (Y/N)
recXxX3Lpml1MSRic,"Tru by Hilton Cali Sur",Website;Amenities
