censusRecordId,censusName,censusCountry,propertyUrl,status,fetchMethod,parseErrors
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,blocked,puppeteer,puppeteer_access_denied
rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Brazil,https://www.choicehotels.com/sao-paulo/sertozinho/comfort-inn-hotels/br103,blocked,puppeteer,puppeteer_access_denied
rec0aasxB3kfvUGk5,Comfort Inn Queretaro Tecnologico,Mexico,https://www.choicehotels.com/queretaro/queretaro/comfort-inn-hotels/mx226,blocked,puppeteer,puppeteer_access_denied
rec0mwr7EJqCW2ftV,"Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals",Panama,https://www.choicehotels.com/colon/cerro-punta/radisson-individuals-hotels/pn007,blocked,puppeteer,puppeteer_access_denied
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Mexico,https://www.choicehotels.com/coahuila/torreon/sleep-inn-hotels/mx065,blocked,puppeteer,puppeteer_access_denied
