status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,Hampton by Hilton Sharma NEOM Community 1,NUMSAHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/saudi-arabia/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Sheffield,DSASHHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/hampton-by-hilton/
no_changes,recr3DXLHdh09J8mi,Hampton by Hilton St. Thomas,Hampton by Hilton St. Thomas,STTUNHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/sttunhx-hampton-st-thomas/
unmatched_directory,,,Hampton by Hilton Stockton on Tees,MMEKTHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Stuttgart Airport,STRUTHX,none,57,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Stuttgart City Centre,STRHXHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Swinoujscie,SZZSWHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/poland/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Szczecin East,SZZSEHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/poland/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Tallinn,TTLEEHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/estonia/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Targu Mures,TGMROHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/romania/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Tashkent,TASTUHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/uzbekistan/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Torquay,EXTTOHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Tours Centre,TUFHXHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/france/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Turkistan,CITTKHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/kazakhstan/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Ufa,UFAHXHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/russian-federation/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Utrecht Central Station,AMSUNHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Vadodara-Alkapuri,BDQHXHX,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/india/hampton-by-hilton/
no_changes,recrt0BVRIc581hh9,Hampton by Hilton Valledupar,Hampton by Hilton Valledupar,VUPHXHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/vuphxhx-hampton-valledupar/
