appliedAt,censusRecordId,censusName,censusCountry,propertyUrl,matchReason,fieldsJson
2026-07-22T21:15:59.568Z,rec23nnImPSGCxxY0,"Emiliano Rio de Janeiro",Brazil,https://slh.com/hotels/emiliano-rio,name_medium,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/emiliano-rio""}"
2026-07-22T21:15:59.905Z,recvSOugkDJ0JxVhv,"Mezzanine",Mexico,https://slh.com/hotels/mezzanine,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/mezzanine""}"
2026-07-22T21:16:00.202Z,recBMPIX0cM4OkhZu,"Goldwynn Resort & Residences Riviera Bahama",Bahamas,https://slh.com/hotels/goldwynn-resort-and-residences,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/goldwynn-resort-and-residences""}"
2026-07-22T21:16:00.526Z,recqk0na3nkyf4iCs,"La Casa Que Canta",Mexico,https://slh.com/hotels/la-casa-que-canta,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/la-casa-que-canta""}"
2026-07-22T21:16:00.836Z,recWqyfHUQJye8kiv,"Hotel Nantipa - A Tico Beach Experience",Costa Rica,https://slh.com/hotels/hotel-nantipa,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/hotel-nantipa""}"
2026-07-22T21:16:01.089Z,recsToxdAClktXWna,"Movich Casa del Alferez",Colombia,https://slh.com/hotels/movich-casa-del-alferez,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/movich-casa-del-alferez""}"
2026-07-22T21:16:01.390Z,recwjC1DT51M4UrMz,"Sansara Surf & Yoga Resort",Panama,https://slh.com/hotels/sansara-surf-and-yoga-resort,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/sansara-surf-and-yoga-resort""}"
2026-07-22T21:16:01.672Z,recARJFSH4xwgy1to,"Kenoa Exclusive Beach Spa & Resort",Brazil,https://slh.com/hotels/kenoa-beach-spa-and-resort,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/kenoa-beach-spa-and-resort""}"
2026-07-22T21:16:01.954Z,recRbGVkNeTtOqUKN,"Tabacon Grand Spa Thermal Resort",Costa Rica,https://slh.com/hotels/tabacon-thermal-resort-and-spa,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/tabacon-thermal-resort-and-spa""}"
2026-07-22T21:16:02.271Z,recrAUGMuYGEtMDnJ,"Casa Colonial Beach & Spa Resort",Dominican Republic,https://slh.com/hotels/casa-colonial-beach-and-spa,name_exact,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/casa-colonial-beach-and-spa""}"
2026-07-22T21:16:02.522Z,recUAnL1Q6q73HNKx,"Sunset Reef St. Kitts",Saint Kitts and Nevis,https://slh.com/hotels/sunset-reef,name_medium_city,"{""Affiliation"":""Small Luxury Hotels of the World"",""Parent Company"":""Small Luxury Hotels of the World"",""Website"":""https://slh.com/hotels/sunset-reef""}"
