censusRecordId,censusName,propertyId,matchConfidence,matchScore,fields
recHgGmHdg9GYLmEN,Holiday Inn Natal,NATAR,high,90,Website|Property ID
recXle8er7wkWbkyw,avid hotel Tijuana - Otay,TIJAV,high,90,Website|Property ID
recZyV5uXd56bpRHQ,Holiday Inn Express Veracruz Centro Historico,VCRDT,high,90,Website|Property ID
recrsPSemqOUDr5fR,Holiday Inn Morelia,MLMFO,high,90,Website|Property ID
recLUb9lcVPZMPzaA,Crowne Plaza Mexico City North Tlalnepantla,MEXLM,high,82,Website|Property ID
recoy0TbCGtLnN2nI,Avid Queretaro Sur,QROAV,high,80,Website|Property ID
recKdqMNR70C00302,Holiday Inn Resort Santiago - Presa La Boca,MTYSA,medium,70,Website|Property ID
recU7rLj0GaqpUIMi,Holiday Inn Leon Convention Center,BJXAP,medium,70,Website|Property ID
recoR5iuoOg3eNGRE,Holiday Inn Express & Suites Diamond,SVDDM,medium,70,Website|Property ID
