timestamp,route_or_page,operator_record_id,field_or_concept,canonical_key_expected,key_actually_used,fallback_used,unresolved,source_layer,user_facing_output_affected,recommended_action,raw_scope
2026-06-02T11:28:52.632Z,operator_explorer_detail_prefill,recZKRDG8eH2e9Tiy,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:28:52.636Z,operator_explorer_detail_prefill,recZKRDG8eH2e9Tiy,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:28:59.926Z,direct_read_prefill,recZKRDG8eH2e9Tiy,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:28:59.926Z,direct_read_prefill,recZKRDG8eH2e9Tiy,serviceModelsSupported,serviceModelsSupported,primaryServiceModel,true,false,inferred_explorer_read,maybe,batch_3c_fix,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,serviceModelsSupported,serviceModelsSupported,serviceModelsSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,chainScalesSupported,chainScalesSupported,chainScalesSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,activeCountries,activeCountries,activeCountries,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,activeMarkets,activeMarkets,activeMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:09.568Z,operator_explorer_detail_prefill,recTUjuDxL96yWcQA,specificMarkets,specificMarkets,specificMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,serviceModelsSupported,serviceModelsSupported,serviceModelsSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,chainScalesSupported,chainScalesSupported,chainScalesSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,activeCountries,activeCountries,activeCountries,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,activeMarkets,activeMarkets,activeMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:15.975Z,direct_read_prefill,recTUjuDxL96yWcQA,specificMarkets,specificMarkets,specificMarkets,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:24.515Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,companyName,companyName,companyName,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
2026-06-02T11:29:24.516Z,operator_explorer_detail_prefill,recq3NiRxOerg4kZU,serviceModelsSupported,serviceModelsSupported,serviceModelsSupported,false,false,inferred_explorer_read,no,legacy_acceptable,explorer_read_key_resolution_inferred
