source,setupTab,formKey,airtableField,tableKey,fieldType,displayedExplorer,newBaseWriter,selectOptions,recommendation
"setup-audit-not-displayed","9. Best Fit & Preferences","idealBuildingTypes","idealBuildingTypes","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealProjectsAdditionalNotes","idealProjectsAdditionalNotes","Operator Setup - Commercial Fit & Terms","multilineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealProjectSizeMax","idealProjectSizeMax","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealProjectSizeMin","idealProjectSizeMin","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealProjectTypes","idealProjectTypes","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealRoomCountMax","idealRoomCountMax","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","idealRoomCountMin","idealRoomCountMin","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","knownRedFlags","knownRedFlags","Operator Setup - Commercial Fit & Terms","multilineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","marketExpansionComfort","marketExpansionComfort","Operator Setup - Commercial Fit & Terms","singleSelect","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","marketExpansionRampTimeMonths","marketExpansionRampTimeMonths","Operator Setup - Profile & Positioning","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","marketsToAvoid","marketsToAvoid","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","marketsToAvoidOther","marketsToAvoidOther","Operator Setup - Commercial Fit & Terms","singleLineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","milestoneConstructionStartMinMonths","milestoneConstructionStartMinMonths","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","milestoneGrandOpeningMinMonths","milestoneGrandOpeningMinMonths","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","milestoneOperatorSelectionMinMonths","milestoneOperatorSelectionMinMonths","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","milestoneSoftOpeningMinMonths","milestoneSoftOpeningMinMonths","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","minLeadTimeMonths","minLeadTimeMonths","Operator Setup - Commercial Fit & Terms","number","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","mixedUseAllowed","mixedUseAllowed","Operator Setup - Commercial Fit & Terms","singleSelect","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","ownerHotelExperience","ownerHotelExperience","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","ownerInvolvementLevel","ownerInvolvementLevel","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","ownerNonNegotiableOther","ownerNonNegotiableOther","Operator Setup - Commercial Fit & Terms","singleLineText","No","Yes","","Bound in intake but DNA UI does not consume — deprecate after OAS check"
"setup-audit-not-displayed","9. Best Fit & Preferences","ownerNonNegotiables","ownerNonNegotiables","Operator Setup - Commercial Fit & Terms","multilineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","ownerNonNegotiableTypes","ownerNonNegotiableTypes","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","pipRepositioningDetails","pipRepositioningDetails","Operator Setup - Commercial Fit & Terms","multilineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","preferredOwnerType","preferredOwnerType","Operator Setup - Commercial Fit & Terms","singleSelect","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","priorityMarkets","priorityMarkets","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","priorityMarketsOther","priorityMarketsOther","Operator Setup - Commercial Fit & Terms","singleLineText","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
"setup-audit-not-displayed","9. Best Fit & Preferences","projectStage","projectStage","Operator Setup - Commercial Fit & Terms","multipleSelects","No","No","","Setup field not shown on DNA — deprecate if not used elsewhere"
