company,hqCity,hqCountry,calaHotels,calaPropertyCount,calaCountriesSummary,matchedOwnerName,matchType
Feelathome Apartments SL,Barcelona,Spain,unknown,,,,none
Fennell Holdings Inc,North Charleston,United States,unknown,,,,none
"Fertitta Hospitality, LLC",Houston,United States,unknown,,,,none
Fico Corporation,,Thailand,unknown,,,,none
Fine Hospitality Group,Brea,United States,unknown,,,,none
First Bristol Corporation,Fall River,United States,unknown,,,,none
First Canadian Management Corp,Burnaby,Canada,unknown,,,,none
First Hospitality,Chicago,United States,unknown,,,,none
Five Rivers Hospitality,Midvale,United States,unknown,,,,none
Five Star Group,Dalton,United States,unknown,,,,none
Fletcher Hotels,,Netherlands,unknown,,,,none
Flow,Bay Harbor Islands,United States,unknown,,,,none
"Flow Companies, Inc",New York,United States,unknown,,,,none
Flying Elephant AS,Oslo,Norway,unknown,,,,none
Flying Trade Group plc,Harwich,United Kingdom,unknown,,,,none
FMTG - Falkensteiner Michaeler Tourism Group,Vienna,Austria,unknown,,,,none
Foley Entertainment Group LLC,Las Vegas,United States,unknown,,,,none
Fontainebleau Development,Aventura,United States,unknown,,,,none
Forenom,,Finland,unknown,,,,none
Forever Resorts,Pretoria,South Africa,unknown,,,,none
Foss Hotel,Reykjavik,Iceland,unknown,,,,none
Foundation Group,Hayes,United Kingdom,unknown,,,,none
Fragrance Group Ltd,Singapore,Singapore,unknown,,,,none
Frank Hotels,Long Beach,United States,unknown,,,,none
Frasers Hospitality PTE Ltd,Singapore,Singapore,unknown,,,,none
Frasers Property,Singapore,Singapore,unknown,,,,none
"Friend Stage Co., Ltd.",,Japan,unknown,,,,none
"Friendwell Management USA, LLC",Edison,United States,unknown,,,,none
Frontier Hospitality Group,Bettendorf,United States,unknown,,,,none
Fuller's,London,United Kingdom,unknown,,,,none
Funyard Hotels and Resorts,,China,unknown,,,,none
Fusion Hospitality,Tupelo,United States,unknown,,,,none
Fusion Lodging,Depoe Bay,United States,unknown,,,,none
G'Day Group,Adelaide,Australia,unknown,,,,none
G2 Venture Group,Memphis,United States,unknown,,,,none
gaia rooms,Madrid,Spain,unknown,,,,none
Galaxy Hotels Group,Frisco,United States,unknown,,,,none
"GAP Hotels, LLC",Carencro,United States,unknown,,,,none
GAT Gestion de Activos Turisticos,Madrid,Spain,unknown,,,,none
GAW Capital Partners,Hong Kong,China,unknown,,,,none
General Hotels Corporation,Indianapolis,United States,unknown,,,,none
Genesis Hospitality Inc.,Brandon,Canada,unknown,,,,none
Genting Group,,Malaysia,unknown,,,,none
Genting Malaysia Berhad,,Malaysia,unknown,,,,none
Geovita S.A.,,Poland,unknown,,,,none
Germain Hôtels,Québec,Canada,unknown,,,,none
Gest Hotels,,Norway,unknown,,,,none
GF Hotels & Resorts,Philadelphia,United States,unknown,,,,none
GHM Properties,Old Bridge,United States,unknown,,,,none
GHP Hôtels,Puteaux,France,unknown,,,,none
"Gibson Hotel Management, Inc.",Knoxville,United States,unknown,,,,none
Giri Hotel Management,Quincy,United States,unknown,,,,none
Glen Leavitt,Jerome,United States,unknown,,,,none
Global Core Group,Edmond,United States,unknown,,,,none
Global Hospitality Networks,Anaheim,United States,unknown,,,,none
"Global One Hotel Group, Inc.",,Philippines,unknown,,,,none
Global Premium Hotels Ltd,Singapore,Singapore,unknown,,,,none
Gokulam Park Hotels,Ernakulam,India,unknown,,,,none
Gold Tree Group,,Switzerland,unknown,,,,none
Gordon Elliott,Springfield,United States,unknown,,,,none
Gorgeous Smiling Hotels GmbH,Munich,Germany,unknown,,,,none
GPS Realty NYC,New York,United States,unknown,,,,none
Grand Continent Hotels,Bengaluru,India,unknown,,,,none
Grape Hospitality,,France,unknown,,,,none
Great Eagle Hospitality,,China,unknown,,,,none
Great Wolf Resorts,Chicago,United States,unknown,,,,none
Grecotel Hotels & Resorts,,Greece,unknown,,,,none
Greene King,Bury St Edmunds,United Kingdom,unknown,,,,none
Greenland International Hotels Group,,China,unknown,,,,none
Greens Development Inc,Irvine,United States,unknown,,,,none
"Greentown China Holdings Co., Ltd",Hangzhou,China,unknown,,,,none
"Gresham James Hotels, LLC",Lewisville,United States,unknown,,,,none
Griffin Stafford LLC,Charlotte,United States,unknown,,,,none
Gromada,,Poland,unknown,,,,none
Grossman Company Properties,Scottsdale,United States,unknown,,,,none
Groupe Astotel,,France,unknown,,,,none
Groupe Galia,Paris,France,unknown,,,,none
Groupe MyHotels,Paris,France,unknown,,,,none
Groupe Partouche,Paris,France,unknown,,,,none
Groupe Pichet,Pessac,France,unknown,,,,none
Groupe Terrot,Paris,France,unknown,,,,none
GRT Hotels & Resorts Pvt Ltd,,India,unknown,,,,none
Grup RV,Barcelona,Spain,unknown,,,,none
Grupo de Administración Empresarial S.A.,,Cuba,unknown,,,,none
Grupo Empresas Matutes,,Spain,unknown,,,,none
Grupo Gargallo,Barcelona,Spain,unknown,,,,none
Grupo Habita,,Mexico,unknown,,,,none
Grupo Poma,,El Salvador,unknown,,,,none
Grupo PSH,Pájara,Spain,unknown,,,,none
Grupo Ramat,,Spain,unknown,,,,none
Grupo Vazol,,Mexico,unknown,,,,none
Grupo Vazol,Mexico City,Mexico,unknown,,,,none
Grupo Visabeira,Viseu,Portugal,unknown,,,,none
Grupotel Hotels & Resorts,Santa Margalida,Spain,unknown,,,,none
Gruppo UNA S.p.A.,,Italy,unknown,,,,none
Guangzhou Yuexiu Commercial Real Estate Investment,Guangzhou,China,unknown,,,,none
Gurbir Sandhu Company,Kennewick,United States,unknown,,,,none
H World Group Limited,Shanghai,China,unknown,,,,none
H-Hotels GmbH,,Germany,unknown,,,,none
h-top Hotels & Resorts Group,,Spain,unknown,,,,none
H&W Management,Lexington,United States,unknown,,,,none
Hall & Woodhouse Ltd,Blandford Forum,United Kingdom,unknown,,,,none
Hall Equities Group,Walnut Creek,United States,unknown,,,,none
Hamister Group,Buffalo,United States,unknown,,,,none
Hampshire Property Group,,Australia,unknown,,,,none
"Hampton Hospitality Mgt (Guangzhou) Co., Ltd",Kunshan,China,unknown,,,,none
Hannigan Hotels,Grangemouth,United Kingdom,unknown,,,,none
Hanwha Group,Seoul,"Korea, Republic of (South)",unknown,,,,none
Harbour Hotels Management Limited,Christchurch,United Kingdom,unknown,,,,none
Harmony Hospitality,Virginia Beach,United States,unknown,,,,none
Harrison Group,Ocean City,United States,unknown,,,,none
Harrys Home Holding AG,Innsbruck,Austria,unknown,,,,none
Harshad Patel,Artesia,United States,unknown,,,,none
Hart Family Hotels,Lake View,United States,unknown,,,,none
Hart Hospitality,Cartagena,Colombia,unknown,,,,none
Hart Hotels Inc,Buffalo,United States,unknown,,,,none
Hashoo Group,Islamabad,Pakistan,unknown,,,,none
Haven Management Services,San Marcos,United States,unknown,,,,none
Hawkeye Hotels,Coralville,United States,unknown,,,,none
HCW Hospitality & Development,Branson,United States,unknown,,,,none
HCW Hospitality & Development,Phoenix,United States,unknown,,,,none
HDG – Legacy Division,Ocala,United States,unknown,,,,none
Heart of America Group,Moline,United States,unknown,,,,none
Heartwood Collection Ltd,Teddington,United Kingdom,unknown,,,,none
Hebei Tourism Investment JinLing International,Shijiazhuang,China,unknown,,,,none
Heeton Holdings Ltd,,Singapore,unknown,,,,none
HEI Hotels & Resorts,Norwalk,United States,unknown,,,,none
Heintz Hotellerie,Metz,France,unknown,,,,none
Heintz Immobilier & Hôtels,Metz,France,unknown,,,,none
Hemal Shah,Glen Allen,United States,unknown,,,,none
"Heritage Hospitality Management, Inc.",Staunton,United States,unknown,,,,none
Heritage Hotels & Resorts,Albuquerque,United States,unknown,,,,none
Herschend Family Entertainment,Peachtree Corners,United States,unknown,,,,none
HF Holidays LTD,Elstree,United Kingdom,unknown,,,,none
Hickory Furniture Mart,Hickory,United States,unknown,,,,none
High Hotels Ltd,Lancaster,United States,unknown,,,,none
High-Rise Hotels,Florence,United States,unknown,,,,none
Hill Hospitality,Easton,United States,unknown,,,,none
Hind Group,Hong Kong,China,unknown,,,,none
"Hiperion Capital Management S.G.E.C.R., S.A.",Madrid,Spain,unknown,,,,none
Hipotels Hotels & Resorts,,Spain,unknown,,,,none
Historic Tours Of America,Saint Augustine,United States,unknown,,,,none
Hively Hospitality,La Rochelle,France,unknown,,,,none
"HK CTS Hotels Co., Ltd.",Beijing,China,unknown,,,,none
HKB Hotel Group,Atlanta,United States,unknown,,,,none
HMB Hotels,Allentown,United States,unknown,,,,none
HMI Hotel Group,,Japan,unknown,,,,none
HMP Properties,Williamsburg,United States,unknown,,,,none
"HNA Group Co., Ltd.",,China,unknown,,,,none
HNA Hospitality Group,Paris,France,unknown,,,,none
Holding Garibaldi Hotels Spa,,Italy,unknown,,,,none
Hollander Hospitality,Bellingham,United States,unknown,,,,none
Honestis AG,Köln,Germany,unknown,,,,none
Honotel Group,Paris,France,unknown,,,,none
Horizon Hospitality Management Inc,Alpharetta,United States,unknown,,,,none
HOS Management,Pooler,United States,unknown,,,,none
Hoshino Resorts Inc.,,Japan,unknown,,,,none
"Hospitality Associates, Inc.",Spokane Valley,United States,unknown,,,,none
"Hospitality Capital Partners, LLC",Phoenix,United States,unknown,,,,none
Hospitality Management Services,Albuquerque,United States,unknown,,,,none
Hospitality Specialists Inc.,Jacksonville,United States,unknown,,,,none
Hotel Investment Group,San Diego,United States,unknown,,,,none
Hotel Okura Co Ltd,,Japan,unknown,,,,none
Hotel Properties Ltd,Singapore,Singapore,unknown,,,,none
Hotel Servigroup,,Spain,unknown,,,,none
Hotel Sonar Bangla,Kolkata,India,unknown,,,,none
Hotele Diament S.A,,Poland,unknown,,,,none
Hoteles Amistad S.A.,Madrid,Spain,unknown,,,,none
Hoteles Elba,,Spain,unknown,,,,none
Hoteles Morrison,Bogota,Colombia,unknown,,,,none
Hoteles Saint Michel Famcolom,Palma,Spain,unknown,,,,none
"Hotels Unlimited, Inc.",East Windsor,United States,unknown,,,,none
Hoti Hoteis,,Portugal,unknown,,,,none
HPL Hotels & Resorts,,Singapore,unknown,,,,none
HRI Properties,New Orleans,United States,unknown,,,,none
Hulsing Enterprises,Prairie Village,United States,unknown,,,,none
Hunguest Hotels,,Hungary,unknown,,,,none
Huntington Hotel Group,Irving,United States,unknown,,,,none
"IBERIA SUITES, S.L",Madrid,Spain,unknown,,,,none
Icelandair Hotels,Reykjavik,Iceland,unknown,,,,none
Ichigo Inc.,,Japan,unknown,,,,none
Icon Lodging,Coppell,United States,unknown,,,,none
Iconia Hospitality,,Japan,unknown,,,,none
"Ideal Hospitality Investment, Inc.",Pooler,United States,unknown,,,,none
IDILIQ Group,Manchester,United Kingdom,unknown,,,,none
IGB Corporation Berhad,,Malaysia,unknown,,,,none
iH Hotels Group,,Italy,unknown,,,,none
Ikos Spanish Hotels Management SL,,Greece,unknown,,,,none
Ilanga Capital,Madrid,Spain,unknown,,,,none
Ilunion Hotels,,Spain,unknown,,,,none
Image Hotel Management Inc.,Cookeville,United States,unknown,,,,none
Imagine Hospitality,Cookeville,United States,unknown,,,,none
Imbue Investments,Kingwood,United States,unknown,,,,none
IMIC Hotels,Columbia,United States,unknown,,,,none
Imperativ Hospitality Pvt Ltd,,India,unknown,,,,none
"Imperial Investments Group, Inc.",Peachtree Corners,United States,unknown,,,,none
Imperial London Hotels Limited,London,United Kingdom,unknown,,,,none
India Hostels Pvt Ltd,Jaipur,India,unknown,,,,none
Indiana Hospitality Group,Granger,United States,unknown,,,,none
Indus Companies,Pittsford,United States,unknown,,,,none
Indus Hospitality Group,Rochester,United States,unknown,,,,none
"Indus Hotels, LLC",Columbus,United States,unknown,,,,none
Ingenia Communities Pty Ltd,Sydney,Australia,unknown,,,,none
Inland Pacific Companies,Broomfield,United States,unknown,,,,none
Innisfree Hotels,Gulf Breeze,United States,unknown,,,,none
Innovative Hospitality Management,New Hope,United States,unknown,,,,none
InnTrusted,Idaho Falls,United States,unknown,,,,none
Innvest FL,Pensacola,United States,unknown,,,,none
InnVest Hotels,Toronto,Canada,unknown,,,,none
InnVite Hospitality,Columbus,United States,unknown,,,,none
Insignia Hospitality Group,Midland,United States,unknown,,,,none
Integrity International Group,London,United Kingdom,unknown,,,,none
Intelier Hotels & Suites,,Spain,unknown,,,,none
Inter Risco Private Equity,,Portugal,unknown,,,,none
Interglobe Enterprises,Gurugram,India,unknown,,,,none
"InterMountain Management, LLC",Monroe,United States,unknown,,,,none
Interpub plc (Beds & Bars Ltd),London,United Kingdom,unknown,,,,none
Invest Hospitality SpA,,Italy,unknown,,,,none
InVision Hotel Group,Dumas,United States,unknown,,,,none
INVON,Shanghai,China,unknown,,,,none
IRAS Group,Doral,United States,unknown,,,,none
Iris Capital,Sydney,Australia,unknown,,,,none
Isrotel LTD,,Israel,unknown,,,,none
ITC Hotels,Gurgaon,India,unknown,,,,none
ITC Hotels Limited,Kolkata,India,unknown,,,,none
ITI Hotels,Rome,Italy,unknown,,,,none
Izan Hoteles,Madrid,Spain,unknown,,,,none
J D Wetherspoon plc,Watford,United Kingdom,unknown,,,,none
"J.P. Sethi Enterprises, Inc.",Carlsbad,United States,unknown,,,,none
Jackie's International,Canton,United States,unknown,,,,none
Jade Hospitality,,France,unknown,,,,none
Jain Hotels,Tulsa,United States,unknown,,,,none
"Jalaram Hotels, Inc.",Saint Augustine,United States,unknown,,,,none
JAMP Hotels,Tomah,United States,unknown,,,,none
Jamsan Management,Lexington,United States,unknown,,,,none
Janko Group,Riverwoods,United States,unknown,,,,none
Jasmin Hospitality Management,Orlando,United States,unknown,,,,none
Jaswinder Dhami,Carson City,United States,unknown,,,,none
JDK Management Co,Bloomsburg,United States,unknown,,,,none
JGroup Hospitality,Portsmouth,United States,unknown,,,,none
"Jin Jiang International (Holdings) Co., Ltd.",Shanghai,China,unknown,,,,none
Jiten Hotel Management Inc,Brockton,United States,unknown,,,,none
JL Properties,Anchorage,United States,unknown,,,,none
JM Hospitality Inc,Markham,Canada,unknown,,,,none
JMK Group,Harrow,United Kingdom,unknown,,,,none
JMS Family Holdings,Duluth,United States,unknown,,,,none
JNR Management Inc.,Waltham,United States,unknown,,,,none
Jobalia Development Group,Daytona Beach,United States,unknown,,,,none
Jordache Israel,Herzliya,Israel,unknown,,,,none
Joshi Hotel Group,Allentown,United States,unknown,,,,none
JP Hospitality,Richmond,United States,unknown,,,,none
JS Hotels & Resorts,,Spain,unknown,,,,none
JSK Hospitality LLC,South Bend,United States,unknown,,,,none
JSR Hotels,Lafayette,United States,unknown,,,,none
Julio Del Rey Jr,Hialeah,United States,unknown,,,,none
JV Hospitality Group,Nashville,United States,unknown,,,,none
JW Lees & Co Brewers Ltd.,Manchester,United Kingdom,unknown,,,,none
K & K Hotel Group,Houston,United States,unknown,,,,none
K Diamond Hotels,Billings,United States,unknown,,,,none
Kaeding Development Group,Bloomington,United States,unknown,,,,none
KAJ Hospitality,Sioux Falls,United States,unknown,,,,none
Kalahari Management Co. LLC,Wisconsin Dells,United States,unknown,,,,none
Kalpesh Patel,West Des Moines,United States,unknown,,,,none
Kalthia Group Hotels,San Diego,United States,unknown,,,,none
Kalyan Hospitality,Glen Allen,United States,unknown,,,,none
Kamaldeep Gill,Missouri City,United States,unknown,,,,none
Kamat Hotels (India) Ltd,,India,unknown,,,,none
Kamla Hotels,Cerritos,United States,unknown,,,,none
Kana Hotel Group,Knoxville,United States,unknown,,,,none
"Kasa, Inc.",Miami,United States,unknown,,,,none
Kasada Services Limited,,Mauritius,unknown,,,,none
Kasemkij Company,,Thailand,unknown,,,,none
KC Galaxy Management,Kansas City,United States,unknown,,,,none
"Keihan Holdings Co., Ltd.",Osaka,Japan,unknown,,,,none
Keikyu Corporation,Yokohama,Japan,unknown,,,,none
Keio Corporation (HO),Tama-Shi,Japan,unknown,,,,none
Kejja,Montréal,Canada,unknown,,,,none
"Kelly Inns, Ltd",Sioux Falls,United States,unknown,,,,none
Ken Corporation Ltd,,Japan,unknown,,,,none
Keystone Hotel Group,Cincinnati,United States,unknown,,,,none
Kiferbaum Development Group,Chicago,United States,unknown,,,,none
KiN Group,Singapore,Singapore,unknown,,,,none
KingsLane Group,Raleigh,United States,unknown,,,,none
Kinseth Hospitality Companies,Coralville,United States,unknown,,,,none
Kintetsu Group Holdings Co. Ltd,,Japan,unknown,,,,none
Kirkbi,Billund,Denmark,unknown,,,,none
Kiwi Hospitality,Auckland,New Zealand,unknown,,,,none
Klarent Hospitality Ltd,Glasgow,United Kingdom,unknown,,,,none
KM Hotels,Richmond,United States,unknown,,,,none
KMG Hotels,North Kansas City,United States,unknown,,,,none
KNB Hotels,Little Rock,United States,unknown,,,,none
"Kokusai Kogyo Co., Ltd.",Chuo-Ku,Japan,unknown,,,,none
KOR Real Estate Partners LLC,Santa Monica,United States,unknown,,,,none
Korman Communities,Plymouth Meeting,United States,unknown,,,,none
Kourtidis Group SA,,Greece,unknown,,,,none
Kriya Hotels,Grapevine,United States,unknown,,,,none
Krushiker Hospitality Group (KHG Hotels),Springdale,United States,unknown,,,,none
Kudos Immobilier Inc,Québec,Canada,unknown,,,,none
Kushman Hotels,Poway,United States,unknown,,,,none
KVA Management,Airway Heights,United States,unknown,,,,none
"KWB, LLC",Sioux Falls,United States,unknown,,,,none
KWG Property Holdings Limited,Guangzhou,China,unknown,,,,none
Kyushu Railway Company,Fukuoka,Japan,unknown,,,,none
KZ Services,Clemmons,United States,unknown,,,,none
Lafayette Hotels,Bangor,United States,unknown,,,,none
Lafrance Hospitality,Westport,United States,unknown,,,,none
Lalani Lodging,Waco,United States,unknown,,,,none
Lamont Companies,Aberdeen,United States,unknown,,,,none
Land & Houses PCL,,Thailand,unknown,,,,none
Land Union Gruppe,,Germany,unknown,,,,none
Landmark Hotel Group,Virginia Beach,United States,unknown,,,,none
Landmark Insurance,St George,United States,unknown,,,,none
"Landry's, LLC",Houston,United States,unknown,,,,none
LAP Group,Norfolk,United States,unknown,,,,none
Larco Hospitality,Vancouver,Canada,unknown,,,,none
Lark Hospitality,Portsmouth,United States,unknown,,,,none
Larson Companies,Eau Claire,United States,unknown,,,,none
Laurel Lodging,Mount Laurel,United States,unknown,,,,none
Lavorel Hotels,Lyon,France,unknown,,,,none
Laxmi Hotels Group,Charlotte,United States,unknown,,,,none
LBO France,Paris,France,unknown,,,,none
LDC Hotels & Resorts Group,,Taiwan (China),unknown,,,,none
"Legacy Development and Management, LLC",Albuquerque,United States,unknown,,,,none
Leisure Accommodation Collective Pty Ltd,Sydney,Australia,unknown,,,,none
Lemon Tree Hotels Limited,New Delhi,India,unknown,,,,none
Les Hotels Emeraude,,France,unknown,,,,none
Level X Group,Houston,United States,unknown,,,,none
Lexington Hotel Group,West Chester,United States,unknown,,,,none
LFPI Group,Paris,France,unknown,,,,none
LHM Companies,Ashburn,United States,unknown,,,,none
Liberation Group,Jersey,United Kingdom,unknown,,,,none
Liberty Hospitality Partners,Montoursville,United States,unknown,,,,none
Liberty Hotel Group,Liberty,United States,unknown,,,,none
Lifestyle Hospitality Capital Group,London,United Kingdom,unknown,,,,none
Limestone Capital AG,,Switzerland,unknown,,,,none
Linchris Hotels,Plymouth,United States,unknown,,,,none
Lincoln Asset Management,Lake Oswego,United States,unknown,,,,none
Lindner Hotels AG,Düsseldorf,Germany,unknown,,,,none
Lingnan Group,Guangzhou,China,unknown,,,,none
Lixi Hospitality Group,Montréal,Canada,unknown,,,,none
"Lodgco Management, LLC",Grand Rapids,United States,unknown,,,,none
LodgeWorks,Wichita,United States,unknown,,,,none
Lodgic Hospitality,Webster,United States,unknown,,,,none
Lodging Hospitality Management,Saint Louis,United States,unknown,,,,none
Loews Corporation,New York,United States,unknown,,,,none
"Loews Hotels, LLC",New York,United States,unknown,,,,none
Logisco,Lévis,Canada,unknown,,,,none
London Hotel Group Ltd,London,United Kingdom,unknown,,,,none
Lotte Hotels & Resorts,Seoul,"Korea, Republic of (South)",unknown,,,,none
Lotus Hospitality,Independence,United States,unknown,,,,none
"Lotus Management, Inc",San Jose,United States,unknown,,,,none
Loughborough University,Loughborough,United Kingdom,unknown,,,,none
Louis Group,,Cyprus,unknown,,,,none
Lowen Hospitality Management LLC,Grapevine,United States,unknown,,,,none
Lowkl,Miami Beach,United States,unknown,,,,none
LRP Hotels,Pooler,United States,unknown,,,,none
LTD Hospitality Group,Virginia Beach,United States,unknown,,,,none
Luckey's Management,Fort Lauderdale,United States,unknown,,,,none
Luxemon Hotel Group,Shanghai,China,unknown,,,,none
LVG Hotel Collection,Alessandria,Italy,unknown,,,,none
LVMH,Paris,France,unknown,,,,none
Macdonald Hotels & Resorts Limited,Bathgate,United Kingdom,unknown,,,,none
Mactaggart Family & Partners,London,United Kingdom,unknown,,,,none
Mad Monkey Backpackers,Cairns,Australia,unknown,,,,none
Magic Hotel Group,,Spain,unknown,,,,none
Magna Capital Management LLC,Warwick,United States,unknown,,,,none
Magna Hospitality,Warwick,United States,unknown,,,,none
Magnolia Hospitality Group LLC,Southlake,United States,unknown,,,,none
Mahindra Group,,India,unknown,,,,none
Mahindra Holidays & Resorts India Limited,Mumbai,India,unknown,,,,none
Maine Course Hospitality Group,Freeport,United States,unknown,,,,none
Makan Hospitality Management,Little Rock,United States,unknown,,,,none
Malhotra Group PLC,Newcastle Upon Tyne,United Kingdom,unknown,,,,none
Mandala Asset Solutions Pty Ltd,Sydney,Australia,unknown,,,,none
Manga Corporate LP,Toronto,Canada,unknown,,,,none
Mansa Hospitality,Birmingham,United States,unknown,,,,none
Marine Corps Hospitality Services,Quantico,United States,unknown,,,,none
Marlin Apartments Management,London,United Kingdom,unknown,,,,none
Marsden Hotel Group,,New Zealand,unknown,,,,none
Marston's plc,Wolverhampton,United Kingdom,unknown,,,,none
"Marwaha Group, Inc.",Anaheim,United States,unknown,,,,none
Masa Rental Socimi,Madrid,Spain,unknown,,,,none
Mashantucket Pequot Tribal Nation,Mashantucket,United States,unknown,,,,none
MasterBUILT Hotels Ltd,Calgary,Canada,unknown,,,,none
Masterworks Development Corp,New York,United States,unknown,,,,none
Mata Capital,Paris,France,unknown,,,,none
Matrix Hotels,Clifton Park,United States,unknown,,,,none
Maya Hotels,Charlotte,United States,unknown,,,,none
Mayfair Hotels & Resorts,,India,unknown,,,,none
Mayfair Properties Ltd.,Vancouver,Canada,unknown,,,,none
McGettigan Hotel Group,Dublin,Ireland,unknown,,,,none
McKibbon Hotel Management,Tampa,United States,unknown,,,,none
"McMenamins Pubs, Breweries & Hotels",Portland,United States,unknown,,,,none
McNeill Hotel Company,Germantown,United States,unknown,,,,none
MCR Hotels Holdings LLC,New York,United States,unknown,,,,none
MD Hospitality,Chattanooga,United States,unknown,,,,none
MDM Hotel Group,Miami,United States,unknown,,,,none
Medallion Hospitality,Scottsdale,United States,unknown,,,,none
Meininger Hotels,,Germany,unknown,,,,none
Melco Resorts & Entertainment Limited,Hong Kong,China,unknown,,,,none
"Menada, Inc.",Miami,United States,unknown,,,,none
"Menna Development & Management, Inc.",Clearwater,United States,unknown,,,,none
Mercan Group,Montréal,Canada,unknown,,,,none
Merete Hotel Management,Springfield,United States,unknown,,,,none
Meriton Suites,Sydney,Australia,unknown,,,,none
Merlin Entertainments Group Ltd.,Poole,United Kingdom,unknown,,,,none
MGM Resorts International,Las Vegas,United States,unknown,,,,none
"MHG Hotels, LLC",Indianapolis,United States,unknown,,,,none
MHL Hotel Collection,,Ireland,unknown,,,,none
"Mid America Lodging Group, LLC",Auburn Hills,United States,unknown,,,,none
Mid-Continent Hospitality,Frisco,United States,unknown,,,,none
MidAmerica Hotels Corporation,Cape Girardeau,United States,unknown,,,,none
Midas Enterprises,Maryland Heights,United States,unknown,,,,none
"Midas Hospitality, LLC",Saint Louis,United States,unknown,,,,none
Middletown Hotel Management,Beavercreek,United States,unknown,,,,none
Milenij Hoteli d.o.o.,,Croatia,unknown,,,,none
Millennium Hotels & Resorts (MHR),,Singapore,unknown,,,,none
Millett Real Estate,Clarks Summit,United States,unknown,,,,none
Milling Hotels,Odense C,Denmark,unknown,,,,none
Mitchells & Butlers,Birmingham,United Kingdom,unknown,,,,none
Mitta’s Group,Springfield,United States,unknown,,,,none
MK Hotels,Brea,United States,unknown,,,,none
MKP Management,Lexington,United States,unknown,,,,none
MMP Properties,Upland,United States,unknown,,,,none
MNJ Hospitality,Franklin,United States,unknown,,,,none
Mogotel Hotel Group,,Latvia,unknown,,,,none
Monarch Group Hotels,Corpus Christi,United States,unknown,,,,none
Monkey Business Groups SAS,Bogota,Colombia,unknown,,,,none
Moody National Companies,Houston,United States,unknown,,,,none
More Solutions Corp,Miami,United States,unknown,,,,none
"Mori Trust Co., Ltd.",Tokyo,Japan,unknown,,,,none
Motel One GmbH,,Germany,unknown,,,,none
MotManCo Inc.,Valdosta,United States,unknown,,,,none
Mpire Hospitality,Austin,United States,unknown,,,,none
MPS Management,Alamosa,United States,unknown,,,,none
MRK Hotel Collection,Miami,United States,unknown,,,,none
MSC Companies,South Jordan,United States,unknown,,,,none
Mumtalakat Holding Company,,Bahrain,unknown,,,,none
Mundi Hotel Enterprises Inc.,Kamloops,Canada,unknown,,,,none
Muong Thanh Hospitality,,Vietnam,unknown,,,,none
MY Hospitality,Vicksburg,United States,unknown,,,,none
My Place Hotels of America,Aberdeen,United States,unknown,,,,none
Myconian Collection,Mykonos,Greece,unknown,,,,none
Najeti Hôtels & Golfs Collection,Blendecques,France,unknown,,,,none
Naman Hotels,Florence,United States,unknown,,,,none
Namou Hotel Group,Madison Heights,United States,unknown,,,,none
Namron Hospitality Group,Tulum,Mexico,unknown,,,,none
"Narai Hotel Company, Ltd.",,Thailand,unknown,,,,none
Narsi Hotels,Raleigh,United States,unknown,,,,none
Nath Companies,Bloomington,United States,unknown,,,,none
Nath Inc.,Kalamazoo,United States,unknown,,,,none
National Hospitality Management,Las Vegas,United States,unknown,,,,none
Natson Hotel Group,McDonough,United States,unknown,,,,none
"Nautic Partners, LLC",Providence,United States,unknown,,,,none
Navika Capital Group LLC,Uniondale,United States,unknown,,,,none
NCG Hospitality,Middleton,United States,unknown,,,,none
New Castle Hotels & Resorts,Ridgefield,United States,unknown,,,,none
New Gen Hospitality Management,South Portland,United States,unknown,,,,none
New Vision Hotel Management,Pearl,United States,unknown,,,,none
New Vision Hotels,Colorado Springs,United States,unknown,,,,none
New Vision Ventures,Pearl,United States,unknown,,,,none
Nexgen Management,Dallas,United States,unknown,,,,none
Nightcap Management,Lincoln,United States,unknown,,,,none
Nilesh Patel,San Diego,United States,unknown,,,,none
Nine Group,Watford,United Kingdom,unknown,,,,none
"Nishi-Nippon Railroad Co.,Ltd.",Fukuoka,Japan,unknown,,,,none
NJA Management Group LLC,Bloomfield Hills,United States,unknown,,,,none
Nofar Hotel Group,Novi,United States,unknown,,,,none
Noli Studios Finland Oy,Helsinki,Finland,unknown,,,,none
North Development,Miami,United States,unknown,,,,none
North Pacific Management,Tigard,United States,unknown,,,,none
North Point Hospitality,Atlanta,United States,unknown,,,,none
Northland Properties,Vancouver,Canada,unknown,,,,none
Northstar Hospitality Management Group,Augusta,United States,unknown,,,,none
Not a Hotel Venture Ltd,,Ireland,unknown,,,,none
Nova Hotels,Edmonton,Canada,unknown,,,,none
Novum Management GmbH,Hamburg,Germany,unknown,,,,none
NSR Hotels,Anaheim,United States,unknown,,,,none
NSW Crown Holiday Parks Land Manager,,Australia,unknown,,,,none
Nunez I Navarro Hotels,,Spain,unknown,,,,none
"O`Reilly Hospitality Management, LLC",Springfield,United States,unknown,,,,none
Oak Ray Hotels & Resorts,Kandy,Sri Lanka,unknown,,,,none
Oakman Inns & Restaurants Ltd,Berkhamsted,United Kingdom,unknown,,,,none
Obie Industries Incorporated,Eugene,United States,unknown,,,,none
Obsidian Group Inc.,Mississauga,Canada,unknown,,,,none
Obvio Hotels,Paris,France,unknown,,,,none
