wikidataQid,wikidataName,wikidataCity,wikidataCountry,wikidataLatitude,wikidataLongitude,wikidataWebsite,matchedStagingRecordId,matchedStagingSourceRecordId,matchedStagingName,matchedStagingCity,matchConfidence,matchScore,matchReason,distanceMeters,nameSimilarity,recommendedAction
Q111414789,Dreams Punta Cana Resort & Spa,La Altagracia,Dominican Republic,18.803898,-68.574295,,,way/335856784,Dreams Punta Cana Resort & Spa,Punta Cana,high,85,name=1.00; geo=27m,26.56111051706343,1,likely_same_property
Q111414794,Occidental Caribe - All Inclusive,,Dominican Republic,18.73017,-68.47293,,,node/3015649822,Occidental Caribe (former Barcelo Punta Cana),,none,20,geo=444m,444.2958740026769,0.25,likely_new_wikidata
Q111414795,Majestic Elegance Punta Cana,Punta Cana,Dominican Republic,18.729504,-68.46685,https://www.majestic-resorts.com/punta-cana/resorts/majestic-elegance-punta-cana,,way/309228614,Majestic Elegance Punta Cana,Punta Cana,high,130,name=1.00; city; geo=29m; website,29.24645126037911,1,likely_same_property
Q111414792,Hard Rock Hotel & Casino Punta Cana - All Inclusive,,Dominican Republic,18.73322,-68.48282,,,node/2106184527,Hard Rock Hotel & Casino Punta Cana - All inclusive,Punta Cana,high,90,name=1.00; geo=32m,31.74066306284773,1,likely_same_property
Q111414793,Hotel Riu Republica,Punta Cana,Dominican Republic,18.73295,-68.47862,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-republica,,way/476739407,Hotel Riu Republica,Punta Cana,high,95,name=1.00; city; website,30874.70854444884,1,likely_same_property
Q111414798,Bahia Principe Grand Aquamarine,,Dominican Republic,18.725245,-68.46445,,,node/4660748808,Grand Bahia Principe Aquamarine,,high,90,name=1.00; geo=42m,42.1206270589352,1,likely_same_property
Q111414799,Bahia Principe Grand Punta Cana,,Dominican Republic,18.72495,-68.46321,,,node/3145252104,Grand Bahia Principe Punta Cana,,medium,65,name=1.00; geo=457m,456.5802411914309,1,possible_same_property
Q111414796,Majestic Colonial Punta Cana,Punta Cana,Dominican Republic,18.73354,-68.46637,https://www.majestic-resorts.com/punta-cana/resorts/majestic-colonial-punta-cana,,way/309228614,Majestic Elegance Punta Cana,Punta Cana,high,75,name=0.60; city; geo=425m; website,425.4508743103966,0.6,likely_same_property
Q111414797,Bahia Principe Grand Bavaro,,Dominican Republic,18.721773,-68.46587,,,node/4660748798,Grand Bahia Principe Bavaro,,high,90,name=1.00; geo=22m,22.49006651191625,1,likely_same_property
Q111414802,Bahia Principe Luxury Esmeralda,,Dominican Republic,18.72527,-68.45944,,,node/4725033690,Esmeralda,,low,40,name=0.75,155736.73675844463,0.75,needs_research
