Parent Company,Matched Brand Setup Brand,Inferred Brand Name,Brand Slug,Property URL,Property ID,Country / Region Segment,Inferred Country,City Slug,CALA Filter Status,Source Name,Source Type,Source URL,Source Record ID,Requires Manual Review,Recommended Action,Notes
Choice Hotels International,Econo Lodge,Econo Lodge,econo-lodge,https://www.choicehotels.com/alabama/foley/econo-lodge-hotels/al359,al359,alabama,Alabama,foley,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al359,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Econo Lodge. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/alabama/auburn/quality-inn-hotels/al004,al004,alabama,Alabama,auburn,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al004,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Sleep Inn,Sleep Inn,sleep-inn,https://www.choicehotels.com/alabama/foley/sleep-inn-hotels/al543,al543,alabama,Alabama,foley,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al543,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Sleep Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/alabama/daphne/comfort-inn-hotels/al476,al476,alabama,Alabama,daphne,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al476,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Sleep Inn,Sleep Inn,sleep-inn,https://www.choicehotels.com/alabama/evergreen/sleep-inn-hotels/al352,al352,alabama,Alabama,evergreen,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al352,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Sleep Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Quality Inn,Quality Inn,quality-inn,https://www.choicehotels.com/alabama/hanceville/quality-inn-hotels/al220,al220,alabama,Alabama,hanceville,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al220,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Quality Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Comfort Inn & Suites,Comfort Inn,comfort-inn,https://www.choicehotels.com/alabama/fultondale/comfort-inn-hotels/al484,al484,alabama,Alabama,fultondale,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al484,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Comfort Inn & Suites. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Econo Lodge,Econo Lodge,econo-lodge,https://www.choicehotels.com/alabama/boaz/econo-lodge-hotels/al230,al230,alabama,Alabama,boaz,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al230,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Econo Lodge. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Sleep Inn,Sleep Inn,sleep-inn,https://www.choicehotels.com/alabama/athens/sleep-inn-hotels/al162,al162,alabama,Alabama,athens,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al162,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Sleep Inn. Candidate ingest blocked until source policy sign-off.
Choice Hotels International,Econo Lodge,Econo Lodge,econo-lodge,https://www.choicehotels.com/alabama/evergreen/econo-lodge-hotels/al447,al447,alabama,Alabama,evergreen,excluded_non_cala,Choice Hotels Sitemap,brand_directory,https://www.choicehotels.com/propertysitemap.xml.gz,choice-sitemap-al447,yes,exclude_non_cala,URL-only sitemap extract; no property HTML. CALA: excluded_non_cala. Matched Brand Setup: Econo Lodge. Candidate ingest blocked until source policy sign-off.
