brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bahrain Financial Harbour,BAHFHCI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bali,BPNCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bangkok,BKKCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bangkok Residences,BKKRECI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Beijing,BJSCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bengaluru,BLRKRCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Bora Bora Nui,PPTBNCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Chia Laguna Sardinia,OLBCLCI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Chongqing,CKGCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Corfu,CFUMOCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Dalian,DLCZDCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Dubai,DXBCDCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Dublin,DUBHCCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Fort Lauderdale Beach,FLLCICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Guangzhou,CANXWCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Hamburg,HAMSHCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Hangzhou,HGHFRCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Hangzhou Tonglu,HGHYFCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Hong Kong,HKGHCCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Indianapolis,INDCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Istanbul Bosphorus,ISTHCCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Jabal Omar Makkah,MAKCICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Jiuzhaigou,JZHCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Koh Samui,USMKSCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Kuala Lumpur,KULSKCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Las Vegas at Resorts World,LASCDCI,none,26,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad London St. James,LONCOCI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Los Angeles,LAXAVCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Macao,MFMCSCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Maldives Rangali Island,MLEHICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Manila,MNLMBCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Nagoya,NGOCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Nashville,BNALECI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad New York Downtown,NYCCICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Orlando at Evermore,ORLCICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Osaka,OSACICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Pune,PNQCICI,none,31,
Conrad Hotels & Resorts,CH,no_changes,recHaanBcqWQf53lj,Conrad Punta de Mita,Conrad Punta de Mita,PVRPMCI,high,98,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Rabat Arzana,RBACICI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Riyadh Laysen Valley,RUHSTCI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Seoul,SELCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Shanghai,SHAWSCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Shenyang,SHEYACI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Shenzhen,SZXCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Singapore Marina Bay,SINCICI,none,28,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Singapore Orchard,SINODCI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Tianjin,TSNTNCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Tokyo,TYOCICI,none,31,
Conrad Hotels & Resorts,CH,no_changes,recnePczxISckoGX9,Conrad Tulum Riviera Maya,Conrad Tulum Riviera Maya,CUNCICI,high,98,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Urumqi,URCCICI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,"Conrad Washington, DC",WASCICI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Xiamen,XMNCICI,none,31,
Curio Collection by Hilton,QQ,unmatched_directory,,,"100 Queen's Gate Hotel London Kensington, Curio Collection by Hilton",LONLKQQ,none,45,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Adia Aluma Athens, Curio Collection by Hilton",ATHADQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",DXBASQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Aleph Doha Residences, Curio Collection by Hilton",DOHARQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Aleph Rome Hotel, Curio Collection by Hilton",FCOAHQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Alexandra Barcelona Hotel, Curio Collection by Hilton",BCNMAQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"AlRayyan Hotel Doha, Curio Collection by Hilton",DOHMOQQ,none,54,
