applyStatus,censusRecordId,censusName,directoryBrandPropertyCode,matchConfidence,appliedFieldCount
dry_run,rec8e4a1RMy7muxB4,Anselmo Buenos Aires Curio Collection by Hilton,BUEBAQQ,high,1
dry_run,recu51JABui6zulIr,Botanika Osa Peninsula Resort Curio Collection by Hilton,PJMCRQQ,medium,2
dry_run,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,SJOCUQQ,high,1
dry_run,recJWTzga4iCeOwia,Curio Collection by Hilton Harbor Club St Lucia,SLUHCQQ,medium,1
dry_run,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,STISAQQ,medium,5
dry_run,recz4rePhwtGzaTzr,Hualta Hotel Mendoza Curio Collection by Hilton,MDZAHQQ,high,1
dry_run,recC6qFaLB7nxLHYq,Indura Beach & Golf Resort Curio Collection by Hilton,TEAIBQQ,high,1
dry_run,recZY8fmuGXQd3DxN,Koi Resort Saint Kitts Curio Collection by Hilton,SKBKRQQ,high,1
dry_run,rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,high,4
dry_run,recpyBukrc5Pmffok,Curio Collection by Hilton Mangrove Beach Corendon Curacao All-Inclusive Resort,CURRYQQ,high,1
dry_run,recrp3O4pJkbNDl4Q,MS Milenium Monterrey Curio Collection by Hilton,MTYMMQQ,high,1
dry_run,recypLLe3st6SJl0s,Nacar Hotel Cartagena Curio Collection,CTGMAQQ,medium,2
dry_run,rechQ0MeFN0eQjDkl,Palacio Provincial San Juan Curio Collection by Hilton,SJUPPQQ,high,1
dry_run,recHVAuSZvmUQqhwS,Qoya Hotel Curitiba Curio Collection by Hilton,CWBPRQQ,high,1
dry_run,recENAmPhqW1rsrxj,"Qoya Hotel Sao Paulo, Curio Collection by Hilton",SAOCRQQ,high,6
dry_run,recrikOk2m2grKJv9,Royal Palm Galapagos Curio Collection by Hilton,GPSRPQQ,medium,1
dry_run,recYMJkXlhXlgKzuS,Salvio Parque 93 Bogota Curio Collection by Hilton,BOGSPQQ,high,1
dry_run,recyq7cHeUFqDjPLs,SORO Montevideo Curio Collection by Hilton,MVDSOQQ,high,1
dry_run,recEewQZ45Wk5R2B2,"Suryaa Hotel Pinhais, Curio Collection by Hilton",CWBSPQQ,high,1
dry_run,recakpiy3h4GVib7S,The Fives Downtown Hotel & Residences Curio Collection by Hilton,CUNCUQQ,high,1
dry_run,recNP2jHW1fVPY85A,The Rif at Mangrove Beach Corendon Curacao All-Inclusive Curio by Hilton,CURMGQQ,high,1
dry_run,rec71jiVyb94eVTld,Curio Collection by Hilton Umbral,MEXUBQQ,high,1
dry_run,rec2UDYReyg9GnzRF,Curio Collection by Hilton Villa Mercedes Merida,MIDVMQQ,high,1
dry_run,rec30RgNl0ReqOtYx,Zemi Miches All-Inclusive Resort Curio Collection by Hilton,PUJMIQQ,medium,5
