candidateRecordId,verifiedHotelName,verifiedDedupeKey,osmCountry,matchedLegacyRecordId,matchScore,status
recq2UJ3MbPSyNcOi,Hotel San José Plaza,hotel san jose plaza|bucaramanga|colombia,Colombia,rec07hHA9DxXuyPj2,100,written
recuNnbK0PdHZOWh2,Hotel Bucaramanga Plaza,hotel bucaramanga plaza|bucaramanga|colombia,Colombia,rec9lCZGo6f7EM6BR,100,written
recvC8rNm9qgiWchL,Hotel Saraje,hotel saraje|san juan del cesar|colombia,Colombia,recYN8Mvp50ut8OAm,100,written
rec0BnlB2dMTJmZq2,Terra Biohotel,terra biohotel|6.2408|-75.5825,Colombia,recpfSc3iJa3YNmTg,90,written
rec0veRCJgq5w2Byv,Las Balsas,las balsas|villa la angostura|argentina,Argentina,recU934lRyGqDlC1Q,100,written
rec1gzQJEDaD7EKR9,Grand Hotel Santa Teresita,grand hotel santa teresita|mar del plata|argentina,Argentina,recGgdJEcY4h5703k,100,written
rec2rYek14G7iZr3v,Hotel Antártida Argentina,hotel antartida argentina|ushuaia|argentina,Argentina,recn75zljtZ4hx5Y8,100,written
rec3aXeB3G4gZK68n,Kenton Palace Hotel,kenton palace hotel|san carlos de bariloche|argentina,Argentina,recTSwfv4JxCwCmoV,100,written
rec4Pm2azukeq4bXo,Amérian Río Gallegos Apart & Suites,amerian rio gallegos apart & suites|rio gallegos|argentina,Argentina,recpDhaYeDDCWu8I3,100,written
rec4Vf5VIBqUW7gJg,Hotel Marconi,hotel marconi|resistencia|argentina,Argentina,recVwsqA0aT4JMUL5,100,written
rec4gmF8DoKFbZ0rw,Hotel Iruña,hotel iruna|mar del plata|argentina,Argentina,rectfC4FzGazlm3I9,100,written
rec5oVh5KouV2bwE8,Hotel Punto Cero,hotel punto cero|neuquen|argentina,Argentina,recKtFOQ9N2Li496Q,100,written
rec5rR5geh30vD7rz,Unit Hotel Santa Rosa,unit hotel santa rosa|santa rosa|argentina,Argentina,recZfCm9Ttco9Uzr8,100,written
rec6QYw8AhW6s52kN,Poramba Hostel,poramba hostel|puerto iguazu|argentina,Argentina,recmhwTEU8TCvmeqB,100,written
rec8N0W79TMzk3RRo,Residencial Los Andes,residencial los andes|san salvador de jujuy|argentina,Argentina,rec8fwIXUI5DpBVK7,100,written
rec9W2gDzu5MjW8NL,Hostal del Bosque,hostal del bosque|ushuaia|argentina,Argentina,rec5mzc4QmLUCR8B8,100,written
rec9ZtCRU1oQVWZnm,El Olivo Hotel,el olivo hotel|neuquen|argentina,Argentina,rechNR7gtPI7RYbca,100,written
rec9eH4lNRFD8K3OZ,Hotel Almería,hotel almeria|salta|argentina,Argentina,rec5SN1PB7FDYyu6I,100,written
