brand,brandCode,censusRecordId,censusName,directoryName,ctyhocn,status,headline,primaryDescription
Embassy Suites by Hilton,ES,recLQoyNuoJL6CbjB,Embassy Suites by Hilton San Juan Hotel & Casino,Embassy Suites by Hilton San Juan Hotel & Casino,SJUESES,ready,"Relaxing, open space near Isla Verde Beach","Isla Verde Beach is two blocks away, and we've got a reserved area with chairs and umbrellas. Relax right here in our resort-style pool, featuring a waterfall and foliage. The airport is about five minutes away. Enjoy free cooked-to-order breakfast, and have a drink at our complimentary Evening Reception."
Embassy Suites by Hilton,ES,recuzI4Vhe1Mu1pjQ,Embassy Suites by Hilton Santo Domingo,Embassy Suites by Hilton Santo Domingo,SDQSDES,ready,Stay in Santo Domingo's tallest building,"Our hotel is the tallest building in Santo Domingo, rising 27 stories above the heart of the business district in Naco. You'll find a number of dining options within a five-minute walk. The Juan Pablo Duarte Olympic Center and Sambil Santo Domingo shopping mall are both within four kilometers."
Hampton by Hilton,HP,recAvnmqhNiLe9Dje,Hampton by Hilton Aquascalientes Downtown,Hampton by Hilton Aguascalientes Downtown,AGUMXHX,ready,Comfort and convenience in Aguascalientes,"Located on Av. José María Chávez, we’re about three kilometers from the city’s historic center. It’s a 10-minute drive to concert venues, theaters, and museums. Manufacturers and corporate offices, including Nissan, Inegi, and Grupo Modelo, are 20 minutes away. Plan an executive meeting or event in our 2,800 sq. ft. event space."
Hampton by Hilton,HP,recns9k9Wnvl3gHNU,Hampton by Hilton Antofagasta,Hampton by Hilton Antofagasta,ANFACHX,ready,Beach life near local history,"Wake up to South Pacific views, just minutes from Playa Paraíso beach. Nearby, you’ll find the shops of Arturo Pratt promenade, the historical architecture of the Museo Regional de Antofagasta, and sports at Estadio Regional. For some culture, visit the Catedral de Antofagasta and the Municipal Theater, both close by. Enjoy hot breakfast and WiFi on us."
Hampton by Hilton,HP,recjVB7A0jclbqsis,Hampton by Hilton Arequipa,Hampton by Hilton Arequipa,AQPPEHX,ready,A modern base in a beautiful historic setting,"We’re located near Arequipa’s Main Square where you can see the Cathedral, La Compañia and Nuestra Señora De La Merced Church. Here at the hotel, kick back in the heated outdoor whirlpool, in the sunlit colonial courtyards, or at our restaurant and bar, which is carved from volcanic stone. Breakfast and WiFi are free."
Hampton by Hilton,HP,recUpdB7gyQPf7Ncp,Hampton by Hilton Bariloche,Hampton by Hilton Bariloche,BRCHXHX,ready,Beautiful nature meets family fun,"You’ll be bedding down in a natural area, boasting waterside and mountain views. Eat your way through a crop of Bariloche city restaurants, steps from the door, and explore the downtown area’s ample shopping. Make the most of water sports and family days at Nahuel Huapi Lake, or head inland to Catedral Alta Patagonia ski center. WiFi and breakfast are on us."
Hampton by Hilton,HP,recTh8yjp8TKdigcP,Hampton by Hilton Barranquilla,Hampton by Hilton Barranquilla,BAQHXHX,ready,City leisure at the ‘Golden Gate to Colombia’,"We’re just five minutes from the heart of Barranquilla and walking distance from the city’s medical center. You’ll be close to the business district, and steps from shopping and nightlife. It’s 10 minutes to both Atlantic and North Universities. Fill up on free hot breakfast before a day at Puerto Colombia's beaches, half an hour away. WiFi’s on us."
Hampton by Hilton,HP,recBeKZwESsz6eysx,Hampton by Hilton Santiago Las Condes,Hampton by Hilton Bialystok,WMIBIHX,ready,"Centrally located to Bialystok culture, near parks","Find us downtown off Lipowa Street, a five-minute walk from St. Roch’s Church and The Podlasie Opera and Philharmonic. Kosciuszko Market Square, Branicki Palace, Planty Park, and Galeria Jurowiecka are within one kilometer. We offer sunlit meeting space and catering services. Enjoy our bar, 24-hour fitness center, free hot breakfast, and free WiFi."
Hampton by Hilton,HP,recPH5LiNI6mJ0C6Z,Hampton by Hilton Bogota Usaquen,Hampton by Hilton Bogotá - Usaquén,BOGUSHX,ready,Experience the charm and culture of Bogota,"Find us in the heart of the Usaquén neighborhood. Spend an afternoon at Baw Thai Spa or see a movie at Cinema Paraíso, just eight minutes away. Explore the shops at Usaquén Park and Hacienda Santa Bárbara Mall, located seven minutes from our doorstep. We're 40 minutes from El Dorado International Airport. Start your day with our free hot breakfast."
Hampton by Hilton,HP,recjvQh52k0iRrhYL,Hampton By Hilton Bogota Airport,Hampton by Hilton Bogota Airport,BOGHXHX,ready,Fly into Bogota comfort,"We're 11 minutes from El Dorado International Airport, just off Avenida Calle 26 – we'll pick you up in our free airport shuttle. Visit the Museum of Modern Art and the Colombian National Museum in downtown Bogota, just 20 minutes away. Enjoy free WiFi and free hot breakfast."
Hampton by Hilton,HP,recunKuZvWFIcaTEx,Hampton by Hilton Bucaramanga,Hampton by Hilton Bucaramanga,BGAHXHX,ready,History and culture in Bucaramanga,"You’ll be mere steps from Header Stage II Shopping Center and across the street from San Rio Park and Garden. History lovers will be less than two miles from the Cathedral of the Holy Family, and just six miles from the heritage town of Girón. A short drive brings you to all 19 acres of the Eloy Valenzuela botanical garden. WiFi and breakfast are on us."
Hampton by Hilton,HP,recphttl3lgozk9Gj,Hampton by Hilton Cali Colombia,"Hampton by Hilton Cali, Colombia",CLOHXHX,ready,Right near the Rio Cali,"We're located in the Santa Teresita neighborhood overlooking the Rio Cali, moments from the lively restaurants and nightlife of the El Peñon district. Enjoy easy access to both hilltop Iglesia de San Antonio and the Zoologico de Cali, less than one mile away. Daily free hot breakfast and WiFi are on us."
Hampton by Hilton,HP,recAgbyFnkjlAyskH,Hampton by Hilton Caraguatatuba Serramar,Hampton by Hilton Caraguatatuba Serramar,QCQJLHX,ready,Rooftop fun near city hotspots,"Enjoy our rooftop pool, fitness center, and free breakfast to help you start your day. We're located three kilometers from the beach, with the vibrant city center close by, offering the perfect blend of urban convenience and seaside relaxation. Whether you're looking to unwind or explore, our hotel is your ideal base."
Hampton by Hilton,HP,recNmYAApqJk2Z9AJ,Hampton by Hilton Cartagena,Hampton by Hilton Cartagena,CTGHXHX,ready,Between the Caribbean Sea and Cartagena Bay,"We’re in the Bocagrande district, a 15-minute drive from Rafael Núñez International Airport and walking distance from the beach and restaurants. Cartagena Convention Center and the walled city are both a 10-minute drive away. Enjoy our rooftop pool, fitness center, and free WiFi and hot breakfast."
Hampton by Hilton,HP,recBSuHKa4UvKUqWz,Hampton By Hilton Cucuta,Hampton by Hilton Cucuta,CUCCOHX,ready,Relax in comfort during your Cúcuta stay,"We're just minutes from downtown Cúcuta and industrial parks. At Ventura Plaza half a mile north, you'll find plenty of dining, shopping, and entertainment. We're also within walking distance of numerous local restaurants and Simon Bolívar University. Start each day with free hot breakfast. We offer free WiFi in every room."
Hampton by Hilton,HP,recHBMncmGIgDdjQW,Hampton by Hilton Cusco,Hampton by Hilton Cusco,CUZHXHX,ready,Comfortable stay near Cusco’s highlights,"In central Cusco, our hotel is within a ten-minute drive of Plaza de Armas and less than three kilometers from the Sacsayhuaman archaeological complex. Qorikancha and Santo Domingo Convent are only 500 meters away. Enjoy free, hot breakfast and free parking. We also offer a hot tub and a meeting room for up to 60 people."
Hampton by Hilton,HP,recG4fIejQRdfUNIm,Hampton by Hilton David,Hampton by Hilton David,DAVIDHX,ready,Style and comfort in the heart of David,"We’re in the center of David’s commercial district, a short drive from the Pan-American Highway and five kilometers from the Enrique Malek Airport. Boquete is a 45-minute drive away for hiking, specialty coffee, golf, and fine dining. We offer an airport shuttle and meeting space for up to 30 guests. Enjoy daily free hot breakfast and WiFi on us."
Hampton by Hilton,HP,recZ00RNzg2wdr51M,Hampton by Hilton Grand Cayman Seven Mile Beach,Hampton by Hilton Grand Cayman Seven Mile Beach,GCMGCHX,ready,"Tropical vibes, steps from Seven Mile Beach","We’re steps from the pristine sands of Seven Miles Beach and a short walk from shopping and dining at Camana Bay. Our watersports concierge can arrange snorkeling and boat excursions to Stingray City, and there’s a shuttle to nearby beach parks, bars, and clubs. Chill out at our tropical garden pool featuring Ms. Piper’s al fresco restaurant and lounge."
Hampton by Hilton,HP,rec3WSuJfRfLW1rJb,Hampton by Hilton Guanacaste Airport,Hampton by Hilton Guanacaste Airport,LIRRAHX,ready,"Soak up the culture and nature of Liberia, Costa Rica","Our pet friendly hotel, located at Solarium Condominium, is surrounded by shops and dining. The beautiful beaches of Del Coco Beach, Poor Calzon Beach and Playa Panama are all less than 30 kilometers away. Explore trails and waterfalls like Catarata La Uvita and Catarata Rincón del Brujo, 20 kilometers from us. We offer free airport shuttle and breakfast each morning."
Hampton by Hilton,HP,recIuvAEBxEeh1haG,Hampton by Hilton Guarulhos Aeroporto,Hampton by Hilton Guarulhos Airport,SAOGHHX,ready,Convenient access to Guarulhos city,"Grab our free airport shuttle when you land. When you get here, enjoy easy access to Guarulhos city center, boasting Bosque Maia, the city’s largest park, where you can jog or hike woodland trails. Try some city restaurants while you’re there, or head out to Parque Shopping Maia to curb retail cravings. Start each day with free hot breakfast. WiFi's on us."
Hampton by Hilton,HP,recBfbbeqXK3wjjZ4,Hampton by Hilton Lima San Isidro,Hampton by Hilton Lima San Isidro,LIMHXHX,ready,Minutes from the heart of Central Lima,"We're off Vía Expresa Paseo de la República, walking distance from Parque El Olivar, Parroquia Nuestra Senora Del Pilar, and Museo Marina Nunez Del Prado. San Isidro and Miraflores can be reached in five minutes, and Central Lima is only seven kilometers away. Enjoy our rooftop terrace, two whirlpools, free WiFi, and free hot breakfast."
Hampton by Hilton,HP,recdvilqvKRr4ZdBv,Hampton by Hilton Medellin,Hampton by Hilton Medellin,MDEHXHX,ready,Discover the beauty of El Poblado,"We're in Medellín's El Poblado district, one mile from Zona Rosa's restaurants and nightlife. Walk to the shops at the Santa Fé Mall after meetings at the Plaza Mayor Convention Center or work at nearby industrial parks. Enjoy free hot breakfast with a view from our 14th floor sky lobby and 15th floor terrace. Stay connected with free WiFi."
Hampton by Hilton,HP,reccnr9ls6vsNqeTl,Hampton by Hilton Montevideo Carrasco,Hampton by Hilton Montevideo Carrasco,MVDHXHX,ready,Feel rested and comfortable in Carrasco,"We're just five minutes from Carrasco International Airport, a short walk from Punta Cala meeting center. Uruguay’s capital, Montevideo, is less than 30 minutes away. Fuel up on our hot breakfast before a dip in the pool. Enjoy views of Calcagno Lake from our large deck area. WiFi and parking are on us."
Hampton by Hilton,HP,rec5WGmqmEcgSJovQ,Hampton by Hilton Ponce,Hampton by Hilton Ponce,PSEPOHX,ready,A short drive from the airport,"We’re located just five kilometers from Museo Castillo Serrallés and Ponce Historic Zone (Plaza Las Delicias). Caja de Muertos Island, La Guancha, Isla Del Frio, and Mercedita International Airport are within 17 minutes. Our hotel offers flexible meeting space, a rooftop terrace, and complimentary breakfast."
Hampton by Hilton,HP,recEKkU3GQYMWV66f,Hampton by Hilton Queretaro Juriquilla,Hampton by Hilton Queretaro Juriquilla,QROJQHX,ready,Near amusement parks and the golf course,"Centered in the shopping plaza with direct access to Highway 57, we’re two kilometers from Juriquilla Golf Course. Antea Lifestyle Center Mall, Bicentennial Park, Querétaro Industrial Park, Gaia Theme Park, and downtown are within 20 minutes. Querétaro Intercontinental Airport is a 40-minute drive. Enjoy complimentary parking and WiFi."
Hampton by Hilton,HP,rec562J8v78iMgqzm,Hampton by Hilton Quito La Carolina Park,Hampton by Hilton Quito La Carolina Park,UIOCMHX,ready,A comfy stay in central Quito,"Our hotel is in the heart of Quito, surrounded by parks, museums, and businesses. We're a 10-minute walk from the expansive hiking trails and recreation facilities of Metropolitan Park and Carolina Park. We're also within a kilometer of Quicentro Shopping, Atahualpa Olympic Stadium, and dozens of dining options. Our sunlit meeting room can host 25 people."
Hampton by Hilton,HP,recgDZkiRysKvgCMz,Hampton by Hilton San Jose Airport,Hampton by Hilton San Jose Airport,SJCAPHX,ready,Close to corporations and the San Jose Airport,"Our free shuttle can get you from our front door to Juan Santamaria International Airport in minutes. National Technical University, City Mall, and companies like Intel, ADN, and Bridgestone are all within two miles. Casino Fiesta is a quick walk away. Cool off in our outdoor pool, and enjoy free hot breakfast and free WiFi."
Hampton by Hilton,HP,rec2aR9iQWc4bmzm9,Hampton by Hilton San Juan City Center,Hampton by Hilton San Juan City Center,SJACCHX,ready,Minutes from marina views,"We’re conveniently located in the San Juan City Center, near marina views and the Puerto Rico Convention Center. Beaches including Condado Beach and Escambron Beach are less than two kilometers away. Luis Munoz Marin International Airport is an 11-minute drive. Enjoy complimentary WiFi and hot breakfast, served daily."
Hampton by Hilton,HP,recsfdgt5QDnDJNO4,Hampton by Hilton Santa Cruz/Equipetrol Bolivia,"Hampton by Hilton Santa Cruz/Equipetrol, Bolivia",SRZEQHX,ready,Discover the best of Santa Cruz de la Sierra,"From our rooftop bar and lounge you'll get great views of Santa Cruz de la Sierra and the Pirai River. We're half a mile from Los Tajibos Convention Center. The popular Ventura Mall is less than a mile away, and Viru Viru International Airport is only nine miles north. Enjoy free daily hot breakfast and stay connected with free WiFi."
Hampton by Hilton,HP,recF2uI0D2IEpJost,Hampton by Hilton Santiago de los Caballeros,Hampton by Hilton Santiago de los Caballeros,STILLHX,ready,Near monuments and shopping,"Centered in Santiago, we're near the Monument to the Heroes of the Restoration. Shopping at the Plaza las Ramblas, Centro Cultural Leon, and the Cibao Grand Theatre are within 11 minutes. Tabacalera Palma, La Galera Cigar Factory, and Cibao International Airport are less than 25 minutes away. Enjoy our rooftop bar with panoramic views."
Hampton by Hilton,HP,recbdedl2JBYhgHJY,Hampton by Hilton Santiago Las Condes,Hampton by Hilton Santiago Las Condes,SCLARHX,ready,A refreshing urban stay in Santiago,"It's easy to explore Las Condes from our hotel with quick highway access and a bus stop a few steps away. We are a 10-minute walk to Araucano Park and Juan Pablo II Park, and 15 minutes from Parque Arauco and Alto Las Condes shopping centers. Our hotel offers a boardroom for up to 38 people."
Hampton by Hilton,HP,recbKqG7onY9CGh38,Hampton by Hilton Santo Domingo Airport,Hampton by Hilton Santo Domingo Airport,SDQAPHX,ready,Leisure near Santo Domingo Airport,"Find a cozy room off Freeway 3, 10 minutes from Santo Domingo Airport. Our hotel is 10 minutes from La Caleta Underwater National Park and 15 minutes west of Boca Chica Beach attractions. Central Santa Domingo is half an hour away. Enjoy free hot breakfast, free WiFi, and relaxed views from our rooftop pool."
Hampton by Hilton,HP,recr3DXLHdh09J8mi,Hampton by Hilton St. Thomas,Hampton by Hilton St. Thomas,STTUNHX,ready,Bayfront views in St Thomas,"Enjoy the view from our harbor-front hotel, surrounded by shopping, restaurants, and nightlife. Havensight Mall is across the street, and attractions in Charlotte Amalie are within 10 minutes. Magens Bay Beach is a 20-minute drive, and Virgin Islands National Park is an hour from our hotel. We offer a full bar and lounge overlooking the water."
Hampton by Hilton,HP,recrt0BVRIc581hh9,Hampton by Hilton Valledupar,Hampton by Hilton Valledupar,VUPHXHX,ready,Near shops and Valledupar entertainment,"Ten minutes from Alfonso Lopez Pumarejo Airport, via Route 80, we're close to what you need. It's just five minutes to Valledupar's financial and entertainment districts, and a matter of steps to Mayales Plaza shopping and dining. Enjoy concerts and strolls at the famous Parque de La Leyenda Vallenata, 10 minutes away. Free hot breakfast and WiFi are yours."
Hampton by Hilton,HP,recHW8s0LxvTsj8IM,Hampton by Hilton Veracruz Boca del Rio,Hampton by Hilton Veracruz Boca Del Rio,VERACHX,ready,Near Boca Del Rio Entertainment and Shopping,"We’re located less than a kilometer from the Codere Casino Boca del Rio. The Plaza Sol Shopping Center, Andamar Lifestyle Center, and Las Americas Mall are within three minutes. Penacho del Indio Beach is about two kilometers from us. The fun and attractions of El Dorado Park are only an 11-minute drive away. Enjoy our free breakfast and Wifi."
Hampton by Hilton,HP,rec9XJgqnvFHMYGLp,Hampton by Hilton Yopal,Hampton by Hilton Yopal,EYPYOHX,ready,Hampton comfort near corporate Colombia,"Nestled in the Altos de Manare neighborhood, surrounded by business parks, this is the ideal place for Colombia business. We're just five minutes from EYP Airport and downtown Yopal's Parque Francisco de Paula Santander. Closer to home, you'll find shopping at Gran Plaza Alcaraván and restaurants steps from the door. Enjoy free breakfast and WiFi on us."
Hampton by Hilton,HP,rec1Ri5x70QWk214j,Hampton by Hilton Inn & Suites Aguascalientes,Hampton Inn & Suites by Hilton Aguascalientes Airport,AGUHXHX,ready,Stay minutes from AGU Airport with shuttle service,"Our hotel is located 8 minutes from Aguascalientes Airport (AGU) with shuttle service on request. We’re the ideal stay for business travelers arriving in Mexico's Bajio area, only 3km from Nissan’s Plant 2, and close to the city’s business district. Visit downtown Aguascalientes in a thirty-minute drive. Free daily hot breakfast and WiFi are yours."
Hampton by Hilton,HP,recIIEmPEt8TEKnuP,Hampton Inn & Suites by Hilton Puebla,Hampton Inn & Suites by Hilton Puebla,PBCHXHX,ready,Comfort close to Puebla’s city center,"We’re in the Angelópolis district, 10 kilometers from the Historic Centre of Puebla, with restaurants and architecture. La Vista Country Club and the International Museum of the Baroque are within 10 minutes. Angelópolis mall and Estrella de Puebla, a 260-ft Ferris wheel, are six km away. Enjoy our meeting rooms, free, hot breakfast, and free WiFi."
Hampton by Hilton,HP,recInxyXFObfxFmA2,Hampton by Hilton Inn & Suites Salamanca Bajio,Hampton Inn & Suites by Hilton Salamanca Bajio,QROSAHX,ready,Base for business in Salamanca Baijo,"Find us right between Salamanca and Irapuato. We're less than 15 minutes from the Pemex refinery, Purina, and Danone – great for business guests. Enjoy free hot breakfast and grab our free shuttle to explore local sights. Browse Via Alta's stores or head into Irapuato for the Museo de la Ciudad and a myriad of restaurants. WiFi's also on us."
Hampton by Hilton,HP,recTNEARTDZMpglqw,Hampton Inn & Suites Mexico City - Centro Historico,Hampton Inn & Suites Mexico City - Centro Historico,MEXCHHX,ready,Stay in the heart of downtown Mexico City,"We're in the heart of downtown Mexico City, less than a mile from National Palace and Templo Mayor, and two blocks from Zócalo. Explore Metropolitan Cathedral, Palacio de Minería, and Palacio de Bellas Artes – all just one mile from us. Mexico City International Airport is five miles from our door. Enjoy our fitness center, free hot breakfast, and free WiFi."
Hampton by Hilton,HP,rec5ZeC5ePemI0ICJ,Hampton Inn & Suites San Juan,Hampton Inn & Suites San Juan,SJUHHHX,ready,"Close to the beach, bars, and restaurants","Find us just off Route 37, an easy walk from Isla Verde Beach. Restaurants, bars, and nightlife are all less than a kilometer away. Luis Muñoz Marín International Airport and The Mall of San Juan are both within a 10-minute drive. Enjoy our outdoor pool, swim-up bar, and access to our beach club. WiFi and hot breakfast are on us."
Hampton by Hilton,HP,rec6zMMmwLfjmlfEO,Hampton Inn By Hilton Celaya,Hampton Inn by Hilton Celaya,CYWCMHX,ready,"Home comforts, Celaya style","We’re just off Highway 45, surrounded by restaurants. Downtown Celaya and the industrial district with several companies are ten minutes away. The Galerías Celaya mall is within two kilometers, and wineries including Vinos Jardin de Celaya are a 20-minute drive from us. Enjoy our free hot breakfast and WiFi, and our fitness center."
Hampton by Hilton,HP,recjqOzoMxEjYNP2k,Hampton Inn Ciudad Victoria,Hampton Inn by Hilton Ciudad Victoria,CDJVCHX,ready,City conveniences and lake life in reach,"Uncover the city from a central, commercial base. We're minutes from Grand Plaza Campestre shops and Zona Centro museums – ask about our free shuttle. For a dose of nature, check out Parque Bicentenario. Or head 50 kilometers northeast to swim or fish on Lake Vicente Guerrero, the ultimate outdoor pursuit. Start your day with free hot breakfast. WiFi's on us."
Hampton by Hilton,HP,recofgevY6v7A3j3e,Hampton Inn by Hilton Guadalajara Airport,Hampton Inn by Hilton Guadalajara-Aeropuerto,GDLHAHX,ready,A comfy base near shopping and entertainment,"We’re off Highway 44, just 15 minutes from Guadalajara’s entertainment district. Explore the renowned shopping of Tlaquepaque or Mercado Libertad, Mexico’s largest enclosed market, within 20 minutes of your room. You’ll be 10 minutes from the International Airport of Guadalajara, with access to our free shuttle. Enjoy free hot breakfast and WiFi on us."
Hampton by Hilton,HP,recL3oxie0vNdasoG,Hampton Inn by Hilton Guadalajara/Expo,Hampton Inn by Hilton Guadalajara/Expo,GDLEXHX,ready,Walking distance from Expo Guadalajara events,"We’re located at Colonia Chapalita, five minutes from Expo Guadalajara, the GWTC Corporate Office Complex, and Chapalita Corridor, home to cafes and dining. La Perla District and Guadalajara Downtown are within 15 minutes and Hospital Real San Jose is within 20\. We offer free breakfast, free WiFi, and a complimentary shuttle in a three-kilometer radius."
Hampton by Hilton,HP,recRwIdA4l429nWnN,Hampton Inn Irapuato,Hampton Inn by Hilton Irapuato,BJXIRHX,ready,A sweet base in the 'strawberry capital',"Welcome to central Irapuato: we're less than 10 minutes from Plaza Jacarandas shops and the Museo de La Ciudad. Sample the city's famed strawberries from roadside stands and, at night, marvel at the dancing water fountains at Miguel Hidalgo Square. Business travelers, we're 15 minutes from Castro del Rio industrial park. WiFi and hot breakfast are on us."
Hampton by Hilton,HP,recqW4g4LGNvnovrq,Hampton Inn by Hilton Leon Guanajuato,Hampton Inn by Hilton Leon Guanajuato,BJXLGHX,ready,Conventions and rich culture in reach,"It's only steps from our lobby to restaurants, the Art and History Museum of Guanajuato, and Club León soccer matches. We're a half-mile from the Poliforum León conference center. Spend a day at Forum Cultural Guanajuato or discover the many interesting shops within a few blocks. Enjoy free hot breakfast each morning. WiFi's on the house."
Hampton by Hilton,HP,recUfTgFSZ5sPh5PN,Hampton Inn by Hilton Queretaro Tecnologico,Hampton Inn by Hilton Queretaro Tecnologico,QROHTHX,ready,Querétaro culture and comfort,"We're less than 25 miles from Querétaro Intercontinental Airport (QRO). Explore historical attractions such as Casa de La Corregidora, only four miles away, and the Museo de Arte, less than three miles away. We offer a business center and fitness center.  Enjoy free hot breakfast and WiFi."
Hampton by Hilton,HP,reckvgWP2CZlqOAf1,Hampton Inn San Juan Del Rio,Hampton Inn by Hilton San Juan del Rio,QROSJHX,ready,Culture and quiet in Querétaro,"Join us at the heart of historic Querétaro, five minutes from central San Juan del Rio. Head there for culture at Museo de la Muerte and enjoy free entry to La Redonda winery as our guest. Free hot breakfast will fuel your day at Spa La Vega waterpark, 20 minutes away in Tequisquiapan. WiFi is on us."
Hampton by Hilton,HP,rec0fJMjqu1N2aMyL,Hampton Inn by Hilton San Luis Potosi,Hampton Inn by Hilton San Luis Potosi,SLPHXHX,ready,Surrounded in city beauty,"Wake up to lake or city views at our hotel, two kilometers from scenic Tangamanga Park. Steps from your door, you'll find shops and dining at Citadella Plaza, with historic San Luis Potosi city center just three miles away. Fill up on free hot breakfast before teeing off at Campestre or La Loma Residential golf clubs, both minutes away. Enjoy WiFi on us."
Hampton by Hilton,HP,recL9yu9QiYlZPwMg,Hampton by Hilton Inn Silao-Aeropuerto Bajio,Hampton Inn by Hilton Silao-Aeropuerto Bajio,BJXSGHX,ready,Right near the airport,"We're in Silao's auto industry hub, with free shuttle service to and from Del Bajío International Airport four minutes away. Fuel up with free hot breakfast before the 10-minute trip to the General Motors factory or Guanajuato's industrial parks. Enjoy free WiFi and our outdoor pool."
Hampton by Hilton,HP,recY4B8n5czlpTJuw,Hampton Inn by Hilton Tampico Aeropuerto,Hampton Inn by Hilton Tampico Aeropuerto,TAMHSHX,ready,Within reach of Miramar Beach,"We’re less than five minutes from Tampico International Airport – hop aboard our free shuttle. The southern university area, housing Instituto Tecnológico de Ciudad Madero, is just 10 minutes from the door. You’ll be just 15 minutes from downtown Tampico history, shopping, and parks, and equally close to lazy days at Miramar Beach. Enjoy WiFi and breakfast on us."
Hampton by Hilton,HP,rec8uWx53Dakcvi4g,Hampton Inn Tampico Zona Dorado,Hampton Inn by Hilton Tampico Zona Dorada,TAMZDHX,ready,Stay on main street in historic Tampico,"We're right on Tampico's main avenue, four miles from Tampico International Airport. Ride our free shuttle to to nearby restaurants, shops, and businesses, including the Centro de Convenciones de Ciudad Madero. Relax poolside or head to Miramar Beach, just 30 minutes away. Enjoy free hot breakfast and WiFi."
Hampton by Hilton,HP,recwszIyvIDDuaFgC,Hampton Inn Zacatecas,Hampton Inn by Hilton Zacatecas,ZCLHXHX,ready,Moments from the Convention Palace,"Around the corner from the convention center, business travelers are five minutes from government offices and 15 minutes from Zacatecas' industrial district. In free time, explore the Museo Rafael Coronel, catch a show at the Ramón López Velarde theater, or people-watch at Plaza Bicentenario. Hot breakfast and WiFi are always free."
Hilton Garden Inn,GI,recoCJxA2Qem4vxnX,Hilton Garden Inn San Juan Condado,Hilton Garden Inn Agdam,GNJPFGI,ready,Surrounded by cultural attractions,"In central Agdam City, find us close to cultural events at the Aghdam Mugham Center and area parks. Juma Mosque, the Aghdam Bread Museum, and the Imarat Complex are each within one kilometer. Our on-site restaurant, fitness center, event rooms, and indoor pool complete your stay."
Hilton Garden Inn,GI,recysCtTLGnftfwni,Hilton Garden Inn Aguascalientes,Hilton Garden Inn Aguascalientes,AGUGIGI,ready,Business and retail near central Aguascalientes,"Near Avenida Universidad, our hotel is one kilometer from Aguascalientes financial district. We're two kilometers from Altaria Mall, and five kilometers from the city center, home to Templo de San Antonio, Jardin de San Marcos, and Parque de las Tres Centurias. We have meeting space for up to 350 guests, a fitness center, and a terrace pool."
Hilton Garden Inn,GI,recj0s8y9XLlZTEXx,Hilton Garden Inn Asuncion Aviadores del Chaco,Hilton Garden Inn Asuncion Aviadores del Chaco,ASUPYGI,ready,Relax in a hub of industry and retail,"Find us in Asunción’s business district, within one kilometer of major international firms, Paseo La Galeria, and Del Sol Shopping Centers. Silvio Pettirossi International Airport is just a 10-minute drive away. We offer a restaurant and meeting space. Enjoy free WiFi, as well as our 24-hour fitness center, spa, and indoor pool."
Hilton Garden Inn,GI,rec638CLFce8kSs5U,Hilton Garden Inn Barranquilla,Hilton Garden Inn Barranquilla,BAQACGI,ready,Relax in Barranquilla's business complex,"We're on Barranquilla's northern tip, in the same complex as a convention center, executive offices, and restaurants. Buenavista Mall, Universidad del Norte, and Tecnoglass are within three kilometers. Breakfast, lunch, and dinner are served daily at the Garden Grille & Bar. Snacks and drinks are available anytime from the Pavilion Pantry. WiFi's on us."
Hilton Garden Inn,GI,recZ85139KQRXwdmA,Hilton Garden Inn Belo Horizonte,Hilton Garden Inn Belo Horizonte,BHZBRGI,ready,Near businesses and the buzz of the market,"We’re in walking distance of Praça da Liberdade cultural center, Lourdes, restaurants, and the vibrant central market. Asamar, Bradesco, Safra Bank, and Siemens are all within three kilometers. Our hotel has event space for 320 guests, room service, free WiFi, an outdoor pool, sauna, and fitness center."
Hilton Garden Inn,GI,recq8Rg8upSJf92vL,Hilton Garden Inn Boca Del Rio Veracruz,Hilton Garden Inn Boca del Rio Veracruz,VERBRGI,ready,Beachfront comfort in Veracruz,"Our oceanside hotel is steps from the sandy shoreline of Tortuga Beach. We're a short walk from neighborhood dining and three kilometers from the World Trade Center events and Plaza Americas shopping center. The Aquarium of Veracruz is five kilometers from our door. Enjoy our all-day restaurant, evening room service, and 24-hour store."
Hilton Garden Inn,GI,recrQn2SaH08gIknY,Hilton Garden Inn Bogota Airport,Hilton Garden Inn Bogota Airport,BOGATGI,ready,Minutes from El Dorado International Airport,"Located in the Ciudad Salitre neighborhood, we’re four kilometers from El Dorado International Airport – our free airport shuttle has transportation covered. Visit Maloka Interactive Center, just five minutes away, before heading downtown to see the Gold Museum and Monserrate, both within 14 km. Enjoy our restaurant, evening room service, and 24-hour convenience shop."
Hilton Garden Inn,GI,recKuSgfGpKNKEo8N,Hilton Garden Inn Cali Ciudad Junction,Hilton Garden Inn Cali Ciudad Jardin,CLOCCGI,ready,"A refreshing, modern hotel in south Cali","We’re located in south Cali off Carrera 100, just across the street from Universidad del Valle. Reach the city center in about 30 minutes, and be sure to make the 45-minutes journey up the mountain to reach Christo Rey. We’re also conveniently located near the southern business complex and multiple shopping centers. Relax in our on-site whirlpool."
