brand,brandCode,censusRecordId,censusName,directoryName,ctyhocn,status,headline,primaryDescription
Curio Collection by Hilton,QQ,recENAmPhqW1rsrxj,"Qoya Hotel Sao Paulo, Curio Collection by Hilton","Qoya Hotel Sao Paulo, Curio Collection by Hilton",SAOCRQQ,ready,"Walk to restaurants, shops, and museums","We’re located in the Paulista Avenue region. Patio Paulista Mall, Casa das Rosas Museum, Centro Itaú Cultural, and several restaurants are within a half kilometer. São Paulo Museum of Art (MASP) and Trianon Park are two km away. We’re nine km from Congonhas-São Paulo Airport CGH. We offer an outdoor rooftop pool, restaurants, and meeting rooms."
Curio Collection by Hilton,QQ,recrikOk2m2grKJv9,Royal Palm Galapagos Curio Collection by Hilton,"Royal Palm Galapagos, Curio Collection Hotel by Hilton",GPSRPQQ,ready,Unique oasis in the heart of Santa Cruz Island,"In the Miconia Highland Forests, we’re ideally set in the Galapagos, a UNESCO Natural World Heritage Site. Our location features natural lava tunnels, giant tortoise sightseeing, an infinity pool, firepits, yoga forest, and stargazing through telescopes. Enjoy unique tours surrounded by endangered species and scenic landscapes."
Curio Collection by Hilton,QQ,recYMJkXlhXlgKzuS,Salvio Parque 93 Bogota Curio Collection by Hilton,"Salvio Parque 93 Bogota, Curio Collection by Hilton",BOGSPQQ,ready,An elevated experience in Bogota,"Overlooking Park 93, our hotel stands out with organically inspired, distinctive architecture. Destination dining, entertainment, businesses, and embassies are minutes away. We offer on-site dining with a wide variety of global flavors, and meeting space with advanced A/V equipment. Enjoy our wellness programs including yoga in the park, massage, and a fitness center."
Curio Collection by Hilton,QQ,recyq7cHeUFqDjPLs,SORO Montevideo Curio Collection by Hilton,"SORO Montevideo, Curio Collection by Hilton",MVDSOQQ,ready,Explore charming Pocitos and the Ramblas,"Find our hotel within streets of Pocitos Beach, the coastline Rambla, and eclectic neighborhood restaurants. Within one kilometer, reach the Punta Carretas district and Villa Biarritz — a market full of local vendors. Perks include our rooftop whirlpool, indoor-outdoor dining, and 24-hour fitness center."
Curio Collection by Hilton,QQ,recEewQZ45Wk5R2B2,"Suryaa Hotel Pinhais, Curio Collection by Hilton","Suryaa Hotel Pinhais, Curio Collection by Hilton",CWBSPQQ,ready,A prime location in Pinhais,"We are just 500 meters from the golf courses at Alphaville Graciosa Clube. Afonso Pena Airport CWB is 30 minutes from us while Planta Folloni Park, Opera de Arame, Newton Freire Maia Park, the Municipal Forest of Pinhais Our Lady of Good Hope, and the Botanical Garden of Curitiba, are all within 15 km. Enjoy our indoor pool, fitness center, restaurant, and bar."
Curio Collection by Hilton,QQ,recakpiy3h4GVib7S,The Fives Downtown Hotel & Residences Curio Collection by Hilton,"The Fives Downtown Hotel & Residences, Curio Collection by Hilton",CUNCUQQ,ready,A luxurious stay by Playa Del Carmen,"Our hotel is two blocks from white sand beaches and just close enough to the excitement of Playa Del Carmen's famous Fifth Avenue. Spend a relaxed afternoon in our rooftop infinity pool, featuring a panoramic ocean view, cabanas, and sun loungers. The ferry to Cozumel is half a kilometer away."
Curio Collection by Hilton,QQ,recpyBukrc5Pmffok,Curio Collection by Hilton Mangrove Beach Corendon Curacao All-Inclusive Resort,"The Rif at Mangrove Beach Corendon Curacao All-Inclusive, Curio by Hilton",CURMGQQ,ready,An all-inclusive escape in Curacao,"Just two kilometers from Willemstad, our beachfront all-inclusive resort looks out over the sparkling Caribbean Sea and lush mangrove forests. Local museums, UNESCO World Heritage sites, and shopping are within a 15-minute drive. We have onsite restaurants, an outdoor pool, and event space."
Curio Collection by Hilton,QQ,recTjYJPhwL821Sxl,Mahogany Bay Resort & Beach Club Curio Collection by Hilton,"Tulsa Club Hotel, Curio Collection by Hilton",TULTCQQ,ready,A chic retreat in the Deco District,"Our 1927 building in historic downtown Tulsa features Art Deco design by world-renowned architect Bruce Goff. We’re within walking distance of restaurants and bars, and The Gathering Place park is two miles away. Perks include our indoor-outdoor event space for up to 400 guests, on-site dining, and a rooftop terrace."
Curio Collection by Hilton,QQ,rec71jiVyb94eVTld,Curio Collection by Hilton Umbral,"Umbral, Curio Collection by Hilton",MEXUBQQ,ready,"A historic downtown stay, moments from Zócalo","Our boutique hotel is in the historic center, and dates to 1924.  The Metropolitan Cathedral and the National Art Museum are both within a 15-minute walk of us. Discover our art gallery, rooftop pool and terrace, hanging garden, mini-cinema, library, and vinyl record collection. Our Experience Curators are on hand to personalize your itinerary."
Curio Collection by Hilton,QQ,recI0diSXPicHUwUb,Qoya Hotel Sao Paulo Curio Collection by Hilton,"V Hotel Dubai, Curio Collection by Hilton",DXBVHQQ,ready,Sky-high delights above Dubai Water Canal,"Our hotel overlooks the Dubai Water Canal and is designed to reflect the spirit of the city. We’re home to Dubai's premier stage show, La Perle by Franco Dragone, and eight kilometers from Downtown. Burj Khalifa and Dubai Mall are 10 minutes away, and there are local beaches within 10 km. Enjoy our on-site lounges, restaurants, and nightclubs."
