excelStrId,censusStrId,excelHotelName,censusHotelName,recordId,recommendedAction,sourceFile,rowNumber
137271,,Radisson Hotel Paramaribo,Radisson Hotel Paramaribo,recvZLmhFh4pyzYu8,Apply Excel fields; confirm STR ID alignment,"Existing - Caribbean, South and Central America.xls",1393
332654,,Tru by Hilton Puebla Angelopolis,Tru by Hilton Puebla Angelopolis,rec1YhkKq136V8ylI,Apply Excel fields; confirm STR ID alignment,Existing - Mexico.xls,1036
