appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T22:40:34.977Z,recRvAnTquNCA2I5T,"Park Inn By Radisson Quito",Ecuador,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:35.211Z,recSUnFspVNPm8Zt7,"Radisson Blu Hotel Resort & Spa, Papagayo, Costa Rica",Costa Rica,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:35.446Z,recSUtTbCWRjYhsUV,"Radisson RED Miraflores",Peru,affiliation_normalize,"Radisson RED by Choice","Radisson RED  (Choice)","{""Affiliation"":""Radisson RED  (Choice)""}"
2026-07-22T22:40:35.890Z,recTkv8cbk8MZW9pt,"Comfort Hotel & Suites Natal",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:36.191Z,recUBj49aTRdyP5Qg,"Comfort Inn & Suites Los Cabos",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:36.468Z,recULuD2QBXPk4p2U,"Comfort Inn Tampico",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:36.712Z,recUQrkSxWLn01s92,"Comfort Hotel Fortaleza",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:36.970Z,recURnlEeQal1W77R,"Hotel Faranda Guayacanes a member of Radisson Individuals",Panama,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:37.195Z,recUVdUrSlEe2gH87,"Comfort Suites Paradise Island",Bahamas,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:37.425Z,recUxlOxvAr3rrWb0,"Comfort Suites Londrina",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:37.679Z,recVCFNAE867smKyT,"Comfort Hotel Ibirapuera",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:37.955Z,recW9oKmmNs3gswgb,"Hotel Faranda Bolivar Cucuta A Member Of Radisson Individuals",Colombia,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:38.207Z,recWVBjYACTzmVLeN,"Comfort Inn Chihuahua",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:38.463Z,recXsdIoD3FNG093n,"Emotions All Inclusive Puerto Plata Ascend Hotel Collection",Dominican Republic,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:38.748Z,recYAoPBUGOcs2ujj,"Radisson Bogota Metrotel",Colombia,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:38.972Z,recZI5mQ4c0lNhns5,"Ascend Collection Roxborough",Trinidad and Tobago,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:39.210Z,recakkvS0m4qRy76s,"Comfort Inn Queretaro",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:39.460Z,recbWQSUUQAme5zie,"Radisson Blu Hotel Acqua Hotel & Spa Concon",Chile,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:39.763Z,recbl4EWE8dzSS0lO,"Amberes 64 Ascend Hotel Collection",Mexico,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:40.009Z,recbuXoBJ93bSGDhU,"Comfort Inn Morelia",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:40.282Z,reccYplUPmgS84rxI,"Grand Hotel Guayaquil Ascend Hotel Collection",Ecuador,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:40.550Z,recchbmgK8qZTKQz3,"Former Comfort Suites Macae",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:41.010Z,recebpzkwn6zMzja5,"Comfort Inn Real La Union",El Salvador,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:41.249Z,recekU5u0u05pxpLd,"Radisson Hotel Flecheiras",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:41.551Z,recetmfWRpItxC3HM,"Comfort Suites Flamboyant",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:41.788Z,recexALRJCnOkTBt1,"Country Inn & Suites By Radisson San Jose Aeropuerto Costa Rica",Costa Rica,affiliation_normalize,"Country Inn & Suites by Choice","Country Inn & Suites by Radisson (Choice)","{""Affiliation"":""Country Inn & Suites by Radisson (Choice)""}"
2026-07-22T22:40:42.106Z,recfyYM0Axiz3Gwe8,"Radisson RED Campinas",Brazil,affiliation_normalize,"Radisson RED by Choice","Radisson RED  (Choice)","{""Affiliation"":""Radisson RED  (Choice)""}"
2026-07-22T22:40:42.350Z,recg3EvDwkdVHk6Yj,"Hotel Caribe By Faranda Grand A Member Of Radisson Individuals",Colombia,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:42.578Z,recg8zrORIFqjCXZn,"Park Inn by Radisson Los Olivos de Vallenar",Chile,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:42.851Z,recgLsIbA1EGCjwc8,"Radisson Blu Aruba",Aruba,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:43.092Z,recguCs8MkHILsbxx,"Comfort Suites Alphaville",Brazil,affiliation_normalize,"Comfort Suites","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:43.364Z,rech8GkDM3tYQfXph,"Radisson by Choice Saltillo",Mexico,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:43.609Z,rechf9uLqHiVO2cHI,"Hotel Casa Don Luis by Faranda Boutique a member of Radisson Individuals",Colombia,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:43.883Z,rechguu4mPTdMLqKm,"Comfort Hotel Campos Dos Goytacazes",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
