source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
way/1134831880,Villas CODEVI,Independent,Dajabon,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
way/1486163951,Hotel Anselmo,Independent,Boca Chica,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/270997923,Breezes,Breezes (SuperClubs),Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/287032841,Dreams Palm Beach Resort,Dreams (Hyatt Inclusive Collection),Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/302771731,Natura Park Beach Eco Resort & Spa,Blau Hotels,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/302771860,Catalonia Punta Cana,Catalonia,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/302771929,Be Live Grand Bavaro,Be Live,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/302800763,Wyndham Alltra Punta Cana,Wyndham,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/349129742,Hotel RIU Mambo,RIU,Maimón,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/354627440,Hotel RIU Merengue,RIU,Maimón,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/354627549,Hotel RIU Bachata,RIU,Maimón,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/431025349,Barceló Bávaro Palace Deluxe,Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/596663088,Hotel Crowne Plaza,Crowne Plaza,Santo Domingo,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,auto_insert,High,false,true,true,active_or_soft_brand_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/597456591,Hodelpa Novus Plaza,Hodelpa,Santo Domingo,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/635204441,Club Med,Club Med,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/1207422127,Be Live Grand Marien Hotel,Be Live,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/1234382123,Emotion By Hodelpa.,Hodelpa,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/1653013577,Secrets Royal Beach Punta Cana,Hyatt,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/2106184527,Hard Rock Hotel & Casino Punta Cana - All inclusive,Hard Rock Hotels,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/2172701438,Casa Bonita,SLH,Unknown,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,steward_hold,Medium,true,false,false,known_brand_missing_city,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok
node/2262714721,Dreams Royal Beach Punta Cana,Dreams (Hyatt Inclusive Collection),Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/2613949124,Four Points by Sheraton,Four Points by Sheraton,Punta Cana,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,auto_insert,High,false,true,true,active_or_soft_brand_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/2778735252,Sheraton,Sheraton,Unknown,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/2866813906,Sensimar Punta Cana Villas & Suites,RIU,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/2998189889,Hotel Occidental Allegro Playa Dorada,Occidental,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/2998191668,Barceló Puerto Plata,Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/3015649822,Occidental Caribe (former Barcelo Punta Cana),Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/3145204521,Occidental Caribe (former Barcelo Punta Cana),Barceló,Bavaro,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
node/3145252104,Grand Bahia Principe Punta Cana,Bahía Príncipe,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
