matchScore,registered,delegateName,delegateTitle,delegateCompany,delegateCountry,matchedOwner,ownerTargetId,priorityTier,knownContact,matchType,outreachReady,hasVerifiedContact
90,false,"Patricia Boo","Regional Director","STR","Colombia","Grupo Diestra",rec2apz3Jmyaawn2e,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Italo Bustíos Muñoz","Commercial VP","Enjoy Group","Costa Rica","Enjoy Group",recTTm8k9Px1J9DKR,B,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Abel Castro","Chief Development Officer, PME, Americas","Accor","Brazil","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"bruno de los reyes teran","Director Development - Luxury & Lifestyle Mexico, Central America & Caribbean","Accor","Mexico","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Daniel Diaz Trujillo","Executive VP Royalton Hotels & Resorts","Royalton Hotels & Resorts","USA","Royalton Hotels & Resorts",reciCLtenXkoktzzB,A,"Jordi Pelfort","company_fuzzy|owner_company_fuzzy",,true
90,false,"Ali Elam","Managing Director","Fortress","USA","Fortress Investment Group",rechEFaoz54Mw1SLG,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Alejandro Garcia Menendez","Senior Manager Feasibility","Accor","Mexico","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Carolina Lacerda","Senior Director","EY","USA","Kingsley Management",recmgo5r1X9KavRbq,C,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Rob Lara","Principal","three","USA","Owner 1: ROC Group | Owner 2: Three Wall Capital LLC",recpRJ86AvQnhzLFu,C,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Bernabe Lopez","Director of Development and Asset Management","Caribe Hospitality","Costa Rica","Caribe Hospitality",recat6sUtfIexZ5G3,A,"Daniel Campos","company_fuzzy|owner_company_fuzzy",,true
90,false,"Nicolas Martinez","SVP Development Luxury and Lifestyle Latin America","Accor","Mexico","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Luis Mirabelli","VP Development Hispanic Countries & Caribbean","Accor","Argentina","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Juan Ordóñez","Development Director","Sixstar Hotels","Ecuador","Grupo SIXSTAR Hotels",reciPR6wESETqRgIk,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Andres Pachano","CEO","SIXSTAR HOTEL GROUP","Ecuador","Grupo SIXSTAR Hotels",reciPR6wESETqRgIk,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Theo Poncon","Director Acquisitions & Development","Gencom","USA","Owner 1: Mohari Hospitality Limited | Owner 2: Gencom",recPRV3C1Llhl5BjQ,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Luis Prado","Founder","KALA","USA","Jose Kalach",rec4Z4e8nFueEI99x,B,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"MAURO RIAL","COO North & Hispanic Americas","ACCOR","Mexico","Accor South America",recMH6We2qojx86LS,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Rodrigo Rojo","VP","Tortuga Resorts","Mexico","Tortuga Resorts",recTKF1JCEHQAQsJz,A,"Gerardo Valdes","company_fuzzy|owner_company_fuzzy",,true
90,false,"LEONARDO SCHLESINGER","CEO","TORTUGA RESORTS","Mexico","Tortuga Resorts",recTKF1JCEHQAQsJz,A,"Gerardo Valdes","company_fuzzy|owner_company_fuzzy",,true
90,false,"HANS SCHROEDER","CFO","TORTUGA RESORTS","Mexico","Tortuga Resorts",recTKF1JCEHQAQsJz,A,"Gerardo Valdes","company_fuzzy|owner_company_fuzzy",,true
