excelStrId,excelHotelName,excelCity,excelCountry,excelStrMarket,excelStrSubmarket,recommendedAction,sourceFile,rowNumber
336353,Hotel Estancias VIVE MX el marques Queretaro Trademark,Santiago de Queretaro,Mexico,Mexico Central/Bajio,Mexico Central/Bajio Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1126
333544,OYO Hotel Rio Chetumal,Subteniente Lopez,Mexico,Mexican Caribbean,Mexican Caribbean Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1141
319734,BESPOKE Tulum,Tankah,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1150
333520,OYO Hotel Trigos De OroSan Luis Teolocholco Park,Teolocholco,Mexico,Mexico Central South,Mexico Central South Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1159
133430,Hacienda San Jose Cholul,Tixkokob,Mexico,Yucatan/Campeche,Yucatan/Campeche Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1186
333537,OYO Hotel Margarita,Tlaquiltenango,Mexico,Mexico Central South,Mexico Central South Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1202
333545,Capital O Hotel Boutique Las Torres,Tlaxcala de Xicohtencatl,Mexico,Mexico Central South,Mexico Central South Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1204
319333,Bloom Tulum Apartments by Marriott Bonvoy,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1234
331649,Chiringuito Tulum,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1236
319732,Encantada Tulum,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1239
321737,Holiday Inn Tulum Downtown,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1241
333162,Hotel Muare Tulum Wellness and Spa,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1242
337693,Siente Tulum & Cenote Club a Trademark by Wyndham Hotel,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1252
319493,Tago Tulum by G Hotels,Tulum,Mexico,Mexican Caribbean,Tulum,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1253
333260,Hotel Santander Veracruz,Veracruz,Mexico,Gulf of Mexico,Boca Del Rio & Veracruz,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1282
333259,OYO Hotel El Conquistador,Veracruz,Mexico,Gulf of Mexico,Boca Del Rio & Veracruz,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1285
333588,OYO Hotel Real De Cortes,Xalapa-Enriquez,Mexico,Gulf of Mexico,Xalapa,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1310
323420,OYO Hotel La Playa,Zihuatanejo,Mexico,Pacific Central,Ixtapa Zihuatanejo,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1335
333459,OYO Hotel Zihuatanejo Malibu,Zihuatanejo,Mexico,Pacific Central,Ixtapa Zihuatanejo,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,1337
