censusRecordId,censusName,city,country,propertyId,propertyUrl,htmlFile,instruction
rec1WblO8rnicymJF,Quality Hotel Pampulha,Belo Horizonte,Brazil,BR110,https://www.choicehotels.com/minas-gerais/belo-horizonte/quality-inn-hotels/br110,reports/choice-amenity-html/br110.html,wayback harvest
reccUca5e2ucKq8gs,Quality Hotel Paulista Sao Paulo,Sao Paulo,Brazil,BR147,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br147,reports/choice-amenity-html/br147.html,wayback harvest
recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Porto Alegre,Brazil,BR084,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/quality-inn-hotels/br084,reports/choice-amenity-html/br084.html,wayback harvest
recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Rio de Janeiro,Brazil,BR121,https://www.choicehotels.com/rio-de-janeiro/rio-de-janeiro/quality-inn-hotels/br121,reports/choice-amenity-html/br121.html,wayback harvest
recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Sao Caetano do Sul,Brazil,BR125,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/quality-inn-hotels/br125,reports/choice-amenity-html/br125.html,wayback harvest
recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,São José do Rio Preto,Brazil,BR090,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,reports/choice-amenity-html/br090.html,wayback harvest
rec6w6h6tfQUrn2uO,Quality Hotel Vitoria,Vitoria,Brazil,BR105,https://www.choicehotels.com/espirito-santo/vitoria/quality-inn-hotels/br105,reports/choice-amenity-html/br105.html,wayback harvest
recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Saltillo,Mexico,MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,reports/choice-amenity-html/mx070.html,wayback harvest
recuPczqHC2srskUK,Quality Suites Alphaville,Barueri,Brazil,BR008,https://www.choicehotels.com/sao-paulo/barueri/quality-inn-hotels/br008,reports/choice-amenity-html/br008.html,wayback harvest
recfJwzEQpnITOiLm,Quality Suites Vila Olimpia,Sao Paulo,Brazil,BR025,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br025,reports/choice-amenity-html/br025.html,wayback harvest
recak8mGBPSSEBswK,Quality Suites Vila Velha,Vila Velha,Brazil,BR036,https://www.choicehotels.com/espirito-santo/vila-velha/quality-inn-hotels/br036,reports/choice-amenity-html/br036.html,wayback harvest
recnKqXBuizbOkD7D,Radisson Blu Plaza El Bosque Santiago,Santiago,Chile,CL012,https://www.choicehotels.com/chile/santiago/radisson-blu-hotels/cl012,reports/choice-amenity-html/cl012.html,wayback harvest
