legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,matchConfidence,matchScore,osmCandidateRecordId,osmName,osmSourceRecordId,distanceMeters,alreadyVerified,duplicateRisk,matchReason
recpAblJ67kBs4bHa,Comfort Inn Hermosillo Airport,Hermosillo,Mexico,Comfort Inn & Suites,none,51,,,,621317,no,no,No credible OSM match for Choice target
recqAsAbHmJ5Vg2j7,Quality Hotel Real Aeropuerto Santo Domingo,Santo Domingo,Dominican Republic,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recqJ1LzgkeNC0DB9,Quality Inn Aguascalientes,Aguascalientes,Mexico,Quality Inn,none,59,,,,1116297,no,no,No credible OSM match for Choice target
recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Sao Joao Batista do Gloria,Brazil,Comfort Inn & Suites,none,32,,,,251158,no,no,No credible OSM match for Choice target
recqyAf5fPBAGDIcM,Faranda Collection Medellin A Member Of Radisson Individuals,Medellin,Colombia,Radisson Individuals by Choice,none,51,,,,238852,no,no,No credible OSM match for Choice target
recrPx45Dd2EMY3TH,Radisson Hotel Maiorana Belem,Belem,Brazil,Radisson by Choice,none,57,,,,310,no,no,No credible OSM match for Choice target
recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Porto Alegre,Brazil,Quality Inn,none,51,,,,1290171,no,no,No credible OSM match for Choice target
recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Rio de Janeiro,Brazil,Quality Inn,none,51,,,,775722,no,no,No credible OSM match for Choice target
recsyaMGAIQQuvOI3,Comfort Suites Vitoria,Vitoria,Brazil,Comfort Suites,none,59,,,,282140,no,no,No credible OSM match for Choice target
rect1fxGKcQeJs2nB,Sleep Inn Monclova,Monclova,Mexico,Sleep Inn,medium,76,recBFmsxCcwcg7WB3,Sleep Inn,node/5343782572,9,no,no,"Good name (75%), same country, 9m"
rect6xTnJsjJyA6Ei,Radisson Colon 2000 Hotel & Casino,Colon,Panama,Radisson by Choice,none,34,,,,59138,no,no,No credible OSM match for Choice target
rectlLKZ1wbhYj7md,Radisson Hotel Paulista Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,none,51,,,,615678,no,no,No credible OSM match for Choice target
recuNO9EE5NC4U6uh,Clarion Hotel Real Tegucigalpa,Tegucigalpa,Honduras,Clarion,medium,86,recq2pe7amhbU8AgY,Clarion Hotel,way/225109251,9,no,no,"Good name (75%), same country, 9m"
recuPczqHC2srskUK,Quality Suites Alphaville,Barueri,Brazil,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recv3ZtsBl2gDlDH6,Sleep Inn Ciudad De Mexico Cuajimalpa,Mexico City,Mexico,Sleep Inn,none,59,,,,2284618,no,no,No credible OSM match for Choice target
recv3es2CjcAZmg5l,Quality Hotel & Suites Brasilia,Brasilia,Brazil,Quality Inn,none,51,,,,335838,no,no,No credible OSM match for Choice target
recvZLmhFh4pyzYu8,Radisson Hotel Paramaribo,Paramaribo,Suriname,Radisson by Choice,none,49,,,,4655098,no,no,Country does not match OSM candidate
recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Sao Caetano do Sul,Brazil,Quality Inn,none,51,,,,623904,no,no,No credible OSM match for Choice target
recw2SzhnSQtODy4Y,"Hotel Faranda Express Soloy and Casino, A Member of Radisson Individuals",Panama City,Panama,Radisson Individuals by Choice,none,27,,,,3503,no,no,No credible OSM match for Choice target
recw8qQXKshGnAqI0,Park Inn by Radisson Puerto Varas,Puerto Varas,Chile,Park Inn by Choice,none,51,,,,905610,no,no,No credible OSM match for Choice target
recwFcrhjKMW6g86m,ME Cabo,Cabo San Lucas,Mexico,Everhome Suites,none,51,,,,1207237,no,no,No credible OSM match for Choice target
recwGtRq733LfHvaH,Radisson Montevideo Victoria Plaza Hotel,Montevideo,Uruguay,Radisson by Choice,none,49,,,,1336461,no,no,Country does not match OSM candidate
recwmqTUKqPmsjElm,Radisson San Jose-Costa Rica,San Jose,Costa Rica,Radisson by Choice,low,66,recVFl51kUbb9KCgQ,Costa Rica,node/3982523076,1511,no,no,"Partial name/brand match within 1511m, same country"
recwrzq0Sq9wUqx42,Comfort Inn Ciudad Juarez,Ciudad Juarez,Mexico,Comfort Inn & Suites,none,51,,,,9008,no,no,No credible OSM match for Choice target
recwvcWrWpiq3kuq9,Comfort Hotel & Suites Rondonopolis,Rondonopolis,Brazil,Comfort Inn & Suites,none,59,,,,1513070,no,no,No credible OSM match for Choice target
recxeNGJrgFgfGWsY,Radisson Blu Belo Horizonte,Belo Horizonte,Brazil,Radisson Blu by Choice,none,32,,,,440942,no,no,No credible OSM match for Choice target
recy5vv0a3sGia5Fn,Radisson Hotel Pinheiros Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,none,51,,,,613147,no,no,No credible OSM match for Choice target
recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,San Luis Potosi,Mexico,Comfort Inn & Suites,none,51,,,,275705,no,no,No credible OSM match for Choice target
