legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,matchConfidence,matchScore,osmCandidateRecordId,osmName,osmSourceRecordId,distanceMeters,alreadyVerified,duplicateRisk,matchReason
recPdupuEa1xekFdu,Comfort Hotel Santos,Santos,Brazil,Comfort Inn & Suites,medium,76,recX5AU0Io02JwoPg,Comfort Hotel,node/6228420089,10,no,no,"Good name (75%), same country, 10m"
recQ33UuRCjytmL54,Radisson Blu Sao Paulo,Sao Paulo,Brazil,Radisson Blu by Choice,none,51,,,,2286848,no,no,No credible OSM match for Choice target
recQVxeHdrKdQlQNF,Radisson Grenada Beach Resort,St George's,Grenada,Radisson by Choice,none,49,,,,5136587,no,no,Country does not match OSM candidate
recQcydlpW55d7TKb,Radisson Puebla Angelopolis,Puebla,Mexico,Radisson by Choice,none,51,,,,2278337,no,no,No credible OSM match for Choice target
recRJCsqWdTRChk7s,Sleep Inn Mazatlan,Mazatlan,Mexico,Sleep Inn,high,100,recSEdorZxoW2xYNT,Sleep Inn Mazatlan,node/9682880538,21,no,no,"Strong name (100%), same country, 21m"
recROU7DMIHSXYyCc,Sleep Inn Mexicali,Mexicali,Mexico,Sleep Inn,none,59,,,,144081,no,no,No credible OSM match for Choice target
recRTjo9e5hXY1WSk,Radisson Hotel Tapatio Guadalajara,Tlaquepaque,Mexico,Radisson by Choice,none,57,,,,84,no,no,No credible OSM match for Choice target
recRvAnTquNCA2I5T,Park Inn By Radisson Quito,Quito,Ecuador,Park Inn by Choice,medium,77,recDqxvEDOTdCcqtR,Park Inn by Radisson,node/9135207952,6,no,no,"Good name (77%), same country, 6m"
recSUnFspVNPm8Zt7,"Radisson Blu Hotel Resort & Spa, Papagayo, Costa Rica",Guanacaste,Costa Rica,Radisson Blu by Choice,none,51,,,,186074,no,no,No credible OSM match for Choice target
recSUtTbCWRjYhsUV,Radisson RED Miraflores,Miraflores,Peru,Radisson RED by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recTkv8cbk8MZW9pt,Comfort Hotel & Suites Natal,Natal,Brazil,Comfort Inn & Suites,none,59,,,,1886363,no,no,No credible OSM match for Choice target
recUBj49aTRdyP5Qg,Comfort Inn & Suites Los Cabos,Cabo San Lucas,Mexico,Comfort Inn & Suites,medium,86,recZqGY5ke1E4ArzI,Comfort Inn,way/1024002945,22,no,no,"Good name (75%), same country, 22m"
recULuD2QBXPk4p2U,Comfort Inn Tampico,Tampico,Mexico,Comfort Inn & Suites,none,51,,,,450011,no,no,No credible OSM match for Choice target
recUMyhRYKH5y7aIV,"Atlantique View Resort And Spa, Ascend Hotel Collection",Anse De Mai,Dominica,Ascend Collection,none,41,,,,2877901,no,no,Country does not match OSM candidate
recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Fortaleza,Brazil,Comfort Inn & Suites,none,59,,,,2029088,no,no,No credible OSM match for Choice target
recURnlEeQal1W77R,Hotel Faranda Guayacanes a member of Radisson Individuals,Chitre,Panama,Radisson Individuals by Choice,none,56,,,,29,no,no,No credible OSM match for Choice target
recUVdUrSlEe2gH87,Comfort Suites Paradise Island,Nassau,Bahamas,Comfort Suites,medium,84,recRdJ4jDcR4CA2lG,Comfort Suites,way/366991076,59,no,no,"Good name (75%), same country, 59m"
recUxlOxvAr3rrWb0,Comfort Suites Londrina,Londrina,Brazil,Comfort Suites,none,59,,,,966498,no,no,No credible OSM match for Choice target
recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Sao Paulo,Brazil,Comfort Inn & Suites,none,59,,,,583686,no,no,No credible OSM match for Choice target
recW9oKmmNs3gswgb,Hotel Faranda Bolivar Cucuta A Member Of Radisson Individuals,Cucuta,Colombia,Radisson Individuals by Choice,none,51,,,,591040,no,no,No credible OSM match for Choice target
recWK7cfMtuIj89xd,Quality Inn Ciudad Obregon,Ciudad Obregon,Mexico,Quality Inn,none,59,,,,2097826,no,no,No credible OSM match for Choice target
recWVBjYACTzmVLeN,Comfort Inn Chihuahua,Chihuahua,Mexico,Comfort Inn & Suites,none,51,,,,1121521,no,no,No credible OSM match for Choice target
recXsdIoD3FNG093n,Emotions All Inclusive Puerto Plata Ascend Hotel Collection,Puerto Plata,Dominican Republic,Ascend Collection,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recYAoPBUGOcs2ujj,Radisson Bogota Metrotel,Bogota,Colombia,Radisson by Choice,none,57,,,,25,no,no,No credible OSM match for Choice target
recYWzUR6gif6SobH,Quality Inn Monterrey La Fe,Guadalupe,Mexico,Quality Inn,high,100,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,node/3788008101,23,yes,no,"Strong name (100%), same country, 23m"
recYq8Xdh6uHvdjsU,Radisson Hotel Santa Cruz,Santa Cruz de la Sierra,Bolivia,Radisson by Choice,none,49,,,,1889237,no,no,Country does not match OSM candidate
recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Roxborough,Trinidad and Tobago,Ascend Collection,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recak8mGBPSSEBswK,Quality Suites Vila Velha,Vila Velha,Brazil,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recakkvS0m4qRy76s,Comfort Inn Queretaro,Queretaro,Mexico,Comfort Inn & Suites,medium,86,recmfzL5OATlJ3fiF,Comfort Inn,node/7194490285,58,no,no,"Good name (75%), same country, 58m"
recazBNxPazCs8y7a,Quality Hotel Goiania,Goiania,Brazil,Quality Inn,none,51,,,,207605,no,no,No credible OSM match for Choice target
recbWQSUUQAme5zie,Radisson Blu Hotel Acqua Hotel & Spa Concon,Concon,Chile,Radisson Blu by Choice,high,100,rec5U58kxxzPtcGzn,Radisson Blu Acqua Hotel & Spa Concón,way/967407022,7,yes,no,"Strong name (100%), same country, 7m"
recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico City,Mexico,Ascend Collection,none,51,,,,371182,no,no,No credible OSM match for Choice target
recbuXoBJ93bSGDhU,Comfort Inn Morelia,Morelia,Mexico,Comfort Inn & Suites,medium,76,rec8xE9BDnDfVEhbc,Comfort Inn,way/856392436,23,no,no,"Good name (75%), same country, 23m"
reccUca5e2ucKq8gs,Quality Hotel Paulista Sao Paulo,Sao Paulo,Brazil,Quality Inn,none,51,,,,615131,no,no,No credible OSM match for Choice target
reccXi9kLfZrKEW42,Quality Hotel Real Aeropuerto,San Salvador,El Salvador,Quality Inn,none,41,,,,6217951,no,no,Country does not match OSM candidate
reccYplUPmgS84rxI,Grand Hotel Guayaquil Ascend Hotel Collection,Guayaquil,Ecuador,Ascend Collection,none,61,,,,5269,no,no,No credible OSM match for Choice target
recchbmgK8qZTKQz3,Former Comfort Suites Macae,Macae,Brazil,Comfort Suites,medium,84,recysh6ahtmShOt4K,Comfort Suites,node/501852696,4,no,no,"Good name (75%), same country, 4m"
recdMCXtrk9IeKyzi,Quality Hotel Jundiai,Jundiai,Brazil,Quality Inn,none,51,,,,565532,no,no,No credible OSM match for Choice target
recdMIRgh88xccup0,Sleep Inn Paulinia,Paulinia,Brazil,Sleep Inn,none,51,,,,763122,no,no,No credible OSM match for Choice target
recebpzkwn6zMzja5,Comfort Inn Real La Union,La Union,El Salvador,Comfort Inn & Suites,none,41,,,,1592803,no,no,Country does not match OSM candidate
recekU5u0u05pxpLd,Radisson Hotel Flecheiras,Flecheiras,Brazil,Radisson by Choice,none,51,,,,2019501,no,no,No credible OSM match for Choice target
receraO6a2LBlAFS9,Quality Hotel Blumenau,Blumenau,Brazil,Quality Inn,none,51,,,,930242,no,no,No credible OSM match for Choice target
recetmfWRpItxC3HM,Comfort Suites Flamboyant,Goiania,Brazil,Comfort Suites,none,59,,,,1003753,no,no,No credible OSM match for Choice target
recexALRJCnOkTBt1,Country Inn & Suites By Radisson San Jose Aeropuerto Costa Rica,San Jose,Costa Rica,Country Inn & Suites by Choice,none,61,,,,9172,no,no,No credible OSM match for Choice target
recfJwzEQpnITOiLm,Quality Suites Vila Olimpia,Sao Paulo,Brazil,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recfyYM0Axiz3Gwe8,Radisson RED Campinas,Campinas,Brazil,Radisson RED by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recg3EvDwkdVHk6Yj,Hotel Caribe By Faranda Grand A Member Of Radisson Individuals,Cartagena,Colombia,Radisson Individuals by Choice,medium,76,reccHzJSZwnDlcNh2,Hotel Caribe,way/1175331054,84,no,no,"Good name (75%), same country, 84m"
recg8zrORIFqjCXZn,Park Inn by Radisson Los Olivos de Vallenar,Vallenar,Chile,Park Inn by Choice,none,51,,,,537439,no,no,No credible OSM match for Choice target
recgLsIbA1EGCjwc8,Radisson Blu Aruba,Palm Beach,Aruba,Radisson Blu by Choice,none,49,,,,5111471,no,no,Country does not match OSM candidate
