ts,action,recordId,propertyId,patchKeys,amenitiesCount,ok,error
2026-07-23T10:02:52.921Z,update,rec6sn8qZJU1Kl0VF,C280,"Affiliation|Parent Company|Website|Property ID",,1,
2026-07-23T10:02:54.860Z,amenities,rec6sn8qZJU1Kl0VF,C280,Amenities,12,1,
