appliedAt,censusRecordId,censusName,censusCountry,propertyUrl,matchReason,fieldsJson
2026-07-15T11:11:27.821Z,recAi6URZdr3geh84,"Papaya Playa Project",Mexico,https://www.designhotels.com/hotels/mexico/tulum/papaya-playa-project/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/tulum/papaya-playa-project/""}"
2026-07-15T11:11:28.076Z,recbmvdCxrIOi9B0t,"Azúcar",Mexico,https://www.designhotels.com/hotels/mexico/veracruz/monte-gordo/azucar/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/veracruz/monte-gordo/azucar/""}"
2026-07-15T11:11:28.314Z,rectCvF1Q1dv9SBgd,"Maison Couturier",Mexico,https://www.designhotels.com/hotels/mexico/veracruz/san-rafael/maison-couturier/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/veracruz/san-rafael/maison-couturier/""}"
2026-07-15T11:11:28.623Z,recXApWI0nAXL8z2N,"Drift San Jose del Cabo",Mexico,https://www.designhotels.com/hotels/mexico/baja-california-sur/san-jose-del-cabo/drift-san-jose-del-cabo/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/baja-california-sur/san-jose-del-cabo/drift-san-jose-del-cabo/""}"
2026-07-15T11:11:28.858Z,recrzJunQGjBCGc8f,"NEST Tulum",Mexico,https://www.designhotels.com/hotels/mexico/baja-california-sur/san-jose-del-cabo/nest-baja/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/baja-california-sur/san-jose-del-cabo/nest-baja/""}"
2026-07-15T11:11:29.113Z,recx7aZhD16bG1H63,"Baja Club",Mexico,https://www.designhotels.com/hotels/mexico/baja-california-sur/la-paz/baja-club/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/baja-california-sur/la-paz/baja-club/""}"
2026-07-15T11:11:29.358Z,recbF0TVIuO9B4oEf,"Rabot Hotel",Saint Lucia,https://www.designhotels.com/hotels/saint-lucia/soufriere/rabot-hotel/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/saint-lucia/soufriere/rabot-hotel/""}"
2026-07-15T11:11:29.610Z,rec7H1eaxIAuJZpek,"Hotel Belmar",Costa Rica,https://www.designhotels.com/hotels/costa-rica/monteverde/hotel-belmar/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/costa-rica/monteverde/hotel-belmar/""}"
2026-07-15T11:11:29.827Z,recQbYjfuuWjrrw2P,"Ahorita, a Member of Design Hotels",Mexico,,census_name_member_of_design_hotels,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International""}"
2026-07-15T11:11:30.059Z,recSkF02UHFcGNR2A,"Otro Oaxaca, a Member of Design Hotels",Mexico,,census_name_member_of_design_hotels,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International""}"
