propertyId,officialPropertyUrl,fetchStatus,officialHotelName,brand,parentCompany,address,city,stateOrRegion,country,postalCode,latitude,longitude,phone,website,extractionConfidence,fieldsFound,extractionWarnings,error
aa024,https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,fetch_failed,,,,,,,,,,,,,,,,HTTP 403
aa022,https://www.choicehotels.com/argentina/san-carlos-de-bariloche/radisson-blu-hotels/aa022,fetch_failed,,,,,,,,,,,,,,,,HTTP 403
bs003,https://www.choicehotels.com/bahamas/nassau/comfort-suites-hotels/bs003,fetch_failed,,,,,,,,,,,,,,,,HTTP 403
