appliedAt,censusRecordId,censusName,propertyId,propertyUrl,source,amenityCount
2026-07-06T07:00:01.595Z,reccAbpRRhR5QeQeR,"ibis Copacabana Posto 2",9361,https://all.accor.com/hotel/9361/index.en.shtml,accor_catalog_api,7
2026-07-06T07:00:04.781Z,rec42oRmm3SsIX0BO,"Novotel México City Centro Histórico",B904,https://all.accor.com/hotel/B904/index.en.shtml,accor_catalog_api,0
2026-07-06T07:00:16.750Z,recun7XMxWWK7KWbp,"ibis Buenos Aires Obelisco",6502,https://all.accor.com/hotel/6502/index.en.shtml,accor_catalog_api,7
2026-07-06T07:00:16.750Z,recnBrzlsqD534tLt,"ibis Styles Buenos Aires Florida",B2V8,https://all.accor.com/hotel/B2V8/index.en.shtml,accor_catalog_api,6
2026-07-06T07:00:16.750Z,recc5wclVzzLIkDHy,"Palladio Hotel Buenos Aires MGallery Collection",B1R7,https://all.accor.com/hotel/B1R7/index.en.shtml,accor_catalog_api,13
2026-07-06T07:00:16.750Z,rec0CnGSGAr6u6cYQ,"Sofitel Buenos Aires Recoleta",8932,https://all.accor.com/hotel/8932/index.en.shtml,accor_catalog_api,13
2026-07-06T07:00:16.750Z,rec2GMmOabsOv6nEx,"SLS Buenos Aires Puerto Madero",B723,https://all.accor.com/hotel/B723/index.en.shtml,accor_catalog_api,9
2026-07-06T07:00:19.609Z,recn0y7r4dvCiEk1V,"SLS Playa Mujeres",C383,https://all.accor.com/hotel/C383/index.en.shtml,accor_catalog_api,0
2026-07-06T07:00:22.186Z,recmQRGPmlJgMEW2M,"Novotel Panama City",9252,https://all.accor.com/hotel/9252/index.en.shtml,accor_catalog_api,0
2026-07-06T07:08:17.755Z,reccYPbTlq6qXx76q,"ibis Goiania",3670,https://all.accor.com/hotel/3670/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recVbeRN9YdTro7Cq,"Novotel Uberlandia",C1T2,https://all.accor.com/hotel/C1T2/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recCFsGKvNNyJ5owO,"ibis Campo Grande",6348,https://all.accor.com/hotel/6348/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,rectGS8M85fCvRFCS,"ibis Barretos",8135,https://all.accor.com/hotel/8135/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recKm89LuIYEdUmq5,"ibis budget Sertaozinho",8571,https://all.accor.com/hotel/8571/index.en.shtml,accor_catalog_country,6
2026-07-06T07:08:17.755Z,recfg5PmcoEicZxtZ,"ibis Sertaozinho",7436,https://all.accor.com/hotel/7436/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recC8IRasSNRFrHBP,"ibis Marilia",9365,https://all.accor.com/hotel/9365/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recB1WST6fzcnl5eI,"Ibis Sao Carlos",3264,https://all.accor.com/hotel/3264/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recQtT1v8B5lzeYA1,"ibis Ourinhos",7946,https://all.accor.com/hotel/7946/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recl6LIKtWb9rL3RF,"ibis Betim",5467,https://all.accor.com/hotel/5467/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recJfyw1BFWZoLj9R,"ibis Belo Horizonte Savassi",7021,https://all.accor.com/hotel/7021/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,rec6UX16kJkjyKro9,"ibis Paulinia",3054,https://all.accor.com/hotel/3054/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recwXl2RuQDFDZjQ0,"Novotel Sorocaba",9456,https://all.accor.com/hotel/9456/index.en.shtml,accor_catalog_country,12
2026-07-06T07:08:17.755Z,recC8PvUKDQKLt7px,"ibis budget Sorocaba",9450,https://all.accor.com/hotel/9450/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recx3XbNnflqlTW2N,"ibis budget Manhuacu",9585,https://all.accor.com/hotel/9585/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recnP5AMqyCeP4mVa,"ibis budget Curitiba Centro",5519,https://all.accor.com/hotel/5519/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recnPmdUIgdOun2i0,"Novotel Curitiba Batel",9088,https://all.accor.com/hotel/9088/index.en.shtml,accor_catalog_country,12
2026-07-06T07:08:17.755Z,recQj39xUKH23UITf,"Ibis Curitiba Shopping",7827,https://all.accor.com/hotel/7827/index.en.shtml,accor_catalog_country,11
2026-07-06T07:08:17.755Z,recd5OQTXPTIEqp31,"ibis Foz Do Iguacu",7380,https://all.accor.com/hotel/7380/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recVSKUHGKc0qSA3K,"Ibis Curitiba Aeroporto",3736,https://all.accor.com/hotel/3736/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recwKcOsx6tdaljvp,"Ibis Petrolina",6520,https://all.accor.com/hotel/6520/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recKbpwa8gq8rYjTE,"ibis Bacabal",8958,https://all.accor.com/hotel/8958/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:17.755Z,recG41iRUGu0CGqtt,"ibis Vitoria Aeroporto",5528,https://all.accor.com/hotel/5528/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recfUojn2kCMrQbNo,"ibis Vitoria Praia De Camburi",7437,https://all.accor.com/hotel/7437/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recWDVpockNvGArV5,"Ibis Vitoria Praia Do Canto",5223,https://all.accor.com/hotel/5223/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:17.755Z,reciS4eCmCmAjAKbr,"ibis Chapeco",9362,https://all.accor.com/hotel/9362/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recPYEk9vlFLQEiKf,"Ibis Salvador Rio Vermelho",5173,https://all.accor.com/hotel/5173/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:17.755Z,recae4PJBhY22bZrA,"Novotel Florianopolis",5947,https://all.accor.com/hotel/5947/index.en.shtml,accor_catalog_country,13
2026-07-06T07:08:17.755Z,recckXNz1deEBkFP0,"ibis Tubarao",B5A2,https://all.accor.com/hotel/B5A2/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recwSEz6eCL3MaZBl,"Ibis Caxias Do Sul",5470,https://all.accor.com/hotel/5470/index.en.shtml,accor_catalog_country,11
2026-07-06T07:08:17.755Z,recskKhqdqka5fUZK,"ibis Montenegro",8140,https://all.accor.com/hotel/8140/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recuWhHK22rd3V0tC,"ibis Arapiraca",7947,https://all.accor.com/hotel/7947/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recoNQcckRgx9uZRf,"Ibis Porto Alegre Aeroporto",5670,https://all.accor.com/hotel/5670/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:17.755Z,rec7HjSKesnKpu8P6,"ibis budget Porto Alegre",7202,https://all.accor.com/hotel/7202/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recp33vMUIhFEsDx9,"ibis Primavera do Leste",B7C8,https://all.accor.com/hotel/B7C8/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,receXq1DlRJDSTSm5,"ibis Tangara da Serra - MT",B9G7,https://all.accor.com/hotel/B9G7/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recOsoeerGBMX5Z61,"ibis Votuporanga",A1H2,https://all.accor.com/hotel/A1H2/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,receUuFnrJjhJfBY4,"ibis Styles Barretos",B8E6,https://all.accor.com/hotel/B8E6/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,reczaRyib7sBDD5VX,"ibis Styles Araxa",B874,https://all.accor.com/hotel/B874/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recCN5dj2aeufeBCs,"Ibis Araguaina",C0H2,https://all.accor.com/hotel/C0H2/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recjuBZa4F05p5siQ,"ibis Jau",B8E2,https://all.accor.com/hotel/B8E2/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recY7JGWfdGxitPbr,"ibis Mogi Guacu",C2T1,https://all.accor.com/hotel/C2T1/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recC2gLHk03e3IdRw,"TRIBE Belo Horizonte Savassi",B9Y6,https://all.accor.com/hotel/B9Y6/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recSthJTo0YEw1eWO,"ibis budget Guarulhos Aeroporto",B727,https://all.accor.com/hotel/B727/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recDDdSTTCWgkSrDL,"ibis budget Pindamonhangaba",9453,https://all.accor.com/hotel/9453/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,rec3FOBmvqLY9cmnf,"ibis Guarapuava",B0H5,https://all.accor.com/hotel/B0H5/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recIhFapcBRmndIpw,"Ibis Styles Foz do Iguacu",B1Z5,https://all.accor.com/hotel/B1Z5/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recp7RgWXxXXLsQIv,"Ibis Styles Petrolina",B8Z1,https://all.accor.com/hotel/B8Z1/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,rec6i0yanguTlrTCY,"ibis Serra Talhada",B8W9,https://all.accor.com/hotel/B8W9/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recOFHyRVeOekh4Ik,"Ibis Arcoverde - PE",B9I8,https://all.accor.com/hotel/B9I8/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:17.755Z,recIeiynXFgmPyLQt,"ibis budget Divinopolis",9792,https://all.accor.com/hotel/9792/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recn7XXCJBDEL8fUx,"ibis Uberaba Hotel",8139,https://all.accor.com/hotel/8139/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,rec1Td37ktLy9bIjU,"Ibis Ribeirao Preto",3261,https://all.accor.com/hotel/3261/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:17.755Z,recsaFsJXcYBaMkR0,"ibis Montes Claros",7840,https://all.accor.com/hotel/7840/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recVFI9Rq93Wz3oaE,"ibis Londrina",8664,https://all.accor.com/hotel/8664/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recvwf1XitnVXAmh8,"ibis Balneario Camboriu",A7F9,https://all.accor.com/hotel/A7F9/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recTtUXOZjjzsZXDs,"Ibis Manaus",3221,https://all.accor.com/hotel/3221/index.en.shtml,accor_catalog_country,7
2026-07-06T07:08:17.755Z,recERyBEdXsCaIuHz,"Ibis Sao Luis Hotel",7200,https://all.accor.com/hotel/7200/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:17.755Z,recj0g4kMOkPQutUH,"ibis budget Manaus",7016,https://all.accor.com/hotel/7016/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:22.269Z,rec3QQOnCtd0oGXqQ,"Mercure Rosario",B8I7,https://all.accor.com/hotel/B8I7/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:22.269Z,recXWZmhiDh9vzgVY,"Sofitel La Reserva Cardales",6519,https://all.accor.com/hotel/6519/index.en.shtml,accor_catalog_country,13
2026-07-06T07:08:22.269Z,rec6WxRIezP4IYRTA,"ibis Pilar",8646,https://all.accor.com/hotel/8646/index.en.shtml,accor_catalog_country,9
2026-07-06T07:08:32.252Z,recB3u5tE6PKzMjQL,"ibis Concepcion",6939,https://all.accor.com/hotel/6939/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:32.252Z,recVQc8tLAu4omQzh,"ibis Valparaiso",8227,https://all.accor.com/hotel/8227/index.en.shtml,accor_catalog_country,6
2026-07-06T07:08:32.252Z,rectqA7i0WHSQMSmP,"Pullman Vina del Mar San Martin",B463,https://all.accor.com/hotel/B463/index.en.shtml,accor_catalog_country,13
2026-07-06T07:08:32.252Z,recSh6ufd9ukTxbQJ,"Novotel Puerto Montt",C0I8,https://all.accor.com/hotel/C0I8/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:32.252Z,rechD0XRlYErYtJ94,"ibis Copiapo",8922,https://all.accor.com/hotel/8922/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:32.252Z,recKQmieHNerz4R6G,"Ibis Antofagasta",6940,https://all.accor.com/hotel/6940/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:32.252Z,recLSDAe7CLg4Y3vS,"ibis Puerto Montt",7491,https://all.accor.com/hotel/7491/index.en.shtml,accor_catalog_country,8
2026-07-06T07:08:33.211Z,recGMunmUYkCNR9HV,"Novotel Cusco",3254,https://all.accor.com/hotel/3254/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:39.607Z,recCF42AfKLY69XmT,"Hotel Costanero Montevideo - MGallery Collection",B3G3,https://all.accor.com/hotel/B3G3/index.en.shtml,accor_catalog_country,11
2026-07-06T07:08:39.607Z,recAUNeHQvtgfRFcg,"Ibis Montevideo",3539,https://all.accor.com/hotel/3539/index.en.shtml,accor_catalog_country,10
2026-07-06T07:08:40.852Z,recbvxs0xX1qmdjLP,"Swissotel Santa Cruz de la Sierra",B5I9,https://all.accor.com/hotel/B5I9/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:41.803Z,recYraFec3cgwpf94,"SLS Baha Mar",B5C3,https://all.accor.com/hotel/B5C3/index.en.shtml,accor_catalog_country,0
2026-07-06T07:08:42.445Z,reckjk7lIIKhHth1X,"Fairmont Royal Pavilion",A552,https://all.accor.com/hotel/A552/index.en.shtml,accor_catalog_country,0
2026-07-06T07:15:08.581Z,rec34ZFD7MduAMbrP,"Novotel Recife Marina",B8N0,https://all.accor.com/hotel/B8N0/index.en.shtml,accor_catalog_gap_pass,13
2026-07-06T07:15:08.581Z,reckdC19iK9N2q6LS,"Mercure Recife Navegantes Hotel",2171,https://all.accor.com/hotel/2171/index.en.shtml,accor_catalog_gap_pass,11
2026-07-06T07:15:08.581Z,recFlDHEsZSbQDTEm,"ibis Recife Aeroporto",8842,https://all.accor.com/hotel/8842/index.en.shtml,accor_catalog_gap_pass,9
2026-07-06T07:15:08.581Z,rec6FOHTvMCdvT7EM,"Manhattan Porto Alegre by Mercure",B9Y0,https://all.accor.com/hotel/B9Y0/index.en.shtml,accor_catalog_gap_pass,11
2026-07-06T07:15:08.581Z,recF5pWj9YPZlGoZr,"ibis Maceio Pajucara",1961,https://all.accor.com/hotel/1961/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recK3FyzyFICFmpIx,"ibis Mossoro",6517,https://all.accor.com/hotel/6517/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recWOUBPbwWY5p5XL,"Mercure Rosario",B8I7,https://all.accor.com/hotel/B8I7/index.en.shtml,accor_catalog_gap_pass,10
2026-07-06T07:15:08.581Z,recbIRZCmNYYBj70B,"ibis Caruaru",B669,https://all.accor.com/hotel/B669/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,rec4bMI2D9XvZHGey,"ibis budget Fortaleza Praia de Irac",9325,https://all.accor.com/hotel/9325/index.en.shtml,accor_catalog_gap_pass,6
2026-07-06T07:15:08.581Z,rec3U8sydbjpmBKzo,"Mercure Cayenne Royal Amazonia",B095,https://all.accor.com/hotel/B095/index.en.shtml,accor_catalog_gap_pass,11
2026-07-06T07:15:08.581Z,recdBFVH4yyUQWcPH,"ibis Fortaleza Centro De Eventos Hotel",8886,https://all.accor.com/hotel/8886/index.en.shtml,accor_catalog_gap_pass,11
2026-07-06T07:15:08.581Z,recsaGxQKUrJ8pKAD,"ibis budget Santiago Providencia",9869,https://all.accor.com/hotel/9869/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,reccBkhvplufk6KjI,"ibis Recife",6000,https://all.accor.com/hotel/6000/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recrp6Hym1T3xJ49T,"ibis Styles Sao Jose do Rio Preto",8570,https://all.accor.com/hotel/8570/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recs8E5zJp2ZE2bXX,"Ibis Styles Maragogi",B858,https://all.accor.com/hotel/B858/index.en.shtml,accor_catalog_gap_pass,12
2026-07-06T07:15:08.581Z,recDMAAeaTNSJRKiH,"Ibis Pocos De Caldas",B5R1,https://all.accor.com/hotel/B5R1/index.en.shtml,accor_catalog_gap_pass,7
2026-07-06T07:15:08.581Z,rec02Fl5fQw6Pct3O,"ibis Barra Dos Garcas",B7E2,https://all.accor.com/hotel/B7E2/index.en.shtml,accor_catalog_gap_pass,10
2026-07-06T07:15:08.581Z,recPM4euKQLl9OVYX,"Mercure Kourou Ariatel",1592,https://all.accor.com/hotel/1592/index.en.shtml,accor_catalog_gap_pass,10
2026-07-06T07:15:08.581Z,recX8XHJTpR4Bf0Oj,"ibis Styles Guayaquil",B5E6,https://all.accor.com/hotel/B5E6/index.en.shtml,accor_catalog_gap_pass,12
2026-07-06T07:15:08.581Z,recfKJIM6kDung4NV,"ibis Styles Porto Alegre Moinhos de Vento",B609,https://all.accor.com/hotel/B609/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recJp3F9PT27EKdqC,"ibis Tubarao",B5A2,https://all.accor.com/hotel/B5A2/index.en.shtml,accor_catalog_gap_pass,8
2026-07-06T07:15:08.581Z,recn02HY47eLgAWWx,"ibis Lavras",B544,https://all.accor.com/hotel/B544/index.en.shtml,accor_catalog_gap_pass,10
2026-07-06T07:15:08.581Z,recDKfOQsBa3THBPT,"ibis Styles Presidente Prudente",7135,https://all.accor.com/hotel/7135/index.en.shtml,accor_catalog_gap_pass,4
2026-07-06T07:15:08.581Z,recM9f8uDgBJdf6rI,"Novotel Maceio Pajucara",6663,https://all.accor.com/hotel/6663/index.en.shtml,accor_catalog_gap_pass,13
2026-07-06T07:26:03.519Z,recDKfOQsBa3THBPT,"ibis Styles Presidente Prudente",C0S2,https://all.accor.com/hotel/C0S2/index.en.shtml,steward_verified_url,11
2026-07-06T07:26:04.304Z,recUwZHVRH0GZFPIp,"Sofitel Las Bovedas",A232,https://all.accor.com/hotel/A232/index.en.shtml,steward_verified_url,5
2026-07-06T07:40:09.159Z,recg0GRXkYL1d43np,"Hotel Ibis Styles Portal D'oeste",C0S2,https://all.accor.com/hotel/C0S2/index.en.shtml,steward_verified_url,11
2026-07-06T07:40:10.350Z,reclMnLTkNiXtNXp9,"Sofitel Baru Calablanca",B0P5,https://all.accor.com/hotel/B0P5/index.en.shtml,steward_verified_url,14
2026-07-06T07:40:12.436Z,rec3LfgNdx7xvFCnQ,"Armony Resort future MGallery",C2A2,https://all.accor.com/hotel/C2A2/index.en.shtml,steward_verified_url,11
