ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Norte 19,A,142,Chile; Colombia; Costa Rica; Mexico,Norte 19,exact,import_only,false,https://norte19.com,add_costar_profile_screenshot
Nacional Inn Hotéis,A,57,Brazil,Nacional Inn Hotéis,exact,import_only,false,https://nacionalinn.com.br,add_costar_profile_screenshot
Grupo de Turismo Gaviota,A,48,Cuba,Grupo de Turismo Gaviota,exact,import_only,false,https://gaviotagrupo.com,add_costar_profile_screenshot
"Grupo Posadas, S.A.B. DE C.V.",A,44,Mexico,"Grupo Posadas, S.A.B. DE C.V.",exact,profile_partial,false,https://posadas.com,complete_company_overview
ICH Administracao de Hoteis S.A.,A,42,Brazil,ICH Administracao de Hoteis S.A.,exact,import_only,false,https://intercityhoteis.com.br,add_costar_profile_screenshot
Barcelo Gestion Hotelera S.L.,A,36,Aruba; Costa Rica; Cuba; Dominican Republic; El Salvador; Guatemala; Mexico; Nicaragua,Barcelo Gestion Hotelera S.L.,exact,import_only,false,https://barcelo.com,add_costar_profile_screenshot
Cubanacan Hotel Group,A,35,Cuba,Cubanacan Hotel Group,exact,import_only,false,https://cubanacanhoteles.com,add_costar_profile_screenshot
Howard Johnson Argentina,A,34,Argentina; Chile; Paraguay,Howard Johnson Argentina,exact,import_only,false,https://hjargentina.com,add_costar_profile_screenshot
Riu Hotels & Resorts,A,32,Aruba; Bahamas; Costa Rica; Dominican Republic; Jamaica; Mexico; Panama,Riu Hotels & Resorts,exact,import_only,false,https://riu.com,add_costar_profile_screenshot
Atlantica Hotels International (Brasil) Ltda.,A,27,Brazil,Atlantica Hotels International (Brasil) Ltda.,exact,import_only,false,https://ahi.com.br,add_costar_profile_screenshot
Iberostar Hotels & Resorts,A,26,Brazil; Cuba; Dominican Republic; Jamaica; Mexico,Iberostar Hotels & Resorts,exact,import_only,false,https://iberostar.com,add_costar_profile_screenshot
Camino Real Hoteles,A,24,Mexico,Camino Real Hoteles,exact,profile_partial,false,https://caminoreal.com,complete_company_overview
Real Hotels & Resorts,A,22,Colombia; Costa Rica; Dominican Republic; El Salvador; Guatemala; Honduras; Nicaragua; Panama; Peru,Real Hotels & Resorts,exact,import_only,false,https://realhotelsandresorts.com,add_costar_profile_screenshot
Royalton Hotels & Resorts,A,19,Antigua and Barbuda; Barbados; Costa Rica; Dominican Republic; Grenada; Jamaica; Mexico; Saint Lucia,Royalton Hotels & Resorts,exact,import_only,false,https://royaltonresorts.com,add_costar_profile_screenshot
Faranda Hotels & Resorts,A,18,Colombia; Costa Rica; Mexico; Panama; Venezuela,Faranda Hotels & Resorts,exact,import_only,false,https://farandahotels.com,add_costar_profile_screenshot
Sandals Resorts,A,17,Antigua and Barbuda; Bahamas; Barbados; Caicos Islands; Curaçao; Grenada; Jamaica; Saint Lucia; Saint Vincent and the Grenadines,Sandals Resorts,exact,import_only,false,https://sandals.com,add_costar_profile_screenshot
Grupo Hotelero Santa Fe,A,16,Mexico,Grupo Hotelero Santa Fe,exact,profile_partial,false,https://gsf-hotels.com,complete_company_overview
Milenium Grupo Hotelero Mexicano,A,15,Mexico,Milenium Grupo Hotelero Mexicano,exact,import_only,false,https://hotelesmilenium.com,add_costar_profile_screenshot
Minor Hotel Group Limited,A,15,Brazil; Colombia; Mexico,Minor Hotel Group Limited,exact,import_only,false,https://minorhotels.com,add_costar_profile_screenshot
Palladium Hotel Group,A,14,Brazil; Dominican Republic; Jamaica; Mexico,Palladium Hotel Group,exact,import_only,false,https://palladiumhotelgroup.com,add_costar_profile_screenshot
Hoteleria Peruana S.A.C.,A,14,Peru,Hoteleria Peruana S.A.C.,exact,import_only,false,https://tierravivahoteles.com,add_costar_profile_screenshot
Irawadi Corp S.A.,A,13,Dominican Republic; Mexico,Irawadi Corp S.A.,exact,import_only,false,https://rcdhotels.com,add_costar_profile_screenshot
Bourbon Hotels & Resorts,A,13,Brazil; Paraguay,Bourbon Hotels & Resorts,exact,import_only,false,https://bourbon.com.br,add_costar_profile_screenshot
Park Royal Hotels & Resorts,A,12,Mexico; Puerto Rico,Royal Hotel Group,partial,import_only,false,https://royalhotelgroup.ca,add_costar_profile_screenshot
Marriott International,A,12,Barbados; Brazil; Mexico; Peru,Marriott International,exact,import_only,false,https://marriott.com,add_costar_profile_screenshot
Parks Hospitality Holdings,A,12,Mexico,Parks Hospitality Group,loose_exact,import_only,false,https://parkshotels.com,add_costar_profile_screenshot
Casa Andina Hoteles,A,12,Peru,Casa Andina Hoteles,exact,import_only,false,https://casa-andina.com,add_costar_profile_screenshot
Belmond Management Ltd,A,12,Anguilla; Brazil; Mexico; Peru; Saint-Martin (French part),Belmond Management Ltd,exact,import_only,false,https://belmond.com,add_costar_profile_screenshot
Catalonia Hotels & Resorts,A,11,Dominican Republic; Jamaica; Mexico,Catalonia Hotels & Resorts,exact,import_only,false,https://cataloniahotels.com,add_costar_profile_screenshot
Grupo Brisas,A,11,Mexico,Grupo Brisas,exact,import_only,false,https://brisas.com.mx,add_costar_profile_screenshot
Enchanting Hotels,B,11,Costa Rica,Enchanting Hotels,exact,import_only,false,https://enchantinghotels.com,add_costar_profile_screenshot
Estancias Extendidas,A,11,Mexico,Estancias Extendidas,exact,import_only,false,https://extendedsuites.com.mx,add_costar_profile_screenshot
Marriott Vacations Worldwide,A,9,Aruba; Bahamas; Costa Rica; Mexico; Saint Kitts and Nevis; US Virgin Islands,Marriott Vacations Worldwide,exact,import_only,false,https://marriottvacationsworldwide.com,add_costar_profile_screenshot
Pueblo Bonito Hotels and Resorts,A,9,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Bern Hotels & Resorts,A,9,Panama,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
JHSF,A,9,Brazil; Uruguay,JHSF,exact,import_only,false,https://jhsf.com.br,add_costar_profile_screenshot
Eurostars Hotel Company S.L.,A,8,Argentina; Mexico,Eurostars Hotel Company S.L.,exact,import_only,false,https://eurostarshotels.co.uk,add_costar_profile_screenshot
TAFER Hotels & Resorts,A,7,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
B&B Hotels Brasil Hotelaria e Investimentos LTDA,A,7,Brazil,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Princess Hotels & Resorts,A,6,Dominican Republic; Guyana; Jamaica; Mexico,Princess Hotels & Resorts,exact,import_only,false,https://princess-hotels.com,add_costar_profile_screenshot
