ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Aman Group S.A.R.L.,B,2,Caicos Islands; Dominican Republic,Aman Group S.A.R.L.,exact,import_only,false,,add_costar_profile_screenshot
Trade Winds Hotels Limited,B,2,Barbados,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Tryst Hotels,B,2,Mexico; Puerto Rico,Tryst Hotels,exact,import_only,false,https://trysthotels.com,add_costar_profile_screenshot
RCD Hotels,A,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Zemi Hotels & Resorts, S.R.L.",A,1,Dominican Republic,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Park Hotels & Resorts,A,1,Puerto Rico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: Henderson Park | Owner 2: Pyramid Global Hospitality,A,1,Puerto Rico,Pyramid Global Hospitality,exact,import_only,false,https://pyramidglobal.com,add_costar_profile_screenshot
Owner 1: Riu Hotels & Resorts Management | Owner 2: Riu Hotels & Resorts,A,1,Mexico,Riu Hotels & Resorts,exact,import_only,false,https://riu.com,add_costar_profile_screenshot
Lopesan Group,A,1,Dominican Republic,Lopesan Group,exact,import_only,false,https://lopesan.com,add_costar_profile_screenshot
Mac Hotels Group,A,1,Dominican Republic,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: Alojica | Owner 2: Royalton Hotels & Resorts,A,1,Mexico,Royalton Hotels & Resorts,exact,import_only,false,https://royaltonresorts.com,add_costar_profile_screenshot
Owner 1: Ascendant Capital Partners | Owner 2: Interlink Group | Owner 3: Highgate Hotels L.P.,A,1,Puerto Rico,Highgate Hotels L.P.,exact,import_only,false,https://highgate.com,add_costar_profile_screenshot
Owner 1: Parks Hospitality Holdings | Owner 2: Parks Developer,A,1,Mexico,Parks Hospitality Group,loose_exact,import_only,false,https://parkshotels.com,add_costar_profile_screenshot
BG Hotels,A,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: TAFER Hotels & Resorts | Owner 2: The Villa Group,A,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Riu Hotels & Resorts - RIU Hotel Bambu,A,1,Dominican Republic,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Marriott Vacations Worldwide - Marriott's Frenc...,A,1,US Virgin Islands,Marriott Vacations Worldwide,partial,import_only,false,https://marriottvacationsworldwide.com,add_costar_profile_screenshot
Grupo Hotelero Santa Fe - Krystal Urban Aeropue...,B,1,Mexico,Grupo Hotelero Santa Fe,partial,profile_partial,false,https://gsf-hotels.com,complete_company_overview
Kerzner,B,1,Mexico,Kerzner,exact,import_only,false,https://kerzner.com,add_costar_profile_screenshot
Owner 1: Parks Hospitality Holdings | Owner 2: Ennismore,B,1,Mexico,Parks Hospitality Group,loose_exact,import_only,false,https://parkshotels.com,add_costar_profile_screenshot
Owner 1: Grupo de Turismo Gaviota | Owner 2: MGM Hotels & Resorts,B,1,Cuba,Grupo de Turismo Gaviota,exact,import_only,false,https://gaviotagrupo.com,add_costar_profile_screenshot
The Palace Company,B,1,Mexico,The Palace Company,exact,import_only,false,,add_costar_profile_screenshot
"Owner 1: Iberostar Hotels & Resorts | Owner 2: Ibersand Holding & Management, V.B",B,1,Aruba,Iberostar Hotels & Resorts,exact,import_only,false,https://iberostar.com,add_costar_profile_screenshot
Enotel Hotels & Resorts,B,1,Brazil,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Genting Americas Inc.,B,1,Bahamas,Genting Group,partial,import_only,false,https://genting.com,add_costar_profile_screenshot
Owner 1: Invincible Investment Corporation | Owner 2: Pyramid Global Hospitality,B,1,Cayman Islands,Pyramid Global Hospitality,exact,import_only,false,https://pyramidglobal.com,add_costar_profile_screenshot
Marina de Iracema Park S/A,B,1,Brazil,Rina Group,partial,import_only,false,https://rinagroup.com,add_costar_profile_screenshot
Owner 1: Engles Development Corp | Owner 2: Serendipity Land Holdings | Owner 3: The Friedkin Group,B,1,Mexico,KiN Group,partial,import_only,false,https://kinhotel.com,add_costar_profile_screenshot
