recordId,name,country,fieldsUpdated,sources,proposed
recntI7bBamh1X97x,Hotel Villa Capri,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Morelia""}"
recntK4u8vJLggyIP,Registry Collection Hotels Natal,Brazil,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Brazil Northeast"",""Submarket"":""Natal""}"
recntVyM5ASffX0CE,Estancia San Carlos Hotel & Bungalows,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rincon De Guayabitos""}"
recntkhMLRKpCJJEE,The Inn On Strand Street,US Virgin Islands,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Frederiksted""}"
recntseXxhiLYPCcb,Hotel Villa Ana Maria,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Oaxaca""}"
recnu6G2lwTPeakhW,San Miguel Plaza Hotel,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bayamon""}"
recnu7NCi9ok5JxiW,Holiday Inn Express La Romana,Dominican Republic,Market; Submarket,"{""Market"":""census_city_country_mode_market"",""Submarket"":""city_when_market_present""}","{""Market"":""Dominican Republic"",""Submarket"":""La Romana""}"
recnuAKEVTjEW9TcT,Jatiuca Resort Suites,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Maceió""}"
recnuARY0HEFcuZ4d,ESJ Towers,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Carolina""}"
recnuDRpkQCF56luD,Hotel Suenos Del Inka,Peru,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cusco""}"
recnuTX5wuOwQjxLM,Motel Holley,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Santiago""}"
recnuhl4X6jrwRe7v,Gamma Monterrey Rincon de Santiago,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Monterrey""}"
recnuleZmg4RKkAoo,Itacare Eco Resort,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Itacare""}"
recnvWCyvnTFiQXHN,Hotel Porto Bari,Uruguay,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Punta Del Este""}"
recnwA23ShibmFJBk,Estrela do Sul,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Sao Paulo""}"
recnwEBTlLYej33Vr,Interclass Hotel de Criciúma,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Criciúma""}"
recnwdXToJnuQ10iH,Centr Hotel St Martin,Saint-Martin (French part),Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Marigot""}"
recnx5Ti2jh4OGEPV,Lobster Inn,Nicaragua,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Little Corn Island""}"
recny9y7S7Tqnzegv,Hotel Gran Reserva,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Villavicencio""}"
recnyOMDki58YTtl9,Hotel Antarisuite Cintermex,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Monterrey""}"
recnySJEI3o8b9TWd,Dolores Alba Chichen Hotel,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Chichen Itza""}"
recnzDxf15r3pUezC,Gregorio I Hotel Boutique Jujuy,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Salvador de Jujuy""}"
recnzJOtf45IZygiV,Four Aces Apartment Hotel,Barbados,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Christ Church""}"
recnzj8VFOB3Oaw61,Hotel Eco Villas Kin Ha Campeche,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Campeche""}"
recnzp38KDAAEC2P2,LSH by Own,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rio de Janeiro""}"
recnzwkJdx4AqRIon,Hotel South Beach @ Cabarete,Dominican Republic,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cabarete""}"
reco09Hrvt0QONjds,Windsor Barra Hotel,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Rio De Janeiro""}"
reco0rAXixR3XEpM3,Avemarina Hotel,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Ponce""}"
reco2Adb9K5KIJg81,Hotel Excelsior,Colombia,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Bogota""}"
reco2ZFt1lOak1y35,Hotel Villas Arqueologicas Teotihuacan,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Juan Teotihuacan""}"
reco2mOEXq5r06sjF,Samba Itaborai,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Itaboraí""}"
reco3C9cMaaeLsaN7,Casa Rosada Hotel,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""San Miguel De Allende""}"
reco3GgG9Gz4eXv1P,Termas El Corazon,Chile,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Los Andes""}"
reco3Wb9bIGhdkvSK,Del Valle,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Tecamachalco""}"
reco3kgbef7vQ0Hmv,Hotel Lizbeth,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Tula De Allende""}"
reco3tYADRJRpfvjg,Oceana Hostal Playero Hotel,Puerto Rico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Ocean Park""}"
reco4kBPGlVUZe5NR,Vivence Suites Hotel Goiana,Brazil,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Goiania""}"
reco5AEzILKkXd1M7,Hotel Monte Carlo,Argentina,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Cordoba""}"
reco5c3JtrBZ3YT6r,Flamingos Acapulco,Mexico,Submarket,"{""Submarket"":""city_when_market_present""}","{""Submarket"":""Acapulco""}"
