recordId,name,parentCompany,status,country
recm3WGOhKNMKnj1m,"Blue Horizons Garden Resort","(blank parent)",Open,Grenada
recm4LmiaUFbWK3uF,"Hotel Porto Do Zimbo","(blank parent)",Open,Brazil
recm4uoNTQ0pQlvrM,"Secrets Wild Orchid Montego Bay","Hyatt Hotels Corporation",Open,Jamaica
recm51R4hf1fBsXDI,"Tierra Viva Cusco Saphi","Tierra Viva Hoteles",Open,Peru
recm5CLDW2ciNDH3z,"Azul Colonial Inn","(blank parent)",Open,Peru
recm5r1OGJzVimXnE,"Casa Mis Amores","(blank parent)",Open,Mexico
recm67OGVT3YuGqzv,"Real De Minas De San Luis","(blank parent)",Open,Mexico
recm6vT4ZnhPOo8Wg,"Holiday Inn Express & SuitesToluca Zona Aeropuerto","IHG Hotels & Resorts",Open,Mexico
recm741viHhqSsOwb,"Porto Canoa Resort","(blank parent)",Open,Brazil
recm7NOrXosOIv0IH,"Hospedaje El Tambo","(blank parent)",Open,Peru
recm7bHHXNmb5st7r,"Emma & Elissa By Dream Hotel Group","(blank parent)",Pipeline,Mexico
recm7glW3Jj5sSAYF,"Hotel Monaco","(blank parent)",Open,Brazil
recm7v4rMFeVDxk3G,"The Knutsford Court Hotel","(blank parent)",Open,Jamaica
recm8FxY3bCQYcfYn,"Hotel Plaza San Francisco","(blank parent)",Open,Chile
recm8QCpi0g6DBvKq,"Nacional Inn Foz do Iguaçu","Nacional Inn Hotéis",Open,Brazil
recm8hsVSM8brztNT,"Puertas De Cartagena","(blank parent)",Open,Colombia
recm8t5ZaHkWo7EON,"Nacional Inn San Jose Dos Campos","Nacional Inn Hotéis",Open,Brazil
recm93wli7NV48paf,"Sol Victoria Marina","(blank parent)",Open,Brazil
recm9DtLXFwifKOHq,"Excellence Express San Juan Del Rio","(blank parent)",Open,Mexico
recm9QgfSF8SkIML2,"Casa Andina Premium Golf Los Incas","BWH Hotels",Open,Peru
recm9w5lkyKFuOzKO,"Best Western Plus Belize Biltmore Plaza","BWH Hotels",Open,Belize
recmA2bCFONzlyxd2,"Hacienda Los Molinos Boutique","(blank parent)",Open,Panama
recmBLVbk2xNdixLL,"Canella Beach Hotel Residence","(blank parent)",Open,Guadeloupe
recmBaa4vZHrSQBRq,"Muro Alto Marupiara Suites","(blank parent)",Open,Brazil
recmCJVfr5UENGXWW,"Bunker Hill Hotel","(blank parent)",Open,US Virgin Islands
recmCL5IV3sVUC27h,"ibis Vitoria Da Conquista","AccorHotels",Open,Brazil
recmCRR9Bg1E2JyWI,"Mercure Salvador Rio Vermelho","AccorHotels",Open,Brazil
recmCsahJzoHZXnHe,"Eurobuilding Express Maracay","(blank parent)",Open,Venezuela (Bolivarian Republic of)
recmCwvutoKRmFcLe,"OYO Hotel Olhe","OYO Rooms",Open,Mexico
recmDAd2kslQQPMPL,"Ilum Boutique Hotel","(blank parent)",Open,Argentina
recmDeCd9LqGBzaB0,"San Jose","(blank parent)",Open,Mexico
recmEPEunKQGHXzRQ,"Conte Hotel","(blank parent)",Open,Argentina
recmEYff81v7Hh8Bf,"La Estancia Tapatia Hotel","(blank parent)",Open,Mexico
