evidenceName,choicePropertyId,osmCandidateRecordId,osmCandidateName,matchType,reconciliationConfidence,matchScore,propertyUrl,wouldWrite
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx075|rec0Tbi1AYlJwkALE,mx075,rec0Tbi1AYlJwkALE,Quality Inn Monterrey La Fe,direct_property_id_match,low,50,https://www.choicehotels.com/nuevo-leon/cd-guadalupe-nuevo-leon/quality-inn-hotels/mx075,yes
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx091|recSEdorZxoW2xYNT,mx091,recSEdorZxoW2xYNT,Sleep Inn Mazatlan,direct_property_url_match,low,50,https://www.choicehotels.com/sinaloa/mazatlan/sleep-inn-hotels/mx091,yes
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx050|reccocfAnMJ2bgplu,mx050,reccocfAnMJ2bgplu,Comfort Inn Cordoba,direct_property_id_match,low,50,https://www.choicehotels.com/veracruz/cordoba/comfort-inn-hotels/mx050,yes
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx080|recjVsrhXYr6VTrWb,mx080,recjVsrhXYr6VTrWb,Comfort Inn Monterrey Norte,direct_property_id_match,low,50,https://www.choicehotels.com/nuevo-leon/nuevo-leon/comfort-inn-hotels/mx080,yes
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx071|recqbBwg4XpRea80l,mx071,recqbBwg4XpRea80l,Quality Inn,direct_property_id_match,low,50,https://www.choicehotels.com/sinaloa/mazatlan/quality-inn-hotels/mx071,skip-duplicate
4U|choice-property-id-corrected-evidence-all-direct-2026-05-20|mx079|recz7iNa9ohtmKVEu,mx079,recz7iNa9ohtmKVEu,Sleep Inn Culiacan,direct_property_id_match,low,50,https://www.choicehotels.com/sinaloa/culiacan/sleep-inn-hotels/mx079,yes
