status,recordId,name,country,city,currentSubmarket,strRegional,proposedSubmarket,confidence,source,reason
ready,recrr4NI5Fa0nIlfw,Hotel Los Cocos,Mexico,Chetumal,Chetumal,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrrBw0Xe4OZuxSv,San Jose Hotel,Mexico,Mérida,Mérida,no,Mérida / Yucatán,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recrrF6yDJeXGcZAu,Gran Hotel Azuero,Panama,Chitre,Panama Regional,yes,Other,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recrsTpwxbZ3jRoLM,Villa La Estancia,Mexico,Nuevo Vallarta,Nuevo Vallarta,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrsk4LUKjZi9u6i,Braston Hotel Sao Paulo,Brazil,Sao Paulo,Sao Paulo,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recrsn1vyNsqFVkn9,Hotel Los Lagos,Costa Rica,La Fortuna,La Fortuna,no,Arenal / La Fortuna,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recrsqGnalDGNBBqN,Cristina Inn & Suites,Peru,Cusco,Cusco,no,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recrt0BVRIc581hh9,Hampton by Hilton Valledupar,Colombia,Valledupar,Colombia Regional,yes,Other,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recrtElMOVs8VgtSe,Hotel De La Canada,Argentina,Cordoba,Cordoba,no,Córdoba,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recrtYzYzQbbXWSJn,Hotel Marina Copan,Honduras,Copan Ruinas,Copan Ruinas,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrtvyP0FNE8cfIV,The Melville Boutique Hotel,Mexico,Mazatlan,Mazatlan,no,Mazatlán,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recruWOiyQBeFabK6,Travel Inn Live & Lodge Ibirapuera,Brazil,Sao Paulo,Sao Paulo,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recrvMoXUSE8Nw2NM,Castelo Inn Hotel,Brazil,Goiania,Goiania,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrvNR6J5t5YY8BR,Royal Palm Tower Anhanguera,Brazil,Campinas,Campinas,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrw0duq9prq2sWi,GRAND MERCURE Sao Paulo IBIRAPUERA,Brazil,Sao Paulo,Faria Lima/Ibirapuera/Itaim/Moema,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recrwyJA0wnierJk9,PA Beach Club & Hotel by GuruHotel,Mexico,Puerto Aventuras,Puerto Aventuras,no,Akumal / Puerto Aventuras,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recrxFslGXy6gcbQo,One Villahermosa 2000,Mexico,Villahermosa,Villahermosa,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrxmFudRpZ48YCx,Coco Rio Hotel,Mexico,Playa Del Carmen,Playa Del Carmen,no,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recry1aYTIwR67KZw,Posada El Antano,Guatemala,Antigua Guatemala,Antigua Guatemala,no,Antigua,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recryTGwRuTYxMPjJ,OYO Hotel Montes,Mexico,Atlixco,Atlixco,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recryqoaN2E2QjVmT,Holel Milan,Ecuador,Cuenca,Cuenca,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,recrz2zQgkP5KO8GJ,The City Inn Hotel & Casino,Dominican Republic,Santo Domingo,Santo Domingo,no,Santo Domingo Metro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recrz47dk2rDtmxsT,Hotel Del Sur,Costa Rica,San Jose,San Jose,no,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,recrz5eGdePXYAVdO,Hotel Suites Don Carlos,Peru,Juliaca,Juliaca,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recrzfx69zpzhIgS4,Holiday Inn Tuxpan - Convention Center,Mexico,Tuxpan,Gulf Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
ready,recrzlpoXj0o4yUeL,Sunset Resort & Villas,Jamaica,St Elizabeth,St Elizabeth,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,recs0EQYmBJTiZady,ibis Santos Valongo,Brazil,Santos,São Paulo State Regional,yes,São Paulo,Medium,census_str_submarket_alias,str_submarket_alias_map
