appliedAt,censusRecordId,censusName,htmlFile,amenityCount
2026-07-23T07:40:48.622Z,rectlLKZ1wbhYj7md,"Radisson Hotel Paulista Sao Paulo",reports\choice-amenity-html\br163.html,26
2026-07-23T07:40:49.167Z,recJW1QBKl60HKqDC,"Park Plaza Porto Alegre Moinhos de Vento",reports\choice-amenity-html\br164.html,23
2026-07-23T07:40:49.728Z,rec2LMW5amO5Z7R7x,"Radisson Recife",reports\choice-amenity-html\br165.html,23
2026-07-23T07:40:50.115Z,recE6QDoq1xtuncTD,"Radisson Vila Olimpia Sao Paulo",reports\choice-amenity-html\br168.html,21
2026-07-23T07:40:50.527Z,recmUIsMtSQstxOe5,"Radisson Hotel Anapolis",reports\choice-amenity-html\br169.html,19
2026-07-23T07:40:51.128Z,rec5CiGXwcQVyFsVM,"Radisson RED Ibirapuera",reports\choice-amenity-html\br185.html,37
2026-07-23T07:40:51.751Z,recUVdUrSlEe2gH87,"Comfort Suites Paradise Island",reports\choice-amenity-html\bs003.html,25
2026-07-23T07:40:52.282Z,recYAoPBUGOcs2ujj,"Radisson Bogota Metrotel",reports\choice-amenity-html\cb008.html,24
2026-07-23T07:40:52.725Z,recFm03giCXiSunLp,"Radisson Hotel Diamond Barranquilla",reports\choice-amenity-html\cb009.html,65
2026-07-23T07:40:53.137Z,recOlNJEBaMQZKvLH,"Hotel Bantu by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb011.html,17
2026-07-23T07:40:53.730Z,recFA6L4WdVoUjeiI,"Faranda Collection Bogota A Member Of Radisson Individuals",reports\choice-amenity-html\cb012.html,21
2026-07-23T07:40:54.497Z,recI1Szkt2BtPnsnF,"Radisson Cartagena Ocean Pavillion Hotel",reports\choice-amenity-html\cb013.html,32
2026-07-23T07:40:54.977Z,recg3EvDwkdVHk6Yj,"Hotel Caribe By Faranda Grand A Member Of Radisson Individuals",reports\choice-amenity-html\cb014.html,35
2026-07-23T07:40:55.408Z,recImFmHWCO2hYUZM,"Faranda Collection Cali A Member Of Radisson Individuals",reports\choice-amenity-html\cb015.html,22
2026-07-23T07:40:55.809Z,recID0aQJjjVchBOp,"Faranda Collection Barranquilla a member of Radisson Individuals",reports\choice-amenity-html\cb016.html,27
2026-07-23T07:40:56.216Z,rechf9uLqHiVO2cHI,"Hotel Casa Don Luis by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb017.html,17
2026-07-23T07:40:56.835Z,recIBD6ezsMUAfMg0,"Hotel Casa La Factoria by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb018.html,16
2026-07-23T07:40:57.263Z,rec1s2tkTrKPi12Dg,"Hotel Faranda Express Puerta Del Sol Barranquilla A Member of Radisson Individuals",reports\choice-amenity-html\cb019.html,22
2026-07-23T07:40:57.941Z,recbWQSUUQAme5zie,"Radisson Blu Hotel Acqua Hotel & Spa Concon",reports\choice-amenity-html\cl009.html,48
2026-07-23T07:40:58.299Z,recg8zrORIFqjCXZn,"Park Inn by Radisson Los Olivos de Vallenar",reports\choice-amenity-html\cl011.html,20
2026-07-23T07:40:58.663Z,recw8qQXKshGnAqI0,"Park Inn by Radisson Puerto Varas",reports\choice-amenity-html\cl014.html,22
2026-07-23T07:40:59.054Z,rec2wIqZVeq7laR6r,"Radisson Hotel Santo Domingo",reports\choice-amenity-html\do003.html,44
2026-07-23T07:40:59.491Z,rec6aUiqKl87vRVXG,"Emotions All Inclusive Juan Dolio Ascend Hotel Collection",reports\choice-amenity-html\do012.html,67
2026-07-23T07:40:59.841Z,reccYplUPmgS84rxI,"Grand Hotel Guayaquil Ascend Hotel Collection",reports\choice-amenity-html\ec002.html,55
2026-07-23T07:41:00.370Z,recMX7xtaElXbVUVP,"Clarion Suites Guatemala City",reports\choice-amenity-html\gt001.html,26
2026-07-23T07:41:00.894Z,recCDEah4N9Ue6zcF,"Clarion Hotel San Pedro Sula",reports\choice-amenity-html\hn003.html,23
2026-07-23T07:41:01.548Z,recuNO9EE5NC4U6uh,"Clarion Hotel Real Tegucigalpa",reports\choice-amenity-html\hn004.html,47
2026-07-23T07:41:04.688Z,recWVBjYACTzmVLeN,"Comfort Inn Chihuahua",reports\choice-amenity-html\mx077.html,24
2026-07-23T07:41:05.255Z,rec7zHsAFkU4rgdye,"Sleep Inn Culiacan",reports\choice-amenity-html\mx079.html,54
2026-07-23T07:41:05.794Z,reckXdxL9QjSPDM0m,"Comfort Inn Monterrey Norte",reports\choice-amenity-html\mx080.html,24
2026-07-23T07:41:06.315Z,rect1fxGKcQeJs2nB,"Sleep Inn Monclova",reports\choice-amenity-html\mx085.html,14
2026-07-23T07:41:06.916Z,recbuXoBJ93bSGDhU,"Comfort Inn Morelia",reports\choice-amenity-html\mx087.html,32
2026-07-23T07:41:07.548Z,rec7Ny9PfihzkgEGK,"Comfort Inn Irapuato",reports\choice-amenity-html\mx092.html,25
2026-07-23T07:41:08.063Z,reckAXJ5I86EVPeSx,"Sleep Inn Hermosillo",reports\choice-amenity-html\mx093.html,54
2026-07-23T07:41:08.660Z,recFQa1744IMgIisH,"Sleep Inn Tijuana",reports\choice-amenity-html\mx094.html,75
2026-07-23T07:41:09.206Z,recUBj49aTRdyP5Qg,"Comfort Inn & Suites Los Cabos",reports\choice-amenity-html\mx096.html,32
2026-07-23T07:41:09.862Z,recpAblJ67kBs4bHa,"Comfort Inn Hermosillo Airport",reports\choice-amenity-html\mx098.html,52
2026-07-23T07:41:10.383Z,rec8CrfZn86Bxs31p,"Sleep Inn Queretaro",reports\choice-amenity-html\mx103.html,53
