action,recordId,strId,sourceFile,rowNumber,fieldsUpdated,notes
updated,rechS7jIXnylCOIGP,251814,"Existing - Caribbean, South and Central America.xls:29",,Market; Submarket; city; country; name,"{""Market"":""Chile Provincial"",""Submarket"":""Chile Regional"",""city"":""Antofagasta"",""country"":""Chile"",""name"":""Wyndham Garden Antofagasta Pettra""}"
updated,recHiC644M3afqrNz,197779,"Existing - Caribbean, South and Central America.xls:30",,Market; Submarket; city; country; name,"{""Market"":""Panama Provincial"",""Submarket"":""Panama Regional"",""city"":""Anton"",""country"":""Panama"",""name"":""Gran Evenia Bijao""}"
updated,rec1et6DwZzQ1OMY3,235344,"Existing - Caribbean, South and Central America.xls:34",,Market; Submarket; city; country; name,"{""Market"":""Panama Provincial"",""Submarket"":""Panama Regional"",""city"":""Anton"",""country"":""Panama"",""name"":""Hotel RIU Playa Blanca""}"
updated,reco3TzSmSdq6X57m,258991,"Existing - Caribbean, South and Central America.xls:37",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Colombia Regional"",""city"":""Apartado"",""country"":""Colombia"",""name"":""ibis Apartado""}"
updated,recOhYxKD6gxSSAGx,232316,"Existing - Caribbean, South and Central America.xls:40",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Aracaju"",""country"":""Brazil"",""name"":""Arcus Hotel Aracaju""}"
updated,recG293Jk3Egqk6Z2,226446,"Existing - Caribbean, South and Central America.xls:41",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Aracaju"",""country"":""Brazil"",""name"":""Go Inn Aracaju""}"
updated,recgfTdl8yVF3W3hm,152625,"Existing - Caribbean, South and Central America.xls:42",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Aracaju"",""country"":""Brazil"",""name"":""Ibis Aracaju""}"
updated,recCZqZoIfrf7MKAZ,137390,"Existing - Caribbean, South and Central America.xls:43",,Market; Submarket; city; country; name,"{""Market"":""Brazil Northeast"",""Submarket"":""Brazil Northeast Regional"",""city"":""Aracaju"",""country"":""Brazil"",""name"":""Quality Hotel Aracaju""}"
updated,recBY0r45WSJTaHDd,154016,"Existing - Caribbean, South and Central America.xls:44",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Aracatuba"",""country"":""Brazil"",""name"":""Ibis Aracatuba""}"
updated,recxZR5kAbtB9UUs6,315354,"Existing - Caribbean, South and Central America.xls:45",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Brazil Southeast Regional"",""city"":""Aracruz"",""country"":""Brazil"",""name"":""Go Inn Aracruz""}"
