appliedAt,censusRecordId,censusName,propertyId,propertyUrl,matchScore,nameSim,confidence,source
2026-07-06T08:20:50.613Z,rec99PlN1Z4j0pSZj,"Radisson Hotel & Convention Center Toluca",MX185,https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,88,1,high,choice_regional_enrichment
2026-07-06T08:20:51.076Z,recqJ1LzgkeNC0DB9,"Quality Inn Aguascalientes",MX063,https://www.choicehotels.com/aguascalientes/aguascalientes/quality-inn-hotels/mx063,88,1,high,choice_regional_enrichment
2026-07-06T08:20:51.473Z,recRTjo9e5hXY1WSk,"Radisson Hotel Tapatio Guadalajara",MX184,https://www.choicehotels.com/jalisco/san-pedro-tlaquepaque/radisson-hotels/mx184,88,1,high,choice_regional_enrichment
2026-07-06T08:20:51.894Z,recgmC79m175Dqusa,"Sleep Inn Monterrey Norte",MX106,https://www.choicehotels.com/nuevo-leon/monterrey/sleep-inn-hotels/mx106,88,1,high,choice_regional_enrichment
2026-07-06T08:20:52.296Z,recQcydlpW55d7TKb,"Radisson Puebla Angelopolis",MX227,https://www.choicehotels.com/puebla/puebla/radisson-hotels/mx227,88,1,high,choice_regional_enrichment
2026-07-06T08:20:52.684Z,rec4gTiLtqAToexR2,"Comfort Inn Ciudad Juarez",MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,88,1,high,choice_regional_enrichment
2026-07-06T08:20:53.074Z,recv3ZtsBl2gDlDH6,"Sleep Inn Ciudad De Mexico Cuajimalpa",MX108,https://www.choicehotels.com/mexico/cuajimalpa-de-morelos/sleep-inn-hotels/mx108,88,1,high,choice_regional_enrichment
2026-07-06T08:20:53.534Z,rec8CrfZn86Bxs31p,"Sleep Inn Queretaro",MX103,https://www.choicehotels.com/queretaro/queretaro/sleep-inn-hotels/mx103,88,1,high,choice_regional_enrichment
2026-07-06T08:20:53.951Z,recCsMQgmbOIyGm7e,"Comfort Inn Puebla Centro Historico",MX224,https://www.choicehotels.com/puebla/puebla/comfort-inn-hotels/mx224,88,1,high,choice_regional_enrichment
2026-07-06T08:20:54.333Z,rec0aasxB3kfvUGk5,"Comfort Inn Queretaro Tecnologico",MX226,https://www.choicehotels.com/queretaro/queretaro/comfort-inn-hotels/mx226,88,1,high,choice_regional_enrichment
2026-07-06T08:20:54.776Z,rec1saEQEVimscdNZ,"Sleep Inn Puebla Centro Historico",MX225,https://www.choicehotels.com/puebla/puebla/sleep-inn-hotels/mx225,88,1,high,choice_regional_enrichment
2026-07-06T08:20:55.146Z,recgmlv62BWqPIw1P,"Quality Inn Mazatlan",MX071,https://www.choicehotels.com/sinaloa/mazatlan/quality-inn-hotels/mx071,88,1,high,choice_regional_enrichment
2026-07-06T08:20:55.564Z,recWK7cfMtuIj89xd,"Quality Inn Ciudad Obregon",MX054,https://www.choicehotels.com/sonora/obregon/quality-inn-hotels/mx054,88,1,high,choice_regional_enrichment
2026-07-06T08:20:55.956Z,recpAblJ67kBs4bHa,"Comfort Inn Hermosillo Airport",MX098,https://www.choicehotels.com/sonora/hermosillo/comfort-inn-hotels/mx098,88,1,high,choice_regional_enrichment
2026-07-06T08:20:56.350Z,recntqtcFNwKZjXWE,"Radisson Hotel Cuernavaca",MX178,https://www.choicehotels.com/morelos/cuernavaca/radisson-hotels/mx178,88,1,high,choice_regional_enrichment
