evidenceName,wikidataQid,osmSourceRecordId,osmCandidateName,stagingRecordId,matchConfidence,matchScore,matchReason,wouldWrite
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020371|node/3523794277,Q112020371,node/3523794277,Bella Vista,recBPgaQpHjB11jcZ,high,90,name=0.75; city; geo=38m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020373|node/1745039683,Q112020373,node/1745039683,Aparta Hotel Plaza del Sol,recQO38J9jmhJVPlf,high,90,name=1.00; geo=20m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020378|way/630842152,Q112020378,way/630842152,Hotal San Francisco de Asis,reccUVE69TPsbq5m9,high,75,name=0.67; city; geo=4m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020379|way/407741181,Q112020379,way/407741181,Hotel La Casona,recHX7RRef22rDt4C,high,75,name=0.75; geo=21m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020376|way/407742566,Q112020376,way/407742566,Hotel Renacer,recH3lNw7SRGTltS3,high,90,name=1.00; geo=17m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q112020381|node/8327794617,Q112020381,node/8327794617,hotel Maison Gautreaux,reci5xJncjJmpVOaJ,high,77,name=1.00; geo=133m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135266155|node/8116547995,Q135266155,node/8116547995,Majestic Mirage Punta Cana - All-Suite Resort,recZkp2yiMzl5G1Ys,high,130,name=1.00; city; geo=43m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135526771|way/309203833,Q135526771,way/309203833,JOIA Bávaro by Iberostar,recxxuimw61QQWwby,high,117,name=1.00; city; geo=136m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135551961|way/27956819,Q135551961,way/27956819,Iberostar Waves Punta Cana,recN7A3tG9DKvK9SP,high,117,name=1.00; city; geo=236m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135645881|way/27956853,Q135645881,way/27956853,Iberostar Waves Dominicana,rec5fGkME0PGjvIzF,high,117,name=1.00; city; geo=235m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135652587|way/110955858,Q135652587,way/110955858,Iberostar Selection Bavaro Suites,reckZt3b9CXHzsLKe,high,130,name=1.00; city; geo=37m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135652670|way/110962847,Q135652670,way/110962847,Iberostar Selection Coral Bávaro,recgEdGqf4lGHDJA0,high,117,name=1.00; city; geo=172m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135669692|way/323830323,Q135669692,way/323830323,Iberostar Hacienda Dominicus,rec4jurgCWVpPnjSS,high,95,name=0.75; geo=34m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q135973434|way/136390467,Q135973434,way/136390467,Iberostar Waves Costa Dorada,reciyRD6iAAD6vEr8,high,110,name=1.00; geo=39m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q136556100|way/27957139,Q136556100,way/27957139,Hotel Riu Palace Macao,recACeZOdcNWn1K3n,high,130,name=1.00; city; geo=19m; website,yes
