recordId,name,country,city,existingRegion,existingSubContinent,proposedRegion,proposedSubContinent,status
recV36Yd1Lnlm68Jd,"Vie L`Ven Resort & Residences","Sint Maarten (Dutch part)","Cole Bay","Caribbean & Latin America","","","Caribbean",ready
reckqLqiPkwBZ5F7B,"Àni Shoal Bay","Anguilla","Shoal Bay Village","Caribbean & Latin America","","","Caribbean",ready
