brandName,censusRecordId,censusName,country,propertyId,website,blankFieldsJoined,hasUsableHtml,htmlFile
Country Inn & Suites by Choice,recexALRJCnOkTBt1,Country Inn & Suites By Radisson San Jose Aeropuerto Costa Rica,Costa Rica,CR022,https://www.choicehotels.com/costa-rica/san-jose-heredia/country-hotels/cr022,Amenities; Hotel Description,no,reports/choice-amenity-html/cr022.html
Quality Inn,rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Brazil,BR058,https://www.choicehotels.com/rio-grande-do-sul/natal/quality-inn-hotels/br058,Amenities; Hotel Description,no,reports/choice-amenity-html/br058.html
Quality Inn,recCZqZoIfrf7MKAZ,Quality Hotel Aracaju,Brazil,BR069,https://www.choicehotels.com/sergipe/aracaju/quality-inn-hotels/br069,Amenities; Hotel Description,no,reports/choice-amenity-html/br069.html
Quality Inn,rec1WblO8rnicymJF,Quality Hotel Pampulha,Brazil,BR110,https://www.choicehotels.com/minas-gerais/belo-horizonte/quality-inn-hotels/br110,Amenities; Hotel Description,no,reports/choice-amenity-html/br110.html
Quality Inn,reccUca5e2ucKq8gs,Quality Hotel Paulista Sao Paulo,Brazil,BR147,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br147,Amenities; Hotel Description,no,reports/choice-amenity-html/br147.html
Quality Inn,recrq5oWLlU3I3Wdg,Quality Hotel Porto Alegre,Brazil,BR084,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/quality-inn-hotels/br084,Amenities; Hotel Description,no,reports/choice-amenity-html/br084.html
Quality Inn,recssgUodOjS9owNf,Quality Hotel Rio de Janeiro - Barra da Tijuca,Brazil,BR121,https://www.choicehotels.com/rio-de-janeiro/rio-de-janeiro/quality-inn-hotels/br121,Amenities; Hotel Description,no,reports/choice-amenity-html/br121.html
Quality Inn,recvyJN4aD5Gh4yXJ,Quality Hotel Sao Caetano,Brazil,BR125,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/quality-inn-hotels/br125,Amenities; Hotel Description,no,reports/choice-amenity-html/br125.html
Quality Inn,recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,Brazil,BR090,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,Amenities; Hotel Description,no,reports/choice-amenity-html/br090.html
Quality Inn,rec6w6h6tfQUrn2uO,Quality Hotel Vitoria,Brazil,BR105,https://www.choicehotels.com/espirito-santo/vitoria/quality-inn-hotels/br105,Amenities; Hotel Description,no,reports/choice-amenity-html/br105.html
