sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
way/142306645,Hotel Riu Naiboa,Punta Cana,Punta Cana,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-naiboa/,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-naiboa/,100,route_known_chain_not_active,known_chain_domain,RIU,likely_existing,Q111414805,Punta Cana,,high,92,excluded_not_independent,route_to_branded_or_steward
way/142306646,Hotel Riu Palace Punta Cana,Punta Cana,Punta Cana,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana/,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana/,100,route_known_chain_not_active,known_chain_domain,RIU,likely_existing,Q111414801,Punta Cana,https://www.riu.com/en/hotel/dominican-republic/punta-cana/hotel-riu-palace-punta-cana,high,117,excluded_not_independent,route_to_branded_or_steward
way/151713273,Alisei,,,https://www.aliseihotelspa.com/,https://www.aliseihotelspa.com/,80,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111414764,,,high,75,reconcile_legacy_census,link_not_insert
way/151713281,Lomita Maravilla,,,http://www.lomitamaravilla.com,http://www.lomitamaravilla.com,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
way/151743389,La Residencia del Paseo,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/153864150,Hotel Barceló Santo Domingo,,,https://www.barcelo.com/en-us/barcelo-hotels/hotels/dominican-republic/santo-domingo/barcelo-santo-domingo,https://www.barcelo.com/en-us/barcelo-hotels/hotels/dominican-republic/santo-domingo/barcelo-santo-domingo,80,route_known_chain_not_active,known_chain_domain,Barceló,likely_existing,Q111414841,,,high,75,excluded_not_independent,route_to_branded_or_steward
way/164232205,Hodelpa Centro Plaza Hotel,Santiago de los Caballeros,Santiago de los Caballeros,,,85,route_known_chain_not_active,known_chain_name,Hodelpa,likely_existing,Q111414772,,,medium,62,excluded_not_independent,route_to_branded_or_steward
way/167127064,el cabaret,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/173202187,Rancho Guaraguao,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/174466662,Courtyard by Marriott Santo Domingo,Santo Domingo,Santo Domingo,https://www.marriott.com/hotels/travel/sdqcy-courtyard-santo-domingo/,https://www.marriott.com/hotels/travel/sdqcy-courtyard-santo-domingo/,100,route_branded_active_setup,name_alias_match,Courtyard by Marriott,likely_existing,,,,,,excluded_not_independent,route_to_branded_or_steward
