applyStatus,censusRecordId,censusName,directoryBrandPropertyCode,matchConfidence,appliedFieldCount
ok,rec8e4a1RMy7muxB4,Anselmo Buenos Aires Curio Collection by Hilton,BUEBAQQ,high,4
ok,recu51JABui6zulIr,Botanika Osa Peninsula Resort Curio Collection by Hilton,PJMCRQQ,high,6
ok,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,SJOCUQQ,high,4
ok,recJWTzga4iCeOwia,Curio Collection by Hilton Harbor Club St Lucia,SLUHCQQ,high,6
ok,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,STISAQQ,high,4
ok,recz4rePhwtGzaTzr,Hualta Hotel Mendoza Curio Collection by Hilton,MDZAHQQ,high,4
ok,recC6qFaLB7nxLHYq,Indura Beach & Golf Resort Curio Collection by Hilton,TEAIBQQ,high,7
ok,recZY8fmuGXQd3DxN,Koi Resort Saint Kitts Curio Collection by Hilton,SKBKRQQ,high,5
ok,recAaTLAMer14ZEuG,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,high,10
ok,recNP2jHW1fVPY85A,The Rif at Mangrove Beach Corendon Curacao All-Inclusive Curio by Hilton,CURRYQQ,high,5
ok,recrp3O4pJkbNDl4Q,MS Milenium Monterrey Curio Collection by Hilton,MTYMMQQ,high,4
ok,recypLLe3st6SJl0s,Nacar Hotel Cartagena Curio Collection,CTGMAQQ,high,4
ok,rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",HERNIQQ,high,6
ok,rechQ0MeFN0eQjDkl,Palacio Provincial San Juan Curio Collection by Hilton,SJUPPQQ,high,4
ok,recHVAuSZvmUQqhwS,Qoya Hotel Curitiba Curio Collection by Hilton,CWBPRQQ,high,4
ok,recI0diSXPicHUwUb,Qoya Hotel Sao Paulo Curio Collection by Hilton,SAOCRQQ,high,5
ok,recrikOk2m2grKJv9,Royal Palm Galapagos Curio Collection by Hilton,GPSRPQQ,high,4
ok,recYMJkXlhXlgKzuS,Salvio Parque 93 Bogota Curio Collection by Hilton,BOGSPQQ,high,4
ok,recyq7cHeUFqDjPLs,SORO Montevideo Curio Collection by Hilton,MVDSOQQ,high,4
ok,recEewQZ45Wk5R2B2,"Suryaa Hotel Pinhais, Curio Collection by Hilton",CWBSPQQ,high,4
ok,recakpiy3h4GVib7S,The Fives Downtown Hotel & Residences Curio Collection by Hilton,CUNCUQQ,high,5
ok,recpyBukrc5Pmffok,Curio Collection by Hilton Mangrove Beach Corendon Curacao All-Inclusive Resort,CURMGQQ,high,5
ok,rec71jiVyb94eVTld,Curio Collection by Hilton Umbral,MEXUBQQ,high,4
ok,recENAmPhqW1rsrxj,"Qoya Hotel Sao Paulo, Curio Collection by Hilton",DXBVHQQ,high,4
ok,rec2UDYReyg9GnzRF,Curio Collection by Hilton Villa Mercedes Merida,MIDVMQQ,high,4
ok,rec30RgNl0ReqOtYx,Zemi Miches All-Inclusive Resort Curio Collection by Hilton,PUJMIQQ,high,6
