status,recordId,name,country,city,strSubmarket,strRegional,existingDealality,proposedDealality,confidence,source,reason
ready,recTxxnnctfaQBwKe,Dreams Playa del Carmen,Mexico,Playa del Carmen,Playa del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recTyjYHZxlgcXjJX,The Shore At 46th,Mexico,Playa Del Carmen,Playa Del Carmen,no,,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recTylfAhifTDzQk9,Suites Ambassador Apart Hotel,Panama,Panama City,Panama City,no,,Panama City,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recTz50YXXrfnRZ6w,Hotel Parador El Faro,Puerto Rico,Aguadilla,Aguadilla,no,,Northwest Air & Leisure Corridor,High,dealality_keyword_corridor_map,name_keyword_aguadilla
ready,recTzQJK2RxPQh0oX,Sophia Hotel,Colombia,Cartagena,Centro Historico,no,,Cartagena,High,dealality_city_corridor_map,exact_city_map
ready,recU24ITYfhPVfLu6,Jardin Del Lago,Colombia,Cali,Cali,no,,Cali,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU3PqVCFFxwkdfX,Harborside Resort @ Atlantis,Bahamas,Paradise,Paradise,no,,Paradise Island,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU3UNBEZPtrETuz,Hilton Pilar,Argentina,Pilar,Buenos Aires Provincial,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU3gfEHZf5m2hEI,Hotel Nueva Vida De Ramiro,Mexico,Tulum,Tulum,no,,Tulum,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU4AnZZdGDphlhX,Hotel De La Villa Hermoza,Peru,Cusco,Cusco,no,,Cusco Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU4i0Uo0ChOMCU5,Hotel Miramar,Peru,Lima,Lima,no,,Lima Historic Center,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU6cuBtxCD1Tdbg,Casa Morazan Bed & Breakfast,Costa Rica,San Jose,San Jose,no,,San José Metro,High,dealality_city_corridor_map,exact_city_map
ready,recU7v6P4jhpVwY23,Celuisma Paraiso Tropical Cabarete Hotel,Dominican Republic,Cabarete,Cabarete,no,,Puerto Plata / Sosúa / Cabarete,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recU9enhuOHHG8oKL,City Express Plus by Marriott Medellin Colombia,Colombia,Medellin,Medellín,no,,Medellín,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUBVYYT02Jf4mZ8,Hotel Brandt's Los Robles De San Juan,Nicaragua,Managua,Managua,no,,Managua,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUBaVcKnJbofB2s,Sol Caribe San Andres,Colombia,San Andres,San Andres,no,,San Andrés,High,dealality_keyword_corridor_map,name_keyword_san_andres
ready,recUBdAtntAtwO7yw,Hotel Varanasi Boutique,Colombia,Cartagena,Cartagena,no,,Cartagena,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUBgDqqu8rLLuq8,Hostal Casa Victoria,Colombia,Cartagena,Cartagena,no,,Cartagena,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUCZrtHYxpf93UP,Wyndham Nordelta Tigre Buenos Aires,Argentina,Buenos Aires,Buenos Aires Provincial,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,Colombia,Cali,Cali,no,,Cali,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recUEjk3pMPJzJAGt,1555 Malabia House B & B,Argentina,Buenos Aires,Buenos Aires,no,,Buenos Aires,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
