airtableRecordId,sourceType,rawHotelName,rawCountry,rawCity,retentionRecommendation,qualityScore,classification,reasons,matchConfidence,promotionEligibility,promotionRecommendation
recQAxv00L7wqqH9N,osm,Nomada Republic Hotel,Panama,,duplicate_review,80,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQAxve7gtP7Cdvn,osm,Casa del caracol,Ecuador,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
recQAyuw4izEaxANW,osm,Las Viñas Hotel,Argentina,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQAzt7Q6nDzZi9d,osm,Cruz de Ouro Hotel,Brazil,Rio de Janeiro,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQBBflYGCyeUP0P,osm,Hotel Pradomar,Colombia,Puerto Colombia,keep_high_priority,95,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQBEz6Cx3eqKdhM,osm,Sitio Recando Catuci's,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBKkeme4Za4xZ2,osm,Hotel Miramar,Chile,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBO0bl8E673a9l,osm,"Hostal ""San Miguel""",Ecuador,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBSTusxVBihdiS,osm,Ramada Encore,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",medium,not_eligible,hold_low_confidence
recQBU9GcKA0dUCKQ,osm,Drift Away Lodge,Costa Rica,27 de Abril,keep_high_priority,95,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQBcukP75MgVPm6,osm,Louisa Apart Hotel,Dominican Republic,,duplicate_review,80,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQBgIEQtepAIT7D,osm,Pousada Tetiaroa,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBhhKdippg2n7P,osm,Pousada e Bar Pono,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBj8e7R8slHDgl,osm,Brisas del Norte,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBjzpnpPBAi3vF,osm,Ocotal Bed & Breakfast,Costa Rica,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQBmmxOyXHqvzZZ,osm,TIPICAS CASETAS HOTEL,Dominican Republic,,duplicate_review,55,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQBqXu0NuRFSJ7T,osm,Hotel Guarigua Plaza,Colombia,Bucaramanga,keep_for_matching,70,keep_in_airtable,quality score/tier (70),low,not_eligible,hold_low_confidence
recQBzs6r307B9KOE,osm,Backpacker Sunrise,Costa Rica,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCANzYkBEAkFhu,osm,Hostal Costa Mía,CL,Valdivia,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQCCWBKSmMhcVwG,osm,Hotel Luxury,Honduras,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCEHa0ywUB1FjS,osm,Pousada Nossa Senhora Aparecida,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCOBFCUSooscwR,osm,Hotel Hacienda Ixtlan,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCZqqn4U2XKA69,osm,Hotel Coco Dreams,Costa Rica,Playa del Coco,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQCai7UgRe3KPS6,osm,Forrest Hotel Huatulco,Mexico,Santa María Huatulco,keep_high_priority,95,keep_in_airtable,has website,low,not_eligible,hold_low_confidence
recQCaqJ4SP0OCyMi,osm,Mont Blanc Premium,Brazil,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQCeqPCfMKvT4zU,osm,Hotel Kolina Kampestre,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCfyC1FNMBn8OE,osm,Parque narinio,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQChgFW9FiErSPP,osm,Salon de Eventos San Jose,Ecuador,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCy0DVg0y0zfLD,osm,Hotel Rio Palace,Argentina,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQCyXexIAoDRGK2,osm,Hostel e Pousada Geko,BR,Paraty,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQCzu9zmFDTPeUa,osm,Oca dos Índios,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQD1jHV4Eh2lhuY,osm,Black Beards Resort,Dominican Republic,,duplicate_review,55,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQD2rypa24inutL,osm,Casa Condesa,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQD9mVdjqv79JeP,osm,Avenida Principal,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDFa2nvBvplvYz,osm,Casa Rayma Hotel Boutique,Colombia,Contratación,keep_for_matching,80,keep_in_airtable,quality score/tier (80),none,not_eligible,hold_low_confidence
recQDHW6oEatwjw6w,osm,Carreño Plaza,Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDNVeI3P4MRVaa,osm,Pousada Monjolo,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDSpoJUnXTK1nC,osm,Hotel Express Confort,Brazil,,duplicate_review,80,duplicate_review,duplicate_review retention or duplicate cluster,,,
recQDa9yT3knzrFXl,osm,FORTALEZA,Ecuador,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDdhMiiP0Sq0Pp,osm,Patagonia Apart Hotel,Chile,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDdu3fNoxaQqIC,osm,Bendito Hostel,Colombia,,keep_high_priority,80,keep_in_airtable,has website,none,not_eligible,hold_low_confidence
recQDqYbOMPaBdXCr,osm,Posada de María,Ecuador,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQDwgzSPUdBYgh7,osm,Hermelinda,AR,Posadas,keep_for_matching,80,keep_in_airtable,quality score/tier (80),none,not_eligible,hold_low_confidence
recQE38ZF98H0vn2X,osm,Rina,Chile,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQE90q1i3TG0Ymi,osm,Vila Massapê Hospedagem,Brazil,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
recQEE5UJiCb5n7oo,osm,Hotel campestre (San Mateo),Colombia,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQENZ8eKymSvl0N,osm,Hotel Casa Real,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",medium,not_eligible,hold_low_confidence
recQEPeQJjylnGU1a,osm,Hotel das Palmeiras,Brazil,Teófilo Otoni,keep_for_matching,70,keep_in_airtable,quality score/tier (70),none,not_eligible,hold_low_confidence
recQEQaIheGU92P1W,osm,Hotel Jardín,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQETLmUfs0cf6Ji,osm,Boarders Haven,Panama,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQEXSyb8rExFN29,osm,Alter Real,Brazil,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQEkGwPQ0jg2Wop,osm,ARTURO RUANO,Ecuador,,keep_for_matching,65,keep_in_airtable,has brand,none,not_eligible,hold_low_confidence
recQEwGq6Pth0cdOu,osm,5,Mexico,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
recQExmBt4OZ9DfqG,osm,San Martín Resort,Ecuador,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
recQF0HkhA4km2zju,osm,Hotel Aliança,Brazil,,keep_for_matching,65,keep_in_airtable,quality score/tier (65),none,not_eligible,hold_low_confidence
recQF1ApMVQwLwmCA,osm,Hostal Intercontinental JAC,Ecuador,Shell,keep_for_matching,80,keep_in_airtable,quality score/tier (80),none,not_eligible,hold_low_confidence
recQF7hGNYSNxev34,osm,Cerrito Colorado Hotel de Campo,Argentina,,low_priority_hold,55,export_to_raw_store_then_archive,"osm low_priority_hold without evidence, verified link, brand-directory overlap, website, phone, brand, city, or high legacy match",none,not_eligible,hold_low_confidence
