censusRecordId,censusName,affiliation,reason,matchScore,propertyUrl
recIAWN57NzcVNuXs,Fen Hotels Imbituba Santa Catarina,Esplendor,no_directory_match,,
recIB4r6qI6gWzZr7,Dazzler by Wyndham Rosario,Dazzler by Wyndham,no_directory_match,,
recIWF9rEH4JKO7pp,Wyndham Garden Ushuaia Hotel del Glaciar,Wyndham Garden,no_directory_match,,
recIWwhzGdIQCSVew,Wyndham Costa del Sol Tumbes,Wyndham,no_directory_match,,
recIyvLhtv6j9K02A,Howard Johnson Hotel & Convention Center by Wyndham Merlo,Howard Johnson,no_directory_match,,
recJ4CBu752xlB2AQ,Wyndham Garden Ciudad Obregon,Wyndham Garden,no_directory_match,,
recJQm3nwnS77vr5v,Microtel Inn & Suites by Wyndham Culiacan,Microtel Inn & Suites by Wyndham,no_directory_match,,
recJROJvj17XEEiZ9,"Bel Air Unique Mexico City WTC, Trademark by Wyndham",Trademark Collection by Wyndham,no_directory_match,,
recJautrPQ0a1g2tG,"Viva Dominicus Beach by Wyndham, A Trademark All Inclusive",Trademark Collection by Wyndham,no_directory_match,,
recJp1fTL6AE4JnVD,Tryp by Wyndham Chetumal,Tryp by Wyndham,no_directory_match,,
recJsihoFALOMbvw0,Wyndham Garden Aguascalientes Hotel & Casino,Wyndham Garden,no_directory_match,,
recJxAzBqjxgxlnhG,"Belanova Punta Cana, Trademark Collection by Wyndham",Trademark Collection by Wyndham,no_directory_match,,
recJyovTs36nOFIhr,Wyndham Aparecida São Paulo,Wyndham,no_directory_match,,
recKbf9V2ASBNOVEv,Tryp by Wyndham Punta Cana Airport,Tryp by Wyndham,no_directory_match,,
recKyNT7zDD11SHo0,Wyndham Garden Ribeirao Preto Convention,Wyndham Garden,no_directory_match,,
recLZCHa0lLfPJUCG,Microtel Inn & Suites by Wyndham Wyndham Ciudad Juarez/US Consulate,Microtel Inn & Suites by Wyndham,no_directory_match,,
recLeP1XQb1YUiWzq,Dazzler by Wyndham Colonia,Dazzler by Wyndham,no_directory_match,,
recLloDd2g8lCEj9n,Days Inn By Wyndham Cascavel,Days Inn,no_directory_match,,
recLzwZiTtfhmHEdu,Howard Johnson by Wyndham Cordoba,Howard Johnson,no_directory_match,,
recM29kJPwgtAdWHw,Super 8 Laromana,Super 8,no_directory_match,,
recM6opZKHmchopTJ,Super 8 Higuey,Super 8,no_directory_match,,
recM8XH0Pk38IBAmG,Wyndham Hotels and Resorts Pitangui,Wyndham,no_directory_match,,
recM99B5yiOCxZUPK,Trademark Collection by Wyndham Miches,Trademark Collection by Wyndham,no_directory_match,,
recN22ZPSiiP4NbVB,Wyndham Garden Playa de Atacames,Wyndham Garden,no_directory_match,,
recNCnnn2sSyXUMpK,TRYP by Wyndham Cuenca Zahir,Tryp by Wyndham,no_directory_match,,
recNLzytkzejJFTdj,Days Inn Sao Paulo,Days Inn,no_directory_match,,
recNQMR3q9YIDmyx2,Cozumel Hotel & Resort,Trademark Collection by Wyndham,no_directory_match,,
recNRXsVm7hZ48S0h,Ramada by Wyndham Tikal Isla de Flores,Ramada,no_directory_match,,
recNmhqBXKyQeg11t,"Brickell Bay Hotel Aruba, Trademark by Wyndham Only Adults",Trademark Collection by Wyndham,no_directory_match,,
recO04kGX0JVthuUL,Ramada by Wyndham Ciudad de Mexico Perinorte,Ramada,no_directory_match,,
recOfuGjnxaPLvLPA,Howard Johnson by Wyndham Resort Pilar,Howard Johnson,no_directory_match,,
