status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,"Elika Cave Suites Cappadocia, Curio Collection by Hilton",NAVECQQ,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/curio-collection/
unmatched_directory,,,"Excelsior Hotel & Spa Baku, Curio Collection by Hilton",GYDEHQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/azerbaijan/curio-collection/
no_changes,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,"Gran Hotel Costa Rica, Curio Collection by Hilton",SJOCUQQ,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/sjocuqq-gran-hotel-costa-rica/
unmatched_directory,,,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",TLNSPQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/france/curio-collection/
unmatched_directory,,,"Grand Hotel Savoia Genova, Curio Collection by Hilton",GOASAQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/italy/curio-collection/
unmatched_directory,,,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton",MILTOQQ,none,45,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/italy/curio-collection/
unmatched_directory,,,"Grand Hotel Vilnius, Curio Collection by Hilton",VNODEQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/lithuania/curio-collection/
unmatched_directory,,,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",ISTHSQQ,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/curio-collection/
no_changes,recJWTzga4iCeOwia,Curio Collection by Hilton Harbor Club St Lucia,"Harbor Club St. Lucia, Curio Collection by Hilton",SLUHCQQ,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/sluhcqq-harbor-club-st-lucia/
unmatched_directory,,,"Hart Shoreditch Hotel London, Curio Collection by Hilton",LONSDQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/curio-collection/
unmatched_directory,,,"Haven Hotel Rotterdam, Curio Collection by Hilton",RTMCCQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/curio-collection/
unmatched_directory,,,"Higueron Hotel Malaga, Curio Collection by Hilton",AGPRHQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/spain/curio-collection/
unmatched_directory,,,Hinode Hills Niseko Village,CTSHNQQ,none,20,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/japan/curio-collection/
unmatched_directory,,,"Hoodoo Moab, Curio Collection by Hilton",CNYCUQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/curio-collection/
unmatched_directory,,,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton",RAPSSQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/curio-collection/
unmatched_directory,,,"Hotel Alpenrock Breckenridge, Curio Collection by Hilton",QKBBRQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/curio-collection/
unmatched_directory,,,"Hotel Andaluz Albuquerque, Curio Collection by Hilton",ABQANQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/curio-collection/
unmatched_directory,,,"Hotel Astoria Vienna, Curio Collection by Hilton",VIEASQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/austria/curio-collection/
unmatched_directory,,,"Hotel Fort Des Moines, Curio Collection by Hilton",DSMCUQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/curio-collection/
