identity_key,official_property_id,property_name,brand,parent_company,city,state_region,country,address,official_property_url,source_family,source_confidence,identity_confidence,classification,match_method,census_record_id
ind_hilton_mx_cunlipy,CUNLIPY,Canopy by Hilton Cancun La Isla,Canopy by Hilton,Hilton,Cancun,ROO,Mexico,"Boulevard Kukulcan S N Km. 12.5,",,Hilton,High,High,existing_exact_match,official_property_id,recvMr9l5A6Ju4mVj
ind_hilton_mx_mexubqq,MEXUBQQ,"Umbral, Curio Collection by Hilton",Curio Collection by Hilton,Hilton,Ciudad de Mexico,DIF,Mexico,Calle de Venustiano Carranza 69,,Hilton,High,High,existing_exact_match,official_property_id,recLdSTYD2AYd2oVo
ind_hilton_mx_mtymmqq,MTYMMQQ,"MS Milenium Monterrey, Curio Collection by Hilton",Curio Collection by Hilton,Hilton,SanPedro Garza Garcia,NLE,Mexico,Jose Vasconcelos 300,,Hilton,High,High,existing_exact_match,official_property_id,recK4csCkvjuYMKCf
ind_hilton_mx_midvmqq,MIDVMQQ,"Villa Mercedes Merida, Curio Collection by Hilton",Curio Collection by Hilton,Hilton,Merida,YUC,Mexico,Avenida Colon 500,,Hilton,High,High,existing_exact_match,official_property_id,recPY2YmZJ6uD64aR
ind_hilton_mx_cuncuqq,CUNCUQQ,"The Fives Downtown Hotel & Residences, Curio Collection by Hilton",Curio Collection by Hilton,Hilton,Playa del Carmen,ROO,Mexico,Avenida 10 Norte   Calle 2,,Hilton,High,High,existing_exact_match,official_property_id,rect1ih9Yuuw5T00T
ind_hilton_mx_cunaaqq,CUNAAQQ,"Amare Cancun Adults Only All-Inclusive Resort, Curio by Hilton",Curio Collection by Hilton,Hilton,Cancun,ROO,Mexico,Blvd. Kukulcan Km. 4.5,,Hilton,High,High,existing_exact_match,official_property_id,reccSW4gAhFdBFAnM
ind_hilton_mx_tlctldt,TLCTLDT,DoubleTree by Hilton Toluca,DoubleTree by Hilton,Hilton,Toluca,MEX,Mexico,Calle Industria Minera 503,,Hilton,High,High,existing_exact_match,official_property_id,recmcwOG8vDSwowNR
ind_hilton_mx_mexstdt,MEXSTDT,DoubleTree by Hilton Hotel México City Santa Fe,DoubleTree by Hilton,Hilton,Santa Fe,DIF,Mexico,Calle 3  55 Col Lomas de Santa Fe,,Hilton,High,High,existing_exact_match,official_property_id,recZdz5TqVAEGwnqb
ind_hilton_mx_qrodtdt,QRODTDT,DoubleTree by Hilton Hotel Queretaro,DoubleTree by Hilton,Hilton,Queretaro,QUE,Mexico,Luis Vega y Monroy 410,,Hilton,High,High,existing_exact_match,official_property_id,recfhMPMLZZaFGu43
ind_hilton_mx_cywcedt,CYWCEDT,DoubleTree by Hilton Celaya,DoubleTree by Hilton,Hilton,Celaya,GUA,Mexico,Blvd. Adolfo Lopez Mateos Oriente,,Hilton,High,High,existing_exact_match,official_property_id,rec0DludYoPHYHAYh
ind_hilton_mx_vermadt,VERMADT,DoubleTree by Hilton Hotel Veracruz,DoubleTree by Hilton,Hilton,Veracruz,VER,Mexico,Blvd. Manuel Avila Camacho 707,,Hilton,High,High,existing_exact_match,official_property_id,reck5iVaNkCOb0io3
ind_hilton_mx_gdldtdt,GDLDTDT,DoubleTree by Hilton Guadalajara Centro Historico,DoubleTree by Hilton,Hilton,Guadalajara,JAL,Mexico,"Calle Colon 73, Zona Centro",,Hilton,High,High,existing_exact_match,official_property_id,rec5nwcu4iXeCfKA6
ind_hilton_mx_mztdtdt,MZTDTDT,DoubleTree by Hilton Mazatlan,DoubleTree by Hilton,Hilton,Mazatlan,SIN,Mexico,"Av Camaron Sabalo 905, El Encanto",,Hilton,High,High,existing_exact_match,official_property_id,rec7iTdvMe9OZzQcv
ind_hilton_mx_mexchhx,MEXCHHX,Hampton Inn & Suites Mexico City - Centro Historico,Hampton by Hilton,Hilton,Mexico City,DIF,Mexico,"Calle 5 de Febrero, No. 24",,Hilton,High,High,existing_exact_match,official_property_id,recV916hOKKpXcWUz
ind_hilton_mx_qrosjhx,QROSJHX,Hampton Inn by Hilton San Juan del Rio,Hampton by Hilton,Hilton,San Juan Del Rio,QUE,Mexico,Av. Central  239 esq. Calle 8 Pte.,,Hilton,High,High,existing_exact_match,official_property_id,recE5U0zi3vwYpqQq
ind_hilton_mx_pbchxhx,PBCHXHX,Hampton Inn & Suites by Hilton Puebla,Hampton by Hilton,Hilton,San Andres Cholula,PUE,Mexico,2do. Retorno Osa Menor No.4,,Hilton,High,High,existing_exact_match,official_property_id,recvYTAOLSqVtAwlp
ind_hilton_mx_qrohthx,QROHTHX,Hampton Inn by Hilton Queretaro Tecnologico,Hampton by Hilton,Hilton,Queretaro,QUE,Mexico,Blvd. Bernardo Quintana 4100-1,,Hilton,High,High,existing_exact_match,official_property_id,rec8CPl1Os1erMyKX
ind_hilton_mx_qrojqhx,QROJQHX,Hampton by Hilton Queretaro Juriquilla,Hampton by Hilton,Hilton,Queretaro,QUE,Mexico,Boulevard Jurica la Campana 914,,Hilton,High,High,existing_exact_match,official_property_id,recHYZVQlZMEFs3Eo
ind_hilton_mx_cywcmhx,CYWCMHX,Hampton Inn by Hilton Celaya,Hampton by Hilton,Hilton,Celaya,GUA,Mexico,AV. EJE NOR-ORIENTE No. 223,,Hilton,High,High,existing_exact_match,official_property_id,recKSV4DdTGtvw2Xk
ind_hilton_mx_qrosahx,QROSAHX,Hampton Inn & Suites by Hilton Salamanca Bajio,Hampton by Hilton,Hilton,Salamanca,GUA,Mexico,Carretera Federal 45 Tramo,,Hilton,High,High,existing_exact_match,official_property_id,rec82p7iMFXOLgUk5
ind_hilton_mx_bjxirhx,BJXIRHX,Hampton Inn by Hilton Irapuato,Hampton by Hilton,Hilton,Irapuato,GUA,Mexico,Blvd. Lázaro Cárdenas,,Hilton,High,High,existing_exact_match,official_property_id,recyU1Idiqwg6aaNw
ind_hilton_mx_bjxsghx,BJXSGHX,Hampton Inn by Hilton Silao-Aeropuerto Bajio,Hampton by Hilton,Hilton,Silao,GUA,Mexico,Carr. 45 Silao-Leon km. 152 550,,Hilton,High,High,existing_exact_match,official_property_id,recHTxyrpUCINtjrJ
