identity_key,official_property_id,property_name,brand,parent_company,city,state_region,country,address,official_property_url,source_family,source_confidence,identity_confidence,classification,match_method,census_record_id
ind_choice_mx_mx068,MX068,Sleep Inn Monterrey San Pedro,Radisson Individuals by Choice,Choice,Monterrey,NLE,Mexico,"Blvd Antonio L Rodriguez, 3074 Col Santa Maria",https://www.choicehotels.com/nuevo-leon/monterrey/sleep-inn-hotels/mx068,Choice,High,High,existing_exact_match,official_property_id,reckCeo5qx5qBGuoW
ind_choice_mx_mx067,MX067,Comfort Inn Cancun Aeropuerto,Radisson Individuals by Choice,Choice,Cancun,ROO,Mexico,"Carr. Cancun Aeropouerto, 77560 Cancun, Q. Roo, Mexico",https://www.choicehotels.com/quintana-roo/cancun/comfort-inn-hotels/mx067,Choice,High,High,existing_exact_match,official_property_id,recIna7TAhXoRnao6
ind_choice_mx_mx061,MX061,Comfort Inn Puerto Vallarta Golfside & Marina,Radisson Individuals by Choice,Choice,Puerto Vallarta,JAL,Mexico,"Blvd. Francisco Medina Ascenci, 3965 Fracc. Marina Vallarta",https://www.choicehotels.com/jalisco/puerto-vallarta/comfort-inn-hotels/mx061,Choice,High,High,existing_exact_match,official_property_id,recZIoN8XMYCnRU4i
ind_choice_mx_mx185,MX185,Radisson Hotel & Convention Center Toluca,Radisson Individuals by Choice,Choice,Toluca,MEX,Mexico,"Carretera Mexico-Toluca km 63.5, Santa Ana Tlapaltitlan",https://www.choicehotels.com/mexico/toluca/radisson-hotels/mx185,Choice,High,High,existing_exact_match,official_property_id,recXkhmSxdzqhiyyQ
ind_choice_mx_mx063,MX063,Quality Inn Aguascalientes,Radisson Individuals by Choice,Choice,Aguascalientes,AGU,Mexico,"Nieto No. 102, Zona Centro",https://www.choicehotels.com/aguascalientes/aguascalientes/quality-inn-hotels/mx063,Choice,High,High,existing_exact_match,official_property_id,recamZJUape5BZylI
ind_choice_mx_mx184,MX184,Radisson Hotel Tapatio Guadalajara,Radisson Individuals by Choice,Choice,San Pedro Tlaquepaque,JAL,Mexico,"Carretera Chapala Km 6.5, El Tapatio",https://www.choicehotels.com/jalisco/san-pedro-tlaquepaque/radisson-hotels/mx184,Choice,High,High,existing_exact_match,official_property_id,rec3VtNHyHrW0xDk8
ind_choice_mx_mx228,MX228,"Amberes 64, an Ascend Collection Hotel",Radisson Individuals by Choice,Choice,Mexico City,CMX,Mexico,"C Amberes 64 Juarez, Cuauhtemoc",https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,Choice,High,High,existing_exact_match,official_property_id,recxjhraXKAz0BaVH
ind_choice_mx_mx106,MX106,Sleep Inn Monterrey Norte,Radisson Individuals by Choice,Choice,Monterrey,NLE,Mexico,"Av. Universidad No 314 Col. Ch, San Nicolas de los Garza",https://www.choicehotels.com/nuevo-leon/monterrey/sleep-inn-hotels/mx106,Choice,High,High,existing_exact_match,official_property_id,receAz4snQJSjyzj4
ind_choice_mx_mx227,MX227,Radisson Puebla Angelopolis,Radisson Individuals by Choice,Choice,Puebla,PUE,Mexico,Blvd del Nino Poblano 3120,https://www.choicehotels.com/puebla/puebla/radisson-hotels/mx227,Choice,High,High,existing_exact_match,official_property_id,recOyzLQATwUVnc17
ind_choice_mx_mx109,MX109,Comfort Inn Ciudad Juarez,Radisson Individuals by Choice,Choice,Ciudad Juarez,CHH,Mexico,"Paseo de la Victoria No 3715, Col. Partido Senecu C.P",https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,Choice,High,High,existing_exact_match,official_property_id,recFtm0joBzzPpLcn
