record_id,identity_key,property_name,queue,reason
reck5iVaNkCOb0io3,ind_hilton_mx_vermadt,"DoubleTree by Hilton Hotel Veracruz",source_discovery_insert,"steward"
reckCeo5qx5qBGuoW,ind_choice_mx_mx068,"Sleep Inn Monterrey San Pedro",source_discovery_insert,"steward"
reckDuYGQMBbkwSUg,ind_choice_co_cb011,"Hotel Bantu by Faranda Boutique",source_discovery_insert,"steward"
reckIUCAyaUts6PPS,ind_hilton_do_stillhx,"Hampton by Hilton Santiago de los Caballeros",source_discovery_insert,"steward"
reckOLBKYeBN4LSzP,ind_ihg_mx_cuumx,"Holiday Inn & Suites Chihuahua Expo",source_discovery_insert,"steward"
reckOMs7ywxxKRUhX,ind_marriott_mx_gdljp,"City Express Junior by Marriott Guadalajara Periférico Sur",source_discovery_insert,"steward"
reckRlsSoXsXTkXnn,ind_hilton_co_clohxhx,"Hampton by Hilton Cali, Colombia",source_discovery_insert,"steward"
reckTVqD9m0x62btN,ind_wyndham_mx_los-cabos-golf-resort-trademark-collection,"Los Cabos Golf Resort, Trademark Collection by Wyndham",source_discovery_insert,"steward"
recke3dkUlz0mULbB,ind_preferred_pa_415117,"Dovle Branded Residences",source_discovery_insert,"steward"
reckiw3Wpk9ymCNAJ,ind_marriott_mx_mtysj,"Courtyard by Marriott Monterrey San Jeronimo/Valle",source_discovery_insert,"steward"
reckkBXjDTYHlm3T6,ind_marriott_mx_nogfi,"Fairfield by Marriott Inn & Suites Nogales",source_discovery_insert,"steward"
reckoKN1STiFnzQgo,ind_preferred_mx_1391,"Grand Fiesta Americana Coral Beach Cancun All Inclusive Spa Resort",source_discovery_insert,"steward"
reckwGFG0FHQImUUt,ind_marriott_pa_ptybw,"The Westin Playa Bonita Panama",source_discovery_insert,"steward"
reckxqiwM0Qj7jxsK,ind_marriott_mx_cunim,"Almare, a Luxury Collection Resort, Isla Mujeres Cancun, Adult All-Inclusive",source_discovery_insert,"steward"
recl0SZWK24kKhKSh,ind_marriott_co_bogal,"Aloft by Marriott Bogota Airport",source_discovery_insert,"steward"
recl1DGBxjtQpKiV2,ind_preferred_mx_312464,"Garza Blanca Resort & Spa Cancun a Tafer Resort",source_discovery_insert,"steward"
recl8iYOJFZer6mV4,ind_marriott_mx_zloxm,"City Express by Marriott Manzanillo",source_discovery_insert,"steward"
reclDN3PLzwhRuMEo,ind_ihg_co_ctgha,"InterContinental Cartagena de Indias",source_discovery_insert,"steward"
reclHgkQPfYuiXh7C,ind_marriott_mx_mxlxm,"City Express by Marriott Mexicali",source_discovery_insert,"steward"
reclMR0RdyeUoOu9D,ind_ihg_mx_bjxca,"Candlewood Suites Celaya",source_discovery_insert,"steward"
reclNeyaROoWKcjJj,ind_hilton_pa_davidhx,"Hampton by Hilton David",source_discovery_insert,"steward"
reclSFHJZfNVlhYTo,ind_choice_co_cb030,"Faranda Collection Medellin",source_discovery_insert,"steward"
reclXvf4qmFIJPKL9,ind_hilton_cr_syqmhup,"Montara Hotel, Tapestry Collection by Hilton",source_discovery_insert,"steward"
reclb70lop8OSulxd,ind_ihg_mx_vsamx,"Crowne Plaza Villahermosa",source_discovery_insert,"steward"
recleTMDVrwNT6h8I,ind_ihg_co_eypex,"Holiday Inn Express Yopal",source_discovery_insert,"steward"
reclnzxL3lORDX9nv,ind_marriott_mx_mexxu,"City Express by Marriott Tula",source_discovery_insert,"steward"
reclzMoWsbnmCwarC,ind_ihg_mx_mexkm,"Kimpton El Castelar Polanco",source_discovery_insert,"steward"
recm4BZg1QmsgzfdT,ind_wyndham_mx_hotel-mx-aeropuerto-cdmx-trademark-collection,"Hotel MX aeropuerto CDMX, Trademark Collection by Wyndham",source_discovery_insert,"steward"
recm700kwmEuYbFtQ,ind_ihg_mx_mtyeg,"Holiday Inn Express Monterrey Tecnologico",source_discovery_insert,"steward"
recmAoyQUdmTZ1QK1,ind_marriott_mx_cunmh,"Mystique Holbox by Royalton, A Tribute Portfolio Resort",source_discovery_insert,"steward"
recmAzTMc9asgvt8i,ind_marriott_do_pujwi,"The Westin Puntacana Resort",source_discovery_insert,"steward"
recmB9frp5m9GVDZa,ind_ihg_mx_mztms,"Garner Hotel Mazatlan Beach",source_discovery_insert,"steward"
recmBG7cQC7M7u2Xp,ind_accor_mx_c655,"SO/ Mexico City",source_discovery_insert,"steward"
recmDfTGhrtx6cKSm,ind_marriott_mx_qroaq,"Aloft by Marriott Queretaro",source_discovery_insert,"steward"
recmHhHstI1XY1tI0,ind_ihg_mx_gdlet,"avid hotels Guadalajara Aeropuerto Norte",source_discovery_insert,"steward"
recmIZ2mVMguAWa0x,ind_marriott_mx_cunpc,"Planet Hollywood Cancun by Royalton, An Autograph Collection All-Inclusive Resort",source_discovery_insert,"steward"
recmK3BC9UpJCf28v,ind_hilton_do_sdqsdes,"Embassy Suites by Hilton Santo Domingo",source_discovery_insert,"steward"
recmPaj9MTnVrHe7f,ind_marriott_mx_pbcxp,"City Express by Marriott Puebla Finsa",source_discovery_insert,"steward"
recmWNlAbpgMinyLt,ind_choice_mx_mx043,"Choice property MX043",source_discovery_insert,"steward"
recmcwOG8vDSwowNR,ind_hilton_mx_tlctldt,"DoubleTree by Hilton Toluca",source_discovery_insert,"steward"
recmdLqdECwwAm8ZF,ind_hilton_mx_sjdgvgv,"Hilton Grand Vacations Club La Pacifica Los Cabos",source_discovery_insert,"steward"
recmj17m70WCTxMpu,ind_wyndham_mx_hotel-mx-lagunilla-cdmx-trademark-collection,"Hotel MX lagunilla CDMX, Trademark Collection by Wyndham",source_discovery_insert,"steward"
recmj86qMvoIUFTWB,ind_marriott_mx_vsaxp,"City Express by Marriott Paraiso",source_discovery_insert,"steward"
recmjnqTRjRzZ8zfV,ind_marriott_mx_cmeyc,"Courtyard by Marriott Ciudad del Carmen Campeche",source_discovery_insert,"steward"
recmqYctNE2jN1IZT,ind_ihg_mx_mexvc,"voco Ciudad de Mexico Reforma",source_discovery_insert,"steward"
recmqwYa0elGNOfWL,ind_ihg_mx_cvjjh,"Holiday Inn Express & Suites Cuernavaca",source_discovery_insert,"steward"
recmuPZC7H5jnBl0L,ind_choice_mx_mx085,"Sleep Inn Monclova",source_discovery_insert,"steward"
recmz5eA5I4M8PA7Q,ind_marriott_mx_mtyxn,"City Express by Marriott Monterrey Norte",source_discovery_insert,"steward"
recn43EWIqHWm3Vk9,ind_marriott_mx_cunfi,"Fairfield by Marriott Inn & Suites Cancun Airport",source_discovery_insert,"steward"
recn95c01JMYGc6gC,ind_wyndham_mx_lq-hotel-monterrey-centro,"La Quinta by Wyndham Monterrey Centro",source_discovery_insert,"steward"
recn9PAERpTSzwG4g,ind_marriott_mx_mtypc,"City Express Plus by Marriott Monterrey Centro",source_discovery_insert,"steward"
recnCOg5au4pVJqdH,ind_marriott_mx_czmwi,"The Westin Cozumel",source_discovery_insert,"steward"
